env,condition,group,seed,run,run_final_fitness,resolution,repeats,extent,plane_frac,coverage_rl_off,coverage_rl_on,f_evo_min,f_evo_median,f_evo_max,f_evo_at_anchor,f_evo_range,viable_pct_rl_off,viable_pct_rl_on,mean_f_rl_off,mean_f_rl_on,median_lift,mean_lift,f_evo_median_raw,f_evo_max_raw,mean_f_rl_off_raw,median_lift_raw,fdc_top5,grid_dir
hard,evolution,underperform,2005,roam60d5_w500_evolution_h128_seed2005_r8,3.6802,47,5,86.00,0.6929,1.0000,1.0000,0.0605,0.1553,0.2214,0.1839,0.1609,60.21,68.85,0.1428,0.1536,0.0078,0.0108,4.8101,6.3187,4.5258,0.1791,-0.6976,landscape/out/slices_h128_companion/evolution_underperform_roam60d5_w500_evolution_h128_seed2005_r8
hard,evolution,underperform,2008,roam60d5_w500_evolution_h128_seed2008_r4,3.6420,47,5,86.00,0.6884,1.0000,1.0000,0.0100,0.1507,0.3052,0.1645,0.2952,64.37,67.68,0.1374,0.1469,0.0069,0.0095,4.7052,8.2319,4.4014,0.1568,-0.4281,landscape/out/slices_h128_companion/evolution_underperform_roam60d5_w500_evolution_h128_seed2008_r4
hard,evolution,underperform,2004,roam60d5_w500_evolution_h128_seed2004_r6,3.5996,47,5,86.00,0.6890,1.0000,1.0000,0.0206,0.1060,0.1608,0.1258,0.1402,15.35,25.98,0.1008,0.1114,0.0100,0.0106,3.6860,4.9356,3.5667,0.2271,-0.6389,landscape/out/slices_h128_companion/evolution_underperform_roam60d5_w500_evolution_h128_seed2004_r6
hard,evolution,succeed,2007,roam60d5_w500_evolution_h128_seed2007_r4,7.2455,47,5,86.00,0.6158,1.0000,1.0000,0.0423,0.4509,0.8559,0.6221,0.8136,94.48,97.87,0.4559,0.4952,0.0401,0.0393,11.5568,20.7999,11.6713,0.9162,-0.9750,landscape/out/slices_h128_companion/evolution_succeed_roam60d5_w500_evolution_h128_seed2007_r4
hard,evolution,succeed,2002,roam60d5_w500_evolution_h128_seed2002_r9,7.2431,47,5,86.00,0.6194,1.0000,1.0000,0.0760,0.3469,0.8671,0.4562,0.7911,88.55,93.75,0.4018,0.4451,0.0383,0.0433,9.1823,21.0553,10.4360,0.8741,-0.8199,landscape/out/slices_h128_companion/evolution_succeed_roam60d5_w500_evolution_h128_seed2002_r9
hard,evolution,succeed,2001,roam60d5_w500_evolution_h128_seed2001_r9,7.2386,47,5,86.00,0.6371,1.0000,1.0000,0.0173,0.2710,0.7343,0.3083,0.7170,61.66,65.87,0.3222,0.3533,0.0277,0.0312,7.4509,18.0247,8.6183,0.6329,-0.8791,landscape/out/slices_h128_companion/evolution_succeed_roam60d5_w500_evolution_h128_seed2001_r9
