lr,metric,mean,std,sem,count
0.005,avg_learned_weight_diff,0.0018444833333333334,8.158073199802364e-05,4.710065757974567e-05,3
0.01,avg_learned_weight_diff,0.0035193499999999996,9.006077114926389e-05,5.199661046645279e-05,3
0.02,avg_learned_weight_diff,0.006292033333333333,0.00018440146646199224,0.00010646423630079297,3
0.03,avg_learned_weight_diff,0.008767233333333332,0.0003193508741702955,0.0001843773131681624,3
0.005,avg_network_weight_mag,0.5665966666666666,0.004335695830352137,0.0025032151547781443,3
0.01,avg_network_weight_mag,0.5598150000000001,0.004857934231749291,0.002804729636405951,3
0.02,avg_network_weight_mag,0.5479716666666666,0.007079869937599999,0.0040875648143008985,3
0.03,avg_network_weight_mag,0.5260083333333334,0.002364245827601882,0.0013649979649963961,3
0.005,peak_population,497.3833333333334,2.8880500919016843,1.667416497992561,3
0.01,peak_population,488.65000000000003,18.192099933762456,10.503213793882328,3
0.02,peak_population,488.6333333333334,13.449752166242066,7.765218033713608,3
0.03,peak_population,478.7,27.359276306218334,15.795885540228506,3
0.005,total_agents,1204.8833333333334,15.026837103440302,8.675748446739915,3
0.01,total_agents,1189.1000000000001,35.184620219635725,20.313849955141436,3
0.02,total_agents,1186.9166666666667,12.796223401196627,7.387903025291462,3
0.03,total_agents,1147.2,46.6145631750422,26.91293059726743,3
