condition,env_a,env_b,n_seeds,mean_a,mean_b,mean_diff,sd_diff,sem_diff,ci95_lo,ci95_hi,cohens_dz,t_stat,p_paired_t,p_wilcoxon,seeds_favouring_a,seeds_favouring_b,p_holm
evolution,baseline,hard,10,7.474832859999999,6.6537054,0.8211274600000001,0.4265685004564273,0.1348928039524885,0.5159787373214046,1.1262761826785956,1.9249603735892258,6.087259186110587,0.00018203893012764044,0.001953125,10,0,0.00018203893012764044
learning,baseline,hard,10,7.487399740000001,7.18715806,0.3002416800000004,0.019585765262035412,0.006193562794543647,0.28623086756073685,0.31425249243926395,15.32958635943533,48.476408484064265,3.3908250469260845e-12,0.001953125,10,0,1.0172475140778254e-11
pure_rl,baseline,hard,10,7.100092819999999,6.164947799999999,0.9351450199999999,0.17502281738573347,0.05534707454386348,0.8099412388775793,1.0603488011224205,5.342989182599148,16.896015330654595,3.9962563713318316e-08,0.001953125,10,0,7.992512742663663e-08
