environment,condition,n_seeds,n_runs,n_boot,mean,mean_ci95_lo,mean_ci95_hi,mean_boot_se,median,median_ci95_lo,median_ci95_hi,median_boot_se
baseline,evolution,10,100,10000,7.47483286,7.448733321500001,7.496838,0.012578293057468578,7.4784630000000005,7.45252,7.4967299999999994,0.010238258386908583
baseline,learning,10,100,10000,7.487399740000001,7.4639721880000005,7.511485139999999,0.012212102264011612,7.497035,7.4541390000000005,7.517315,0.014762573547940621
baseline,pure_rl,10,100,10000,7.100092820000001,7.076286,7.125489750500001,0.012562048034448318,7.098336,7.079771,7.131576000000001,0.011047946563009581
hard,evolution,10,100,10000,6.6537054,6.395218089500001,6.884763008,0.12616851154637276,7.06008,7.035044,7.105366000000001,0.020068253789352734
hard,learning,10,100,10000,7.187158060000001,7.1621863135,7.2099790035,0.012281956031764277,7.193741,7.161052,7.209168000000001,0.013262082704875751
hard,pure_rl,10,100,10000,6.1649478,6.06157486,6.254411986999999,0.04845484627798347,6.317877999999999,6.2367744,6.363012,0.028069965160978077
