environment,condition_a,condition_b,n_seeds,mean_a,mean_b,mean_diff,sd_diff,sem_diff,ci95_lo,ci95_hi,cohens_dz,t_stat,p_paired_t,p_wilcoxon,wins_a,wins_b,p_holm
baseline,evolution,learning,10,7.474832859999999,7.487399740000001,-0.012566880000000146,0.019076155240439104,0.006032409955874453,-0.02621313939095392,0.0010793793909536255,-0.6587742572654214,-2.083227116844459,0.06691420675713636,0.064453125,2,8,0.06691420675713636
baseline,evolution,pure_rl,10,7.474832859999999,7.100092819999999,0.3747400400000004,0.050332651205691595,0.015916581848480556,0.3387342303633066,0.4107458496366942,7.445267257402585,23.544002322067293,2.1445225290944828e-09,0.001953125,10,0,1.0722612645472413e-08
baseline,learning,pure_rl,10,7.487399740000001,7.100092819999999,0.3873069200000005,0.0412210756983151,0.013035248680889152,0.35781913882694266,0.41679470117305834,9.39584698940381,29.71227703295199,2.7066087562532103e-10,0.001953125,10,0,1.623965253751926e-09
hard,evolution,learning,10,6.6537054,7.18715806,-0.5334526599999998,0.4237084558521401,0.13398837843656627,-0.836555430019484,-0.2303498899805157,-1.2590087656550255,-3.9813352935870534,0.003199335773921507,0.001953125,0,10,0.00959800732176452
hard,evolution,pure_rl,10,6.6537054,6.164947799999999,0.4887576000000001,0.510208858575719,0.1613422075494004,0.12377616952143133,0.8537390304785689,0.9579559268421928,3.029322626878961,0.014262323468081364,0.02734375,7,3,0.028524646936162728
hard,learning,pure_rl,10,7.18715806,6.164947799999999,1.02221026,0.14673537677199155,0.046401800392245895,0.9172420948733548,1.1271784251266452,6.966351826583627,22.029538754078587,3.8651937391225046e-09,0.001953125,10,0,1.5460774956490018e-08
