environment,condition,metric,n_runs,n_seeds,reps_per_seed,sd_total,sd_between_seeds,sd_within_seed,sd_seed_means_observed,var_between_seeds,var_within_seed,norm_span,sd_total_normalised,sd_between_normalised,sd_within_normalised,icc,design_effect,n_effective
baseline,evolution,avg_fitness,100,10,10.0,0.05514185600775701,0.03963364363671082,0.04015720250642744,0.04161833489264089,0.001570825707921788,0.001612600913142222,8.222900000000001,0.006705889164133944,0.0048199106929077105,0.00488358152311562,0.4934386417227247,5.440947775504522,18.379150862319626
baseline,learning,avg_fitness,100,10,10.0,0.06659744187743691,0.03616524244733673,0.05697540481970177,0.04040475759996014,0.0013079247612746464,0.0032461967543688957,8.222900000000001,0.0080990212549632,0.004398112885640921,0.006928869963115417,0.28719584156502764,3.5847625740852487,27.895850264370093
baseline,pure_rl,avg_fitness,100,10,10.0,0.11499110154842776,0.0209464525359318,0.11324348227286396,0.04148689554026053,0.00043875387384004373,0.012824086277284454,8.222900000000001,0.013984251486510568,0.0025473315419051426,0.013771720715667702,0.033081441745555815,1.2977329757100025,77.05745470888495
hard,evolution,avg_fitness,100,10,10.0,1.0174127454389474,0.28106485992774477,0.9814850105619521,0.4187227460766639,0.0789974554862028,0.9633128259577953,8.222900000000001,0.12372918866080669,0.03418074644319458,0.11935995945006653,0.07579072843526126,1.6821165559173514,59.44891253119167
hard,learning,avg_fitness,100,10,10.0,0.061370721934354264,0.0381045311795384,0.04946115799664303,0.04118975493310567,0.0014519552964124141,0.002446406150368885,8.222900000000001,0.007463391496230558,0.004633952885179,0.006015050407598661,0.3724527128214928,4.352074415393435,22.97754828049277
hard,pure_rl,avg_fitness,100,10,10.0,0.4912995507877474,0.05216080371103807,0.4887758586703998,0.16312857948771609,0.0027207494437814428,0.23890184001898665,8.222900000000001,0.0597477229186476,0.006343358633941561,0.059440812690218746,0.011260327313894158,1.1013429458250474,90.79823898548435
