environment,condition,metric,n_runs,n_seeds,mean,std,sem_naive,ci95_lo_naive,ci95_hi_naive,sem_cluster,ci95_lo_cluster,ci95_hi_cluster,icc,design_effect,n_effective,min,max,median,q25,q75,iqr,mean_normalised,median_normalised,std_normalised,sem_naive_normalised,sem_cluster_normalised,q25_normalised,q75_normalised,iqr_normalised,min_normalised,max_normalised,n_below_threshold,frac_below_threshold
baseline,evolution,avg_fitness,100,10,7.47483286,0.05514185600775701,0.005514185600775701,7.4640250562224795,7.485640663777521,0.013160873068440444,7.445060896718814,7.504604823281187,0.4934386417227247,5.440947775504522,18.379150862319626,7.304689999999999,7.594018,7.4784630000000005,7.446882499999999,7.512853999999999,0.06597149999999985,0.8408752216371352,0.84131668875944,0.006705889164133944,0.0006705889164133943,0.0016005147902127526,0.8374761337241118,0.8454990331878046,0.00802289946369284,0.8201838767344852,0.8553695168371256,0,0.0
baseline,evolution,top20percent_fitness,100,10,20.931718080000007,0.1892316760687588,0.01892316760687588,20.89462867149053,20.968807488509484,0.04581819850377017,20.828070114065632,21.03536604593438,0.5100801292948547,5.590721163653692,17.886780090217773,20.481494,21.415713999999998,20.931348000000003,20.8028335,21.065384499999997,0.2625509999999984,0.8259895089003366,0.8259733665996399,0.00825398458825351,0.0008253984588253511,0.0019985169088405867,0.8203677686130654,0.8318198254391282,0.011452056826062804,0.806351450966366,0.8471006407544239,0,0.0
baseline,evolution,best_fitness,100,10,61.45905400000001,1.5742609270859442,0.15742609270859442,61.150498858291165,61.76760914170885,0.20471430099422783,60.99595807766725,61.92214992233277,0.07548809020868735,1.6793928118781862,59.54533048653625,57.7892,65.6496,61.5279,60.706,62.32845000000001,1.6224500000000077,0.4809880000000001,0.48155933609958507,0.01306440603390825,0.001306440603390825,0.0016988738671720152,0.47473858921161827,0.4882029045643154,0.013464315352697159,0.4505327800829876,0.5157643153526972,0,0.0
baseline,learning,avg_fitness,100,10,7.487399740000001,0.06659744187743691,0.006659744187743691,7.474346641392023,7.500452838607979,0.012777106232287248,7.4584959176160845,7.516303562383917,0.28719584156502764,3.5847625740852487,27.895850264370093,7.288786,7.635587999999999,7.497035,7.441839,7.5305795,0.08874050000000011,0.8424034999817583,0.8435752593367304,0.0080990212549632,0.0008099021254963201,0.001553844292437856,0.8368627856352381,0.8476546595483345,0.010791873913096365,0.818249765897676,0.860424910919505,0,0.0
baseline,learning,top20percent_fitness,100,10,20.91203802,0.2054637135790565,0.02054637135790565,20.871767132138505,20.952308907861497,0.04165571218250278,20.817806252312565,21.006269787687437,0.33181786090342835,3.9863607481308554,25.08553698931751,20.345907999999998,21.332034,20.900542,20.753484000000007,21.0590865,0.305602499999992,0.8251310959997558,0.8246296579008205,0.008962000234625886,0.0008962000234625885,0.001816955879216386,0.818215221952273,0.8315451167010525,0.013329894748779427,0.800437405402576,0.8434506523133023,0,0.0
baseline,learning,best_fitness,100,10,60.812478,1.4535205706174514,0.14535205706174514,60.527587968158976,61.09736803184102,0.11945070821426179,60.54226172480511,61.08269427519489,0.0,1.0,100.0,57.497600000000006,64.1962,60.8079,59.77865,61.914500000000004,2.135850000000005,0.47562222406639004,0.4755842323651452,0.012062411374418684,0.0012062411374418685,0.0009912921843507202,0.46704273858921164,0.4847676348547718,0.017724896265560206,0.4481128630705395,0.5037029045643154,0,0.0
baseline,pure_rl,avg_fitness,100,10,7.100092820000001,0.11499110154842776,0.011499110154842776,7.077554564096509,7.122631075903493,0.013119308295670502,7.070414882767259,7.129770757232744,0.033081441745555815,1.2977329757100025,77.05745470888495,6.765604,7.3635660000000005,7.098336,7.016400000000001,7.1719585,0.15555849999999882,0.7953024869571562,0.7950888372715221,0.013984251486510568,0.0013984251486510568,0.0015954600318221674,0.7851244694694086,0.8040421870629582,0.018917717593549575,0.7546247674178209,0.8273438811125029,0,0.0
baseline,pure_rl,top20percent_fitness,100,10,19.89113566,0.4067811017105549,0.04067811017105549,19.811406564064733,19.970864755935267,0.06417296889254546,19.745966318758114,20.036305001241885,0.1613611393755708,2.452250254380137,40.77887231182174,18.813546000000002,20.925916,19.960552,19.627487000000002,20.162293499999997,0.5348064999999949,0.7806009596049917,0.783628789894487,0.017743144351222186,0.0017743144351222186,0.002799122785495373,0.7691010245964208,0.7924284330959037,0.0233274084994829,0.7335982133899792,0.8257364314035096,0,0.0
baseline,pure_rl,best_fitness,100,10,57.431958,2.360488067370386,0.2360488067370386,56.96930233879541,57.894613661204595,0.4040737323745629,56.517879711987696,58.34603628801231,0.20831590801019892,2.87484317209179,34.78450615003048,50.8956,62.264399999999995,57.5188,55.77029999999999,59.152649999999994,3.3823500000000024,0.44756811618257264,0.4482887966804979,0.01958911259228536,0.001958911259228536,0.003353308982361518,0.43377842323651444,0.4618477178423236,0.028069294605809147,0.39332448132780085,0.48767136929460575,0,0.0
hard,evolution,avg_fitness,100,10,6.6537054,1.0174127454389474,0.10174127454389474,6.454292501893966,6.8531182981060335,0.1324117585722591,6.354169191899656,6.953241608100344,0.07579072843526126,1.6821165559173514,59.44891253119167,3.599614,7.245498000000001,7.06008,6.930917,7.138202999999999,0.20728599999999897,0.7410165999829743,0.7904364640212089,0.12372918866080669,0.012372918866080669,0.01610280540591021,0.7747287453331548,0.7999371268044119,0.02520838147125697,0.36960366780576187,0.8129854430918534,10,0.1
