panel,fraction,metric,mean,std,sem,count
0.05,0.2,avg_fitness,6.524544666666666,0.8975816506509764,0.5182190076230099,3
0.05,0.3,avg_fitness,4.848637333333333,1.9745487992615767,1.1400062807817235,3
0.05,0.4,avg_fitness,6.939578,0.24714540698948936,0.1426894672543613,3
0.05,0.5,avg_fitness,4.92122,1.8643494973496788,1.0763826841583806,3
0.05,0.6,avg_fitness,4.781108666666667,2.051924975316918,1.1846794368561389,3
0.10,0.2,avg_fitness,5.811429333333334,1.6328238414738236,0.9427112844141509,3
0.10,0.3,avg_fitness,6.023728000000001,1.882573975408137,1.0869045914712718,3
0.10,0.4,avg_fitness,4.7424773333333325,2.083165993203934,1.2027164469429654,3
0.10,0.5,avg_fitness,5.026391333333334,1.8433359635989683,1.0642505147907826,3
0.10,0.6,avg_fitness,7.0038160000000005,0.08545427102257637,0.0493370463782877,3
snap-back,0.2,avg_fitness,6.213196,1.502733339805835,0.8676034982571241,3
snap-back,0.3,avg_fitness,5.4960613333333335,1.6052983440411732,0.9268194310618318,3
snap-back,0.4,avg_fitness,4.878527333333333,2.010248367610662,1.1606174361780217,3
snap-back,0.5,avg_fitness,6.028385333333333,2.017310271229821,1.1646946281335342,3
snap-back,0.6,avg_fitness,5.443908,1.5891032579275652,0.917469193734591,3
0.05,0.2,peak_population,372.94,140.9447395258156,81.37448330609132,3
0.05,0.3,peak_population,296.74,171.44093676832264,98.98147099331268,3
0.05,0.4,peak_population,423.6933333333333,86.09295054377756,49.70578817177912,3
0.05,0.5,peak_population,294.59999999999997,151.1910328028749,87.29018348779736,3
0.05,0.6,peak_population,285.29333333333335,159.32005816385248,91.98347846820707,3
0.10,0.2,peak_population,310.06,138.7638094028843,80.11532271253317,3
0.10,0.3,peak_population,392.08666666666664,158.94248687287276,91.76548758172166,3
0.10,0.4,peak_population,286.22666666666663,168.31602934163263,97.17730484932055,3
0.10,0.5,peak_population,283.5466666666667,155.06218666500652,89.52519521217351,3
0.10,0.6,peak_population,467.3866666666667,19.173213954194892,11.06966023768471,3
snap-back,0.2,peak_population,394.75333333333333,171.87797338034136,99.23379419890742,3
snap-back,0.3,peak_population,266.2,65.25135707401034,37.67288857166826,3
snap-back,0.4,peak_population,292.75333333333333,164.84528665792462,95.17347062659381,3
snap-back,0.5,peak_population,385.44666666666666,164.10666815621275,94.74702903580202,3
snap-back,0.6,peak_population,253.71333333333334,54.847167049295564,31.666026660199165,3
0.05,0.2,top20percent_fitness,18.189292666666667,2.710884113058566,1.5651296724162431,3
0.05,0.3,top20percent_fitness,15.100205333333333,4.141283756272847,2.3909712914747523,3
0.05,0.4,top20percent_fitness,19.652900666666667,0.6036494716450386,0.3485171849504384,3
0.05,0.5,top20percent_fitness,15.913803999999999,3.7566780928538455,2.1689191081679375,3
0.05,0.6,top20percent_fitness,15.435640666666666,4.087200179149698,2.3597461236639647,3
0.10,0.2,top20percent_fitness,16.832327333333332,3.993577927328993,2.305693291373142,3
0.10,0.3,top20percent_fitness,17.959576,3.564963425443239,2.0582325933308243,3
0.10,0.4,top20percent_fitness,15.196568666666666,4.120344357080041,2.378881923714117,3
0.10,0.5,top20percent_fitness,15.634756000000003,3.8990032852881775,2.2510905963323644,3
0.10,0.6,top20percent_fitness,19.696203333333333,0.5263110218163161,0.3038658101231171,3
snap-back,0.2,top20percent_fitness,18.292616666666667,2.9844630801699217,1.7230805627226038,3
snap-back,0.3,top20percent_fitness,16.448470666666665,2.6541043725440283,1.5323478739456575,3
snap-back,0.4,top20percent_fitness,15.33014666666667,4.5769886475530335,2.642525627742605,3
snap-back,0.5,top20percent_fitness,18.079482666666667,4.082770466605408,2.357188627934086,3
snap-back,0.6,top20percent_fitness,16.592787333333334,2.7454491080333883,1.5850857815694948,3
0.05,0.2,total_agents,989.14,485.6606770163712,280.3963226102178,3
0.05,0.3,total_agents,585.24,651.879605141931,376.36286550792084,3
0.05,0.4,total_agents,1182.5333333333333,192.5365464875002,111.16102694339914,3
0.05,0.5,total_agents,583.42,631.6789678309702,364.7000221186356,3
0.05,0.6,total_agents,561.9,623.1945583844582,359.80154604077694,3
0.10,0.2,total_agents,724.2599999999999,529.086777003546,305.4683931276687,3
0.10,0.3,total_agents,950.2733333333334,630.9532259473228,364.2810148467496,3
0.10,0.4,total_agents,562.7733333333333,633.107134798948,365.5245747020453,3
0.10,0.5,total_agents,588.2600000000001,598.2568421673087,345.40374886983113,3
0.10,0.6,total_agents,1292.8266666666666,35.22041642759688,20.334516905443774,3
snap-back,0.2,total_agents,974.1,593.3207533872384,342.55389668391365,3
snap-back,0.3,total_agents,592.0,334.42427902292025,193.07994751742953,3
snap-back,0.4,total_agents,579.1,638.8503411598056,368.840416440498,3
snap-back,0.5,total_agents,946.3466666666667,637.0544341995693,367.8035490735661,3
snap-back,0.6,total_agents,604.1733333333333,376.61939532282895,217.44130927166938,3
