condition,metric,label,baseline_hidden,hidden_size,mean_baseline,mean_arm,std_baseline,std_arm,diff,pct_change,mannwhitney_p,cliffs_delta,n_baseline,n_arm,final_frac
evolution,avg_fitness,Mean average fitness,64,32,5.211015233333334,4.570053833333334,1.6345015198846393,1.5512120151331847,-0.6409614000000001,-12.300125240470578,0.13538211004560674,-0.3244444444444444,15,15,0.2
evolution,top20percent_fitness,Top-20% fitness,64,32,16.0865154,14.808682133333333,3.3689030453911624,3.3039286378288315,-1.2778332666666667,-7.943505693387562,0.2997583700887151,-0.22666666666666666,15,15,0.2
evolution,peak_population,Peak population,64,32,309.5493333333333,269.42833333333334,124.47617679522278,127.20556034317929,-40.12099999999998,-12.961100438486913,0.08901797772326323,-0.3688888888888889,15,15,0.2
evolution,total_agents,Total agents,64,32,666.3186666666666,501.12833333333333,500.91815215484274,487.7835435336275,-165.19033333333323,-24.791491158384662,0.11498741920155964,-0.3422222222222222,15,15,0.2
evolution,avg_lifetime,Mean lifetime (ticks),64,32,1243.2839666666666,1106.1562999999999,359.0636786153892,350.00643725969763,-137.12766666666676,-11.029472778798544,0.26275304114766074,-0.24444444444444444,15,15,0.2
evolution,lifetime_p90,p90 lifetime (ticks),64,32,1818.2140333333334,1684.2537666666672,372.2054974035385,383.4027815987545,-133.96026666666626,-7.367684123583447,0.6186695570822622,-0.1111111111111111,15,15,0.2
evolution,survived_frac,Survived to window close,64,32,0.00924430701753387,0.0067336683121671055,0.01093969116039762,0.011277592804838343,-0.002510638705366765,-27.158755119283512,0.44238646387280034,-0.14666666666666667,15,15,0.2
evolution,avg_learned_weight_diff,Learned weight diff (MAD),64,32,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,15,15,0.2
evolution,genome_variance,Genomic variance,64,32,0.033831189666666664,0.031218261666666667,0.007906968071656261,0.007962346762542575,-0.002612927999999997,-7.7234292549117,0.13538211004560674,-0.3244444444444444,15,15,0.2
evolution,cells_visited,Cells explored / organism,64,32,608.5697935800039,539.1206184380355,195.3436872832692,186.5809468107509,-69.44917514196834,-11.411866950119732,0.48073111045562256,-0.15555555555555556,15,15,0.2
evolution,cave_entries,Cave entries / organism,64,32,0.8184294142555246,0.5903960208512655,0.7639820534270112,0.6980219854569902,-0.2280333934042591,-27.862316460325072,0.6482039260122094,-0.10222222222222223,15,15,0.2
evolution,food_total,Food eaten / organism,64,32,5.974701752209569,5.413380008733303,1.3054239047046923,1.2489167883677732,-0.5613217434762658,-9.394975126058425,0.28084201086629834,-0.23555555555555555,15,15,0.2
evolution,avg_fitness,Mean average fitness,64,128,5.211015233333334,5.872701199999999,1.6345015198846393,1.5290728411990258,0.6616859666666652,12.697832131329315,0.4067868333984651,0.18222222222222223,15,15,0.2
evolution,top20percent_fitness,Top-20% fitness,64,128,16.0865154,17.483279933333336,3.3689030453911624,3.0597462362747496,1.3967645333333358,8.682828434884884,0.3195059648919748,0.21777777777777776,15,15,0.2
evolution,peak_population,Peak population,64,128,309.5493333333333,356.0376666666667,124.47617679522278,130.61154535321737,46.4883333333334,15.018069279210229,0.5897385933186072,0.12,15,15,0.2
evolution,total_agents,Total agents,64,128,666.3186666666666,869.0063333333333,500.91815215484274,497.1619544054254,202.6876666666667,30.419028732998637,0.3614963660708982,0.2,15,15,0.2
evolution,avg_lifetime,Mean lifetime (ticks),64,128,1243.2839666666666,1356.2929333333334,359.0636786153892,349.4372640202085,113.00896666666677,9.089553931082365,0.48073111045562256,0.15555555555555556,15,15,0.2
evolution,lifetime_p90,p90 lifetime (ticks),64,128,1818.2140333333334,1946.1510333333338,372.2054974035385,340.8756373030818,127.93700000000035,7.036410326536384,0.15846460599820356,0.30666666666666664,15,15,0.2
evolution,survived_frac,Survived to window close,64,128,0.00924430701753387,0.01377396199555908,0.01093969116039762,0.011885543139227774,0.0045296549780252104,48.99940005706993,0.2990812771557919,0.21777777777777776,15,15,0.2
evolution,avg_learned_weight_diff,Learned weight diff (MAD),64,128,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,15,15,0.2
evolution,genome_variance,Genomic variance,64,128,0.033831189666666664,0.036277216999999994,0.007906968071656261,0.008590064525924472,0.0024460273333333296,7.230095534427398,0.506914933812496,0.14666666666666667,15,15,0.2
evolution,cells_visited,Cells explored / organism,64,128,608.5697935800039,656.8776062400577,195.3436872832692,183.53937426741274,48.307812660053855,7.937924814814722,0.7715511878155722,-0.06666666666666667,15,15,0.2
evolution,cave_entries,Cave entries / organism,64,128,0.8184294142555246,1.111444381454522,0.7639820534270112,0.7140328763989153,0.29301496719899744,35.80210609433378,0.21337370709311843,0.27111111111111114,15,15,0.2
evolution,food_total,Food eaten / organism,64,128,5.974701752209569,6.397619837815518,1.3054239047046923,1.2612221716711083,0.4229180856059491,7.078480284803258,0.6186695570822622,0.1111111111111111,15,15,0.2
learning,avg_fitness,Mean average fitness,64,32,6.947754466666668,7.065601,0.9137103686304078,0.40928810705272134,0.11784653333333228,1.6961816065712474,0.7400217511938185,0.07555555555555556,15,15,0.2
learning,top20percent_fitness,Top-20% fitness,64,32,19.54421873333333,19.717411233333333,1.8904048938774192,1.0373899983495414,0.17319250000000252,0.8861571923804599,0.7400217511938185,0.07555555555555556,15,15,0.2
learning,peak_population,Peak population,64,32,467.8419999999999,458.76599999999996,75.49381492987797,70.27794884599292,-9.075999999999965,-1.9399711868536742,0.3614963660708982,-0.2,15,15,0.2
learning,total_agents,Total agents,64,32,1254.7086666666667,1249.6716666666666,283.0314405177551,208.3889661799673,-5.037000000000035,-0.401447773002288,0.4067868333984651,-0.18222222222222223,15,15,0.2
learning,avg_lifetime,Mean lifetime (ticks),64,32,1641.2320333333332,1653.9080000000001,203.68172765227504,93.32568658609844,12.675966666666909,0.7723445807307386,0.48073111045562256,-0.15555555555555556,15,15,0.2
learning,lifetime_p90,p90 lifetime (ticks),64,32,2136.4811666666665,2148.038233333333,177.58315571065737,62.529267708241186,11.557066666666742,0.5409393186787625,0.2997583700887151,-0.22666666666666666,15,15,0.2
learning,survived_frac,Survived to window close,64,32,0.02803915383750969,0.026073451639686777,0.007845907715039681,0.007306616883513995,-0.001965702197822914,-7.010561763790724,0.28084201086629834,-0.23555555555555555,15,15,0.2
learning,avg_learned_weight_diff,Learned weight diff (MAD),64,32,0.008652290333333335,0.011783545,0.0004765263957063545,0.0011018236022582437,0.0031312546666666646,36.1898936123695,3.3918213908250945e-06,1.0,15,15,0.2
learning,genome_variance,Genomic variance,64,32,0.045264232333333335,0.04357275266666667,0.005154105518959899,0.006207564277550111,-0.001691479666666662,-3.736901256184628,0.14657603430900065,-0.31555555555555553,15,15,0.2
learning,cells_visited,Cells explored / organism,64,32,824.780458214152,863.1235548366324,113.38130689368602,64.56654374086683,38.3430966224804,4.648885196128728,0.00897202481281498,0.5644444444444444,15,15,0.2
learning,cave_entries,Cave entries / organism,64,32,1.6862565080505596,1.6548741400925655,0.5282423854169657,0.4197516327540324,-0.031382367957994095,-1.861067269906314,0.6783024655972324,-0.09333333333333334,15,15,0.2
learning,food_total,Food eaten / organism,64,32,7.259302894837824,7.383521684616794,0.8269746468067531,0.36650724070793567,0.12421878977897016,1.7111669202741713,0.48073111045562256,0.15555555555555556,15,15,0.2
