condition,hidden_size,unit,metric,value
evolution,32,seed42_r4,cave_entries,1.6709008168059842
evolution,32,seed42_r4,food_total,7.4612302220068925
evolution,32,seed42_r5,avg_fitness,3.5675974999999998
evolution,32,seed42_r5,top20percent_fitness,13.335709499999998
evolution,32,seed42_r5,peak_population,195.59
evolution,32,seed42_r5,total_agents,204.27
evolution,32,seed42_r5,avg_lifetime,840.855
evolution,32,seed42_r5,lifetime_p90,1375.2275
evolution,32,seed42_r5,survived_frac,0.0
evolution,32,seed42_r5,avg_learned_weight_diff,0.0
evolution,32,seed42_r5,genome_variance,0.02640527
evolution,32,seed42_r5,cells_visited,417.1486283186322
evolution,32,seed42_r5,cave_entries,0.16465233078712133
evolution,32,seed42_r5,food_total,4.287337179002561
evolution,32,seed999_r1,avg_fitness,3.6579469999999996
evolution,32,seed999_r1,top20percent_fitness,13.233620500000002
evolution,32,seed999_r1,peak_population,197.05
evolution,32,seed999_r1,total_agents,207.13
evolution,32,seed999_r1,avg_lifetime,828.5060000000001
evolution,32,seed999_r1,lifetime_p90,1364.668
evolution,32,seed999_r1,survived_frac,0.0
evolution,32,seed999_r1,avg_learned_weight_diff,0.0
evolution,32,seed999_r1,genome_variance,0.025512615
evolution,32,seed999_r1,cells_visited,443.7290803456931
evolution,32,seed999_r1,cave_entries,0.18497539283607864
evolution,32,seed999_r1,food_total,4.8269975989720795
evolution,32,seed999_r2,avg_fitness,3.637687
evolution,32,seed999_r2,top20percent_fitness,13.249270999999998
evolution,32,seed999_r2,peak_population,198.405
evolution,32,seed999_r2,total_agents,208.095
evolution,32,seed999_r2,avg_lifetime,835.283
evolution,32,seed999_r2,lifetime_p90,1330.703
evolution,32,seed999_r2,survived_frac,0.0
evolution,32,seed999_r2,avg_learned_weight_diff,0.0
evolution,32,seed999_r2,genome_variance,0.02715431
evolution,32,seed999_r2,cells_visited,460.3431192413633
evolution,32,seed999_r2,cave_entries,0.21423720900025597
evolution,32,seed999_r2,food_total,4.854616140234694
evolution,32,seed999_r3,avg_fitness,4.2332875
evolution,32,seed999_r3,top20percent_fitness,12.762343000000001
evolution,32,seed999_r3,peak_population,187.785
evolution,32,seed999_r3,total_agents,251.91
evolution,32,seed999_r3,avg_lifetime,1365.5025
evolution,32,seed999_r3,lifetime_p90,2245.2505
evolution,32,seed999_r3,survived_frac,0.0
evolution,32,seed999_r3,avg_learned_weight_diff,0.0
evolution,32,seed999_r3,genome_variance,0.022907004999999998
evolution,32,seed999_r3,cells_visited,443.35823893880473
evolution,32,seed999_r3,cave_entries,0.27957795517781714
evolution,32,seed999_r3,food_total,5.206173127318911
evolution,32,seed999_r4,avg_fitness,3.6711575
evolution,32,seed999_r4,top20percent_fitness,13.322539999999998
evolution,32,seed999_r4,peak_population,198.56
evolution,32,seed999_r4,total_agents,208.42
evolution,32,seed999_r4,avg_lifetime,811.53
evolution,32,seed999_r4,lifetime_p90,1241.1055000000001
evolution,32,seed999_r4,survived_frac,0.0
evolution,32,seed999_r4,avg_learned_weight_diff,0.0
evolution,32,seed999_r4,genome_variance,0.026527995
evolution,32,seed999_r4,cells_visited,459.4525492388594
evolution,32,seed999_r4,cave_entries,0.07404672784898295
evolution,32,seed999_r4,food_total,4.871468134670129
evolution,32,seed999_r5,avg_fitness,7.0934695
evolution,32,seed999_r5,top20percent_fitness,20.2497835
evolution,32,seed999_r5,peak_population,465.99
evolution,32,seed999_r5,total_agents,1292.445
evolution,32,seed999_r5,avg_lifetime,1619.265
evolution,32,seed999_r5,lifetime_p90,2155.6615
evolution,32,seed999_r5,survived_frac,0.021028435806606814
evolution,32,seed999_r5,avg_learned_weight_diff,0.0
evolution,32,seed999_r5,genome_variance,0.042936145
evolution,32,seed999_r5,cells_visited,841.3250114005743
evolution,32,seed999_r5,cave_entries,1.6253075856276382
evolution,32,seed999_r5,food_total,7.464536394100396
evolution,64,seed1_r1,avg_fitness,7.1695645
evolution,64,seed1_r1,top20percent_fitness,20.3954315
evolution,64,seed1_r1,peak_population,488.445
evolution,64,seed1_r1,total_agents,1338.59
evolution,64,seed1_r1,avg_lifetime,1665.463
evolution,64,seed1_r1,lifetime_p90,2217.5565
evolution,64,seed1_r1,survived_frac,0.02677521343691451
evolution,64,seed1_r1,avg_learned_weight_diff,0.0
evolution,64,seed1_r1,genome_variance,0.04561204
evolution,64,seed1_r1,cells_visited,844.8451361305328
evolution,64,seed1_r1,cave_entries,1.825427490622305
evolution,64,seed1_r1,food_total,7.475703222976635
evolution,64,seed1_r2,avg_fitness,3.489637
evolution,64,seed1_r2,top20percent_fitness,12.8537635
evolution,64,seed1_r2,peak_population,189.735
evolution,64,seed1_r2,total_agents,196.33
evolution,64,seed1_r2,avg_lifetime,809.322
evolution,64,seed1_r2,lifetime_p90,1273.226
evolution,64,seed1_r2,survived_frac,0.0
evolution,64,seed1_r2,avg_learned_weight_diff,0.0
evolution,64,seed1_r2,genome_variance,0.027079009999999997
evolution,64,seed1_r2,cells_visited,424.9004646932363
evolution,64,seed1_r2,cave_entries,0.12039102665708323
evolution,64,seed1_r2,food_total,4.37488779827364
evolution,64,seed1_r3,avg_fitness,7.216948500000001
evolution,64,seed1_r3,top20percent_fitness,20.404982500000003
evolution,64,seed1_r3,peak_population,477.98
evolution,64,seed1_r3,total_agents,1323.52
evolution,64,seed1_r3,avg_lifetime,1641.5755
evolution,64,seed1_r3,lifetime_p90,2107.096
evolution,64,seed1_r3,survived_frac,0.026120998320066636
evolution,64,seed1_r3,avg_learned_weight_diff,0.0
evolution,64,seed1_r3,genome_variance,0.04386107000000001
