trace_decay,unit,metric,value
0.9,seed1,avg_fitness,7.496964333333335
0.9,seed1,top20percent_fitness,20.82709966666667
0.9,seed1,peak_population,579.5033333333333
0.9,seed1,cave_entries,1.5630021115535577
0.9,seed1,night_share,0.5186209872792462
0.9,seed1,cells_visited,921.8097715144274
0.9,seed42,avg_fitness,7.467858000000002
0.9,seed42,top20percent_fitness,20.808328000000003
0.9,seed42,peak_population,583.96
0.9,seed42,cave_entries,1.7973390318243847
0.9,seed42,night_share,0.5157589949980175
0.9,seed42,cells_visited,942.2456515030544
0.9,seed999,avg_fitness,7.416250999999999
0.9,seed999,top20percent_fitness,20.59966233333333
0.9,seed999,peak_population,568.55
0.9,seed999,cave_entries,2.112356167996894
0.9,seed999,night_share,0.5147110805662352
0.9,seed999,cells_visited,948.1623660090274
0.95,seed1,avg_fitness,7.492128666666668
0.95,seed1,top20percent_fitness,20.939428
0.95,seed1,peak_population,588.5866666666666
0.95,seed1,cave_entries,1.566020116462645
0.95,seed1,night_share,0.5142507604550999
0.95,seed1,cells_visited,957.9418492473321
0.95,seed42,avg_fitness,7.514910666666667
0.95,seed42,top20percent_fitness,20.974987333333328
0.95,seed42,peak_population,588.6399999999999
0.95,seed42,cave_entries,1.383499302704505
0.95,seed42,night_share,0.5146351685185695
0.95,seed42,cells_visited,949.6794071631506
0.95,seed999,avg_fitness,7.455486666666667
0.95,seed999,top20percent_fitness,20.724712999999998
0.95,seed999,peak_population,574.31
0.95,seed999,cave_entries,1.873204419390561
0.95,seed999,night_share,0.5170010355318726
0.95,seed999,cells_visited,936.1903521504819
0.98,seed1,avg_fitness,7.506593666666666
0.98,seed1,top20percent_fitness,20.802376666666667
0.98,seed1,peak_population,577.09
0.98,seed1,cave_entries,1.712176077662832
0.98,seed1,night_share,0.5173355352910537
0.98,seed1,cells_visited,936.1203188213472
0.98,seed42,avg_fitness,7.470691999999999
0.98,seed42,top20percent_fitness,20.913141000000007
0.98,seed42,peak_population,585.63
0.98,seed42,cave_entries,1.4871687835087664
0.98,seed42,night_share,0.5131442670674153
0.98,seed42,cells_visited,954.0606289074489
0.98,seed999,avg_fitness,7.415276333333334
0.98,seed999,top20percent_fitness,20.538233666666667
0.98,seed999,peak_population,572.0233333333333
0.98,seed999,cave_entries,2.152663061975169
0.98,seed999,night_share,0.5139446371506858
0.98,seed999,cells_visited,935.3665010767522
0.99,seed1,avg_fitness,7.482321666666666
0.99,seed1,top20percent_fitness,20.92493766666667
0.99,seed1,peak_population,590.1299999999999
0.99,seed1,cave_entries,2.108346761807466
0.99,seed1,night_share,0.5165081349354711
0.99,seed1,cells_visited,966.1596825123487
0.99,seed42,avg_fitness,7.493368666666666
0.99,seed42,top20percent_fitness,20.973844333333332
0.99,seed42,peak_population,593.22
0.99,seed42,cave_entries,2.11865792321573
0.99,seed42,night_share,0.513113258649046
0.99,seed42,cells_visited,957.1847514185183
0.99,seed999,avg_fitness,7.422325333333332
0.99,seed999,top20percent_fitness,20.638485
0.99,seed999,peak_population,573.7533333333333
0.99,seed999,cave_entries,1.794659449360456
0.99,seed999,night_share,0.5164011574323092
0.99,seed999,cells_visited,955.5913912270232
