lr,metric,mean,std,sem,count
0.0001,cave_entries,1.7280217826231539,0.277240359271089,0.16006479605539178,3
0.001,cave_entries,1.665109699164552,0.3197714418540939,0.18462012803361588,3
0.01,cave_entries,1.5069598277203538,0.6110836409128731,0.3528093045784239,3
0.0001,cave_entries_day,0.8430941797098018,0.13527261010051653,0.07809967785551651,3
0.001,cave_entries_day,0.8006486368864095,0.1511364847677935,0.08725869016505935,3
0.01,cave_entries_day,0.7312041229434297,0.2952510968520812,0.17046330024608133,3
0.0001,cave_entries_night,0.8849276029133519,0.14222618048936905,0.08211432359134951,3
0.001,cave_entries_night,0.8644610622781425,0.16870593130043243,0.09740241485019117,3
0.01,cave_entries_night,0.775755704776924,0.3158326949153896,0.18234609142828515,3
0.0001,cells_visited,956.26812040677,8.897655015130251,5.137063518141875,3
0.001,cells_visited,951.2775766613909,2.8245155665822663,1.6307348226965597,3
0.01,cells_visited,995.4257854026464,30.843810316671203,17.807682189163877,3
0.0001,death_drained_frac,0.0,0.0,0.0,3
0.001,death_drained_frac,0.0,0.0,0.0,3
0.01,death_drained_frac,0.0,0.0,0.0,3
0.0001,death_lifespan_frac,0.0,0.0,0.0,3
0.001,death_lifespan_frac,0.0,0.0,0.0,3
0.01,death_lifespan_frac,0.0,0.0,0.0,3
0.0001,death_starved_frac,0.9475686116007944,0.0063277043538093785,0.0036533018120242116,3
0.001,death_starved_frac,0.9497715935707358,0.004416475739574951,0.0025498534571130496,3
0.01,death_starved_frac,0.946581745975215,0.0032491920077143983,0.0018759218803026884,3
0.0001,death_survived_frac,0.052431388399205636,0.006327704353809397,0.0036533018120242225,3
0.001,death_survived_frac,0.050228406429264204,0.004416475739574972,0.0025498534571130617,3
0.01,death_survived_frac,0.05341825402478506,0.003249192007714404,0.0018759218803026916,3
0.0001,food_default_frac,0.07471975273085674,0.0023315519556087573,0.0013461221492003144,3
0.001,food_default_frac,0.07539850887087574,0.0018266058436196778,0.0010545913755171644,3
0.01,food_default_frac,0.07509273573019881,0.00028753262217871833,0.00016600703681568198,3
0.0001,food_low_frac,0.3675582309770153,0.01216611906170666,0.007024112115269377,3
0.001,food_low_frac,0.35660800675435483,0.008711839796091886,0.005029783051410545,3
0.01,food_low_frac,0.3566816618452358,0.00848176882814565,0.004896951516134068,3
0.0001,food_medium_frac,0.3329613308965571,0.006796142337746448,0.003923754608148924,3
0.001,food_medium_frac,0.3430994382270527,0.011220906180296787,0.006478393203745886,3
0.01,food_medium_frac,0.33807827283459746,0.007153741804415185,0.004130214756492187,3
0.0001,food_prestige_frac,0.22476068539557081,0.00698589292381684,0.004033307160095555,3
0.001,food_prestige_frac,0.22489404614771677,0.004665059850698964,0.002693373560586762,3
0.01,food_prestige_frac,0.23014732958996795,0.005075424213808616,0.0029302975360939493,3
0.0001,food_total,7.672612201378798,0.08817273410306067,0.050906551769587374,3
0.001,food_total,7.685719626272587,0.04406157128178841,0.025438960040458425,3
0.01,food_total,7.52564775651627,0.09220180395098218,0.05323273633086866,3
0.0001,predator_touches,0.0,0.0,0.0,3
0.001,predator_touches,0.0,0.0,0.0,3
0.01,predator_touches,0.0,0.0,0.0,3
