panel,fraction,seed,rep,run,n_gens,avg_fitness
0.05,0.3,999,3,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r3,1000,6.277092
0.05,0.3,999,4,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r4,1000,7.117392
0.05,0.3,999,5,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r5,1000,7.186253999999999
0.05,0.3,999,6,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r6,1000,3.7642280000000006
0.05,0.3,999,7,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r7,1000,4.005326
0.05,0.3,999,8,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r8,1000,5.600290000000001
0.05,0.3,999,9,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r9,1000,6.954908
0.05,0.3,999,10,roam60d5_10r_evo_cull0.3_rec0.05_seed999_r10,1000,7.018170000000001
0.05,0.4,1,1,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r1,1000,3.456033999999999
0.05,0.4,1,2,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r2,1000,4.0065100000000005
0.05,0.4,1,3,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r3,1000,7.13672
0.05,0.4,1,4,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r4,1000,3.451956
0.05,0.4,1,5,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r5,1000,3.495242
0.05,0.4,1,6,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r6,1000,7.14229
0.05,0.4,1,7,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r7,1000,3.798276
0.05,0.4,1,8,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r8,1000,3.499266
0.05,0.4,1,9,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r9,1000,7.211768000000001
0.05,0.4,1,10,roam60d5_10r_evo_cull0.4_rec0.05_seed1_r10,1000,7.022781999999999
0.05,0.4,42,1,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r1,1000,7.079074
0.05,0.4,42,2,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r2,1000,3.6401980000000003
0.05,0.4,42,3,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r3,1000,7.173870000000001
0.05,0.4,42,4,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r4,1000,3.7424820000000008
0.05,0.4,42,5,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r5,1000,7.214516
0.05,0.4,42,6,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r6,1000,6.092994
0.05,0.4,42,7,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r7,1000,7.146802
0.05,0.4,42,8,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r8,1000,3.5346800000000003
0.05,0.4,42,9,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r9,1000,3.61504
0.05,0.4,42,10,roam60d5_10r_evo_cull0.4_rec0.05_seed42_r10,1000,7.04101
0.05,0.4,999,1,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r1,1000,7.206941999999999
0.05,0.4,999,2,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r2,1000,4.820738
0.05,0.4,999,3,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r3,1000,3.634132
0.05,0.4,999,4,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r4,1000,3.6696939999999993
0.05,0.4,999,5,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r5,1000,7.130724
0.05,0.4,999,6,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r6,1000,3.7585779999999995
0.05,0.4,999,7,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r7,1000,3.73869
0.05,0.4,999,8,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r8,1000,3.6426499999999997
0.05,0.4,999,9,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r9,1000,7.146229999999999
0.05,0.4,999,10,roam60d5_10r_evo_cull0.4_rec0.05_seed999_r10,1000,3.7632400000000006
0.05,0.5,1,1,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r1,1000,7.06081
0.05,0.5,1,2,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r2,1000,3.4352059999999995
0.05,0.5,1,3,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r3,1000,3.470724
0.05,0.5,1,4,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r4,1000,7.064176
0.05,0.5,1,5,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r5,1000,3.448742
0.05,0.5,1,6,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r6,1000,3.4824520000000003
0.05,0.5,1,7,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r7,1000,7.161254000000001
0.05,0.5,1,8,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r8,1000,7.17594
0.05,0.5,1,9,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r9,1000,7.1955599999999995
0.05,0.5,1,10,roam60d5_10r_evo_cull0.5_rec0.05_seed1_r10,1000,5.174028
0.05,0.5,42,1,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r1,1000,5.842116000000001
0.05,0.5,42,2,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r2,1000,6.555404000000001
0.05,0.5,42,3,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r3,1000,6.983861999999999
0.05,0.5,42,4,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r4,1000,7.2276620000000005
0.05,0.5,42,5,roam60d5_10r_evo_cull0.5_rec0.05_seed42_r5,1000,3.669846
