decay,lr,metric,mean,std,sem,count
linear,0.005,avg_fitness,3.537024583333333,0.2256706611460236,0.06514550848042877,12
linear,0.01,avg_fitness,4.901919166666667,1.6795209730453629,0.4848359429486812,12
linear,0.02,avg_fitness,5.549925833333333,1.2099992374750292,0.349296692737725,12
linear,0.03,avg_fitness,5.6576362499999995,1.165567938773207,0.3364704816047541,12
quadratic,0.005,avg_fitness,4.206462083333333,1.3158162378754212,0.37984342957072753,12
quadratic,0.01,avg_fitness,4.372716666666666,1.3935436924411175,0.4022814129791921,12
quadratic,0.02,avg_fitness,5.46623875,1.4560393206917752,0.42032234687603814,12
quadratic,0.03,avg_fitness,5.6953458333333336,1.1076081860392055,0.3197389421831842,12
sublinear,0.005,avg_fitness,4.3352691666666665,1.3690207896004845,0.3952022607010169,12
sublinear,0.01,avg_fitness,4.429109166666667,1.4565586950143723,0.4204722773285189,12
sublinear,0.02,avg_fitness,6.039370833333334,1.068148786671325,0.3083479947596309,12
sublinear,0.03,avg_fitness,6.1479825,0.7927205855771162,0.2288387217375529,12
linear,0.005,avg_learned_weight_diff,0.003547208333333333,0.00035757009918802404,0.00010322159651018343,12
linear,0.01,avg_learned_weight_diff,0.006489391666666666,0.00089731250784909,0.0002590318089769451,12
linear,0.02,avg_learned_weight_diff,0.012112933333333332,0.0012767275776077846,0.00036855950530683665,12
linear,0.03,avg_learned_weight_diff,0.016310320833333333,0.0016127583038297983,0.00046556322042696916,12
quadratic,0.005,avg_learned_weight_diff,0.0035570208333333335,0.000564769973874454,0.00016303504822331695,12
quadratic,0.01,avg_learned_weight_diff,0.006243312500000001,0.0008994028552133407,0.0002596352402836701,12
quadratic,0.02,avg_learned_weight_diff,0.012170545833333333,0.0014101370719089587,0.00040707150903045397,12
quadratic,0.03,avg_learned_weight_diff,0.0165109625,0.0014770711020500556,0.00042639369919040843,12
sublinear,0.005,avg_learned_weight_diff,0.0035007249999999997,0.0005739231618272765,0.0001656773459875696,12
sublinear,0.01,avg_learned_weight_diff,0.006243008333333334,0.0008063709691725279,0.0002327792480592292,12
sublinear,0.02,avg_learned_weight_diff,0.012503533333333332,0.0010953004665249155,0.00031618600959584136,12
sublinear,0.03,avg_learned_weight_diff,0.01716134583333333,0.0010311453765018109,0.00029766603034847924,12
linear,0.005,peak_population,166.67083333333332,20.29767629259043,5.859434435725485,12
linear,0.01,peak_population,240.26666666666665,116.57666095230161,33.65278329101953,12
linear,0.02,peak_population,258.40416666666664,109.3328829732502,31.561684707941925,12
linear,0.03,peak_population,267.55,103.85231647085992,29.979581435208587,12
quadratic,0.005,peak_population,192.65416666666667,71.76666882186936,20.7172527815745,12
quadratic,0.01,peak_population,201.00833333333333,82.86688897188546,23.92161032741245,12
quadratic,0.02,peak_population,260.2916666666667,107.93204897976179,31.15729876632667,12
quadratic,0.03,peak_population,267.91249999999997,109.67124452198037,31.659361273563317,12
sublinear,0.005,peak_population,211.97083333333333,93.71640842634407,27.05359681621733,12
sublinear,0.01,peak_population,224.7125,105.84529474877259,30.554904707829564,12
sublinear,0.02,peak_population,289.30833333333334,104.83379233411102,30.262909112134164,12
sublinear,0.03,peak_population,291.7916666666667,98.62683765619074,28.47111563506162,12
linear,0.005,top20percent_fitness,11.799285,0.9782220631236122,0.2823883857358243,12
linear,0.01,top20percent_fitness,14.454839166666666,3.9242291107483376,1.1328273667261592,12
linear,0.02,top20percent_fitness,15.309723750000002,3.2186009157750277,0.9291300525683441,12
linear,0.03,top20percent_fitness,15.57897,3.136517348223111,0.9054345676572721,12
quadratic,0.005,top20percent_fitness,13.146596250000002,2.9399902157243862,0.8487020712316701,12
quadratic,0.01,top20percent_fitness,13.245112083333334,3.051334707233169,0.880844457304359,12
quadratic,0.02,top20percent_fitness,15.300655833333332,3.564597672544315,1.0290107128980868,12
quadratic,0.03,top20percent_fitness,15.493097083333334,3.305608759057347,0.954247053438672,12
sublinear,0.005,top20percent_fitness,13.71927,2.958000481941844,0.8539011872560831,12
sublinear,0.01,top20percent_fitness,13.661571666666667,3.3044684182395216,0.9539178653996023,12
sublinear,0.02,top20percent_fitness,16.8560325,2.743352520829792,0.7919376581915594,12
sublinear,0.03,top20percent_fitness,16.794317083333333,2.4615635375586886,0.7105921855184382,12
linear,0.005,total_agents,192.42499999999998,15.63157498026466,4.5124470113568105,12
linear,0.01,total_agents,519.2416666666667,427.5075096806294,123.41078789734897,12
linear,0.02,total_agents,607.6750000000001,379.12814486301687,109.44486824701312,12
linear,0.03,total_agents,634.6416666666667,368.916227145832,106.49694152553361,12
quadratic,0.005,total_agents,335.7916666666667,299.38232233089917,86.42423219417998,12
quadratic,0.01,total_agents,364.0708333333334,310.17256667446304,89.53910743236919,12
quadratic,0.02,total_agents,624.6916666666667,384.60888447246185,111.02702149144876,12
quadratic,0.03,total_agents,649.45,378.9401421908694,109.39059655032676,12
sublinear,0.005,total_agents,371.6375,364.75892482382983,105.29683171817831,12
sublinear,0.01,total_agents,419.0708333333334,403.0512438987546,116.35087208107974,12
sublinear,0.02,total_agents,755.1125000000001,368.04242722631363,106.2446972161577,12
sublinear,0.03,total_agents,752.6625,345.64096987599464,99.77795350043442,12
