collapse_buffer,unit,metric,value
25,seed42_r1,night_share,0.494839302018223
25,seed42_r1,food_total,6.813452305523999
25,seed42_r2,avg_fitness,5.147272
25,seed42_r2,top20percent_fitness,15.21635
25,seed42_r2,peak_population,171.05
25,seed42_r2,avg_lifetime,1562.1354999999999
25,seed42_r2,avg_learned_weight_diff,0.005991519999999999
25,seed42_r2,genome_variance,0.006530785
25,seed42_r2,collapse,0.565
25,seed42_r2,respawned,97.185
25,seed42_r2,cells_visited,687.4768188525812
25,seed42_r2,cave_entries,0.4220692058278064
25,seed42_r2,night_share,0.48172797427079517
25,seed42_r2,food_total,5.566219459230466
25,seed42_r3,avg_fitness,5.534584
25,seed42_r3,top20percent_fitness,15.314123499999999
25,seed42_r3,peak_population,185.995
25,seed42_r3,avg_lifetime,1465.4785000000002
25,seed42_r3,avg_learned_weight_diff,0.006625514999999999
25,seed42_r3,genome_variance,0.008156130000000001
25,seed42_r3,collapse,0.33
25,seed42_r3,respawned,95.975
25,seed42_r3,cells_visited,770.1665747261717
25,seed42_r3,cave_entries,0.6626425268242626
25,seed42_r3,night_share,0.48961807366877813
25,seed42_r3,food_total,6.9519307669201025
25,seed42_r4,avg_fitness,5.805060999999999
25,seed42_r4,top20percent_fitness,16.5299915
25,seed42_r4,peak_population,217.31
25,seed42_r4,avg_lifetime,1611.1570000000002
25,seed42_r4,avg_learned_weight_diff,0.00730087
25,seed42_r4,genome_variance,0.011873115
25,seed42_r4,collapse,0.18
25,seed42_r4,respawned,91.87
25,seed42_r4,cells_visited,724.0730280286189
25,seed42_r4,cave_entries,1.303124956002635
25,seed42_r4,night_share,0.4953301641349615
25,seed42_r4,food_total,6.47804569234728
25,seed42_r5,avg_fitness,5.616268
25,seed42_r5,top20percent_fitness,16.0277225
25,seed42_r5,peak_population,206.725
25,seed42_r5,avg_lifetime,1609.3105000000003
25,seed42_r5,avg_learned_weight_diff,0.006449465000000001
25,seed42_r5,genome_variance,0.008884385
25,seed42_r5,collapse,0.305
25,seed42_r5,respawned,94.14
25,seed42_r5,cells_visited,750.1854032316091
25,seed42_r5,cave_entries,1.0411678832098907
25,seed42_r5,night_share,0.4990726436463882
25,seed42_r5,food_total,6.6268193659083225
25,seed999_r1,avg_fitness,4.5674695000000005
25,seed999_r1,top20percent_fitness,13.7142185
25,seed999_r1,peak_population,161.99
25,seed999_r1,avg_lifetime,1192.4229999999998
25,seed999_r1,avg_learned_weight_diff,0.00821182
25,seed999_r1,genome_variance,0.005888300000000001
25,seed999_r1,collapse,0.885
25,seed999_r1,respawned,99.565
25,seed999_r1,cells_visited,557.4435269567042
25,seed999_r1,cave_entries,0.7624764648851513
25,seed999_r1,night_share,0.49262457618039446
25,seed999_r1,food_total,5.328601678262219
25,seed999_r2,avg_fitness,5.676735
25,seed999_r2,top20percent_fitness,16.663535
25,seed999_r2,peak_population,204.805
25,seed999_r2,avg_lifetime,1674.976
25,seed999_r2,avg_learned_weight_diff,0.006272995
25,seed999_r2,genome_variance,0.008666085
25,seed999_r2,collapse,0.23
25,seed999_r2,respawned,94.69
25,seed999_r2,cells_visited,719.6916119783133
25,seed999_r2,cave_entries,1.5503783318941395
25,seed999_r2,night_share,0.49325693214831096
25,seed999_r2,food_total,6.222849729531353
25,seed999_r3,avg_fitness,5.18471
25,seed999_r3,top20percent_fitness,15.050995
25,seed999_r3,peak_population,177.39
25,seed999_r3,avg_lifetime,1521.5784999999998
25,seed999_r3,avg_learned_weight_diff,0.008163005
25,seed999_r3,genome_variance,0.006521129999999999
25,seed999_r3,collapse,0.53
25,seed999_r3,respawned,98.035
25,seed999_r3,cells_visited,600.8569088789027
25,seed999_r3,cave_entries,1.219065377919862
25,seed999_r3,night_share,0.485867578179235
25,seed999_r3,food_total,6.19430431590988
25,seed999_r4,avg_fitness,5.5051575
25,seed999_r4,top20percent_fitness,15.4918665
25,seed999_r4,peak_population,186.295
25,seed999_r4,avg_lifetime,1475.0125000000003
25,seed999_r4,avg_learned_weight_diff,0.00803386
25,seed999_r4,genome_variance,0.0074028
25,seed999_r4,collapse,0.37
25,seed999_r4,respawned,96.335
25,seed999_r4,cells_visited,695.873880605247
25,seed999_r4,cave_entries,1.8441396859558636
25,seed999_r4,night_share,0.48624428704547823
25,seed999_r4,food_total,6.343900539458822
25,seed999_r5,avg_fitness,5.377306999999999
25,seed999_r5,top20percent_fitness,15.3055555
25,seed999_r5,peak_population,183.245
25,seed999_r5,avg_lifetime,1523.425
25,seed999_r5,avg_learned_weight_diff,0.007104440000000001
25,seed999_r5,genome_variance,0.007139260000000001
25,seed999_r5,collapse,0.455
25,seed999_r5,respawned,97.035
25,seed999_r5,cells_visited,671.215904990744
25,seed999_r5,cave_entries,1.2841193815737229
25,seed999_r5,night_share,0.4920793710036776
25,seed999_r5,food_total,6.401877994866477
100,seed1_r1,avg_fitness,6.218505
100,seed1_r1,top20percent_fitness,17.536417
100,seed1_r1,peak_population,273.475
100,seed1_r1,avg_lifetime,1595.8905
100,seed1_r1,avg_learned_weight_diff,0.0078309
100,seed1_r1,genome_variance,0.014418569999999999
100,seed1_r1,collapse,0.17
100,seed1_r1,respawned,89.94
100,seed1_r1,cells_visited,727.89355348631
100,seed1_r1,cave_entries,0.897406199618199
100,seed1_r1,night_share,0.5015957698335664
100,seed1_r1,food_total,6.672140083282978
100,seed1_r2,avg_fitness,6.4115615
100,seed1_r2,top20percent_fitness,18.4044925
100,seed1_r2,peak_population,313.395
100,seed1_r2,avg_lifetime,1556.2715000000003
100,seed1_r2,avg_learned_weight_diff,0.008363255
100,seed1_r2,genome_variance,0.021017855000000002
100,seed1_r2,collapse,0.175
100,seed1_r2,respawned,88.575
100,seed1_r2,cells_visited,754.7730030620249
100,seed1_r2,cave_entries,0.9435233672449492
100,seed1_r2,night_share,0.5015312773137376
100,seed1_r2,food_total,6.610036664934101
100,seed1_r3,avg_fitness,6.690018
100,seed1_r3,top20percent_fitness,18.590043
