metric,label,baseline_buffer,buffer,mean_buf25,mean_buf100,std_buf25,std_buf100,diff,pct_change,mannwhitney_p,cliffs_delta,n_baseline,n_buffer,final_frac
avg_fitness,Mean average fitness,25,100,5.5378146,6.374295633333333,0.38907492177887765,0.19203866881919596,0.8364810333333335,15.104894146028895,1.3294722762606463e-05,0.9377777777777778,15,15,0.2
top20percent_fitness,Top-20% fitness,25,100,15.925054599999998,17.82767043333333,0.9238847184542955,0.6114222021582105,1.9026158333333338,11.947311209428031,1.3294722762606463e-05,0.9377777777777778,15,15,0.2
peak_population,Peak population,25,100,199.6603333333333,310.671,30.99428363782945,36.57422344584594,111.01066666666668,55.599760259507406,1.0992164801504736e-05,0.9466666666666667,15,15,0.2
avg_lifetime,Mean lifetime (ticks),25,100,1551.3082999999997,1622.819866666667,113.477918317295,49.93591505435293,71.51156666666725,4.609758528763577,0.0744956919139866,0.38666666666666666,15,15,0.2
avg_learned_weight_diff,Learned weight diff (MAD),25,100,0.007008848,0.007498572333333333,0.0007192083621589318,0.0006485616650709135,0.0004897243333333336,6.987230045983785,0.061969619914038716,0.40444444444444444,15,15,0.2
genome_variance,Genomic variance,25,100,0.008957864000000001,0.020380274333333337,0.0028947951551627966,0.0035950087422192576,0.011422410333333336,127.5126562909789,9.073400856319232e-06,0.9555555555555556,15,15,0.2
collapse,Collapse rate,25,100,0.3673333333333334,0.09766666666666665,0.19254321304291377,0.06410581530216707,-0.2696666666666667,-73.41197822141561,2.3144175390661346e-05,-0.9111111111111111,15,15,0.2
respawned,Respawned from buffer / window,25,100,94.60700000000001,84.244,4.223890702500085,5.710386793671103,-10.363000000000014,-10.95373492447706,2.7983495853192974e-05,-0.9022222222222223,15,15,0.2
cells_visited,Cells explored / organism,25,100,703.0603181122127,782.530392404953,58.42221653052227,41.896375911212175,79.47007429274026,11.303450393292763,0.0003078634611799442,0.7777777777777778,15,15,0.2
cave_entries,Cave entries / organism,25,100,1.1316992623823543,1.4141335431477489,0.3460529208318501,0.44943925082004027,0.28243428076539456,24.956655019005545,0.15846460599820356,0.30666666666666664,15,15,0.2
night_share,Night share of cave entries,25,100,0.4921867930871055,0.5032807007065329,0.004415198971795125,0.004344663825347034,0.011093907619427357,2.2540035155847824,2.7983495853192974e-05,0.9022222222222223,15,15,0.2
food_total,Food eaten / organism,25,100,6.333724882788028,6.930772306362106,0.5005359069775245,0.21143539731089345,0.5970474235740779,9.426481803725977,0.0005759812107616887,0.7422222222222222,15,15,0.2
