seed,rep,run,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_night,food_prestige,food_low,energy_at_death,frac_death_drained,frac_death_starved
2001,1,roam60d5_w500_learning_h128_lr0.02_seed2001_r1,850.6459743412746,4.937068046015013,10.23259559621696,1.782330314207414,0.9156265907355268,1.5708164284872397,2.958720817209054,1.7588460775020036,0.44122067446729063,0.527010074996718
2001,2,roam60d5_w500_learning_h128_lr0.02_seed2001_r2,824.9915400114622,4.729990336801817,9.739265762487793,1.8610578877595092,0.9567208345695665,1.6079393572148897,2.8993491106303737,1.6750075271645162,0.41327240585726466,0.5556705792379004
2001,3,roam60d5_w500_learning_h128_lr0.02_seed2001_r3,858.2027508727591,4.978922382114693,10.031444658445729,1.6995310600476128,0.8872717203590582,1.5633342554388565,2.980060095678442,0.8839028740110026,0.43674811114235523,0.5384989420603845
2001,4,roam60d5_w500_learning_h128_lr0.02_seed2001_r4,849.0342661443439,4.5023497468595455,9.094245497737255,1.5247657407030613,0.7807571208006852,1.5934402687781664,2.9347911956389066,2.0350431194594596,0.389855046404125,0.5754814155678344
2001,5,roam60d5_w500_learning_h128_lr0.02_seed2001_r5,821.7266243412727,4.8956541202211765,10.002011387285423,2.039957223416632,1.0386847785824542,1.603426625076849,2.958325258482029,1.7004747484336398,0.43786311070617556,0.530196258776921
2001,6,roam60d5_w500_learning_h128_lr0.02_seed2001_r6,856.0077061649163,4.62954888224136,9.409081321225905,1.3696344690235775,0.7108888255672222,1.6115054151723094,2.887013320471711,1.2146584004290846,0.4077291342967473,0.5651568615330286
2001,7,roam60d5_w500_learning_h128_lr0.02_seed2001_r7,818.5032237230455,4.985325861256886,10.2447738255133,1.3221990967810058,0.6742521930032553,1.5896577810740047,2.942664038479852,1.205333960791941,0.4443530660774253,0.527177757382509
2001,8,roam60d5_w500_learning_h128_lr0.02_seed2001_r8,841.5801092661197,4.7365570723910375,9.69021997286538,1.4907862033982846,0.7655558479045282,1.611092800993785,2.9761405174610656,1.821389660415778,0.42696626229627427,0.5401125682995969
2001,9,roam60d5_w500_learning_h128_lr0.02_seed2001_r9,852.6726896598749,4.838329724521859,9.976431092415796,1.4564247545323659,0.7585537973304348,1.5991695890793522,2.949964361881987,1.5388064667798573,0.4354065189607683,0.5348986289417026
2001,10,roam60d5_w500_learning_h128_lr0.02_seed2001_r10,824.1581688227633,4.835965243000319,9.900398710369828,2.3248814106679463,1.1922022239440564,1.593720077130032,2.879019667735851,1.445010291275344,0.41268162082142273,0.5591546458122533
