metric,source,lo,hi
avg_fitness,gen,1.0509,8.4169
top20percent_fitness,gen,2.818,23.8908
best_fitness,gen,5.5,112.0
avg_learned_weight_diff,gen,0.003304,0.011424
avg_network_weight_mag,gen,0.1062,0.6185
genome_variance,gen,0.010798,0.055353
total_agents,gen,100.0,1733.0
peak_population,gen,100.0,725.0
avg_lifetime,gen,688.3,1855.3
cells_visited,behaviour,367.3538461538462,925.2045454545456
predator_touches,behaviour,3.348113831899404,13.16891891891892
drained_ticks,behaviour,6.750172057811425,32.86010362694301
cave_entries,behaviour,0.0,7.6172650878533235
cave_entries_night,behaviour,0.0,4.011459129106188
food_prestige,behaviour,0.0,2.2405149051490514
food_low,behaviour,1.5333333333333334,6.2894736842105265
energy_at_death,behaviour,-2.4949438202247194,9.61784
frac_death_drained,behaviour,0.2945629731589814,0.9562841530054644
frac_death_starved,behaviour,0.0437158469945355,0.6915949702183984
