seed,rep,run,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_night,food_prestige,food_low,energy_at_death,frac_death_drained,frac_death_starved
2001,1,base_w500_learning_h128_lr0.01_seed2001_r1,892.6486317295082,0.0,0.0,1.5842944196094637,0.8143949324365584,1.675478037360061,2.924621695674917,4.131799110250783,0.0,0.9374261483536769
2001,2,base_w500_learning_h128_lr0.01_seed2001_r2,891.4890088850921,0.0,0.0,1.8503843479384725,0.9518564490249709,1.706983602050454,2.928128184518384,4.594653306646201,0.0,0.9383061184212997
2001,3,base_w500_learning_h128_lr0.01_seed2001_r3,919.4326133800073,0.0,0.0,1.566759410252455,0.8088448552850029,1.7124604793129652,2.959593517510996,4.452274045482854,0.0,0.936061015185036
2001,4,base_w500_learning_h128_lr0.01_seed2001_r4,934.2224306262165,0.0,0.0,1.6227047421750245,0.8404366749002615,1.6846519394836963,2.9472710291156905,4.281146457096894,0.0,0.9369137914044637
2001,5,base_w500_learning_h128_lr0.01_seed2001_r5,882.0145734221649,0.0,0.0,2.232073326721883,1.146412694783473,1.6956112129852778,2.9858697014425655,4.652127097727441,0.0,0.9359380557087382
2001,6,base_w500_learning_h128_lr0.01_seed2001_r6,927.9357836684603,0.0,0.0,1.5236526534193493,0.7746084171139761,1.7098897702239073,2.9556917894263033,4.241790456097015,0.0,0.9365459188081627
2001,7,base_w500_learning_h128_lr0.01_seed2001_r7,911.9551703019225,0.0,0.0,1.7527472681710585,0.9010388421628328,1.7181387130937624,2.941611984937115,4.427696398114788,0.0,0.9346173615060378
2001,8,base_w500_learning_h128_lr0.01_seed2001_r8,909.1876940544115,0.0,0.0,1.4922041580189838,0.7642366763032686,1.7143076417469991,2.9793200137112548,4.227279744141055,0.0,0.9355972741697784
2001,9,base_w500_learning_h128_lr0.01_seed2001_r9,908.4276891340662,0.0,0.0,1.0582548390852138,0.537465944104786,1.7331945364052788,2.963683422348365,4.268920862436073,0.0,0.9372846244938924
2001,10,base_w500_learning_h128_lr0.01_seed2001_r10,901.9053999121397,0.0,0.0,1.448278577953071,0.7417228759695709,1.6643154504735245,2.9730804824902357,4.4166955796139185,0.0,0.9358622342086789
2002,1,base_w500_learning_h128_lr0.01_seed2002_r1,896.4200767776778,0.0,0.0,1.5627072868637728,0.8008082807944413,1.7457928204919408,2.9612652057808564,3.732293760492011,0.0,0.9419563090571487
2002,2,base_w500_learning_h128_lr0.01_seed2002_r2,903.9695122790213,0.0,0.0,2.088339155801714,1.0655457700023563,1.727103702307396,2.883986012307434,4.015526779828384,0.0,0.9414078465277417
2002,3,base_w500_learning_h128_lr0.01_seed2002_r3,893.9532101448359,0.0,0.0,1.4660127276527948,0.7450181504533628,1.7454183610077694,2.8739209114174527,3.908171812422613,0.0,0.9417383624211597
2002,4,base_w500_learning_h128_lr0.01_seed2002_r4,906.0233462706345,0.0,0.0,1.4435756839031806,0.7509399300973114,1.6813610279187299,2.9269391083327396,3.304499021752985,0.0,0.9436399878161281
2002,5,base_w500_learning_h128_lr0.01_seed2002_r5,924.3142536613028,0.0,0.0,1.5847148021026982,0.8075044847462222,1.7510694312836574,2.897328113057256,4.04116724059313,0.0,0.9407198633468018
2002,6,base_w500_learning_h128_lr0.01_seed2002_r6,936.8909436110663,0.0,0.0,1.415874588027889,0.7343215768245819,1.7481564015299185,2.924958139925822,3.4111703567958354,0.0,0.9436848401633636
2002,7,base_w500_learning_h128_lr0.01_seed2002_r7,924.0306761429174,0.0,0.0,1.63737211984962,0.8356264780836118,1.7586640741458848,2.927127134141965,4.066565194153332,0.0,0.9395113331681499
2002,8,base_w500_learning_h128_lr0.01_seed2002_r8,944.9032619196342,0.0,0.0,1.4476323198010062,0.7414684407325651,1.7580501597048077,2.9226507558850816,3.5141018159332877,0.0,0.9424004414948968
2002,9,base_w500_learning_h128_lr0.01_seed2002_r9,902.5941623396268,0.0,0.0,1.6061935806594678,0.8306475289425349,1.7285636762612138,2.898891641264246,3.8561855929101823,0.0,0.9406645251498733
2002,10,base_w500_learning_h128_lr0.01_seed2002_r10,917.4406416691104,0.0,0.0,2.3953924932987474,1.2368374509076105,1.731224271153007,2.953033160161399,3.8886900821749295,0.0,0.940071848583258
2003,1,base_w500_learning_h128_lr0.01_seed2003_r1,919.9753644455768,0.0,0.0,2.255405911761584,1.1652471404767741,1.648373665958428,2.91854042050685,4.799217972835928,0.0,0.9359766683495029
2003,2,base_w500_learning_h128_lr0.01_seed2003_r2,931.9884757528922,0.0,0.0,0.9950202941715096,0.5126380859460091,1.6643960312254777,2.957908508013182,4.272216625940549,0.0,0.935659576679209
2003,3,base_w500_learning_h128_lr0.01_seed2003_r3,895.6951415986609,0.0,0.0,1.4949778447020756,0.774488985641959,1.6652679857232089,2.9294262030550255,4.2369596886666745,0.0,0.9367573212902685
2003,4,base_w500_learning_h128_lr0.01_seed2003_r4,912.6387926230001,0.0,0.0,1.3892199447444447,0.7046813205002894,1.6636022412670628,2.9258175604922583,4.2676906794692595,0.0,0.9368688091349873
2003,5,base_w500_learning_h128_lr0.01_seed2003_r5,904.8224446119239,0.0,0.0,2.124887532329638,1.0920447064986127,1.6651350160226719,2.954568992961444,4.730740083633596,0.0,0.9340763477742562
2003,6,base_w500_learning_h128_lr0.01_seed2003_r6,916.2718577295497,0.0,0.0,0.9510897546694449,0.48667750057545156,1.655618587540087,2.957300037927063,4.370138204576539,0.0,0.9364269144367988
2003,7,base_w500_learning_h128_lr0.01_seed2003_r7,909.3137002709726,0.0,0.0,1.79407363839538,0.921094598002731,1.6536226938839866,2.943307193935846,4.63691688730965,0.0,0.9336475448686472
2003,8,base_w500_learning_h128_lr0.01_seed2003_r8,918.8053935254991,0.0,0.0,1.9127524506578732,0.9782431105832896,1.6625036127220787,2.8932335838488026,4.5677594783219435,0.0,0.9342236906475143
