environment,condition,seed,rep,run,time,event,last_gen,first_crossing
baseline,learning,2001,1,base_w500_learning_h128_lr0.01_seed2001_r1,31.0,1,1000.0,4.0
baseline,learning,2001,2,base_w500_learning_h128_lr0.01_seed2001_r2,33.0,1,1000.0,4.0
baseline,learning,2001,3,base_w500_learning_h128_lr0.01_seed2001_r3,24.0,1,1000.0,4.0
baseline,learning,2001,4,base_w500_learning_h128_lr0.01_seed2001_r4,34.0,1,1000.0,7.0
baseline,learning,2001,5,base_w500_learning_h128_lr0.01_seed2001_r5,22.0,1,1000.0,4.0
baseline,learning,2001,6,base_w500_learning_h128_lr0.01_seed2001_r6,24.0,1,1000.0,4.0
baseline,learning,2001,7,base_w500_learning_h128_lr0.01_seed2001_r7,34.0,1,1000.0,4.0
baseline,learning,2001,8,base_w500_learning_h128_lr0.01_seed2001_r8,34.0,1,1000.0,4.0
baseline,learning,2001,9,base_w500_learning_h128_lr0.01_seed2001_r9,34.0,1,1000.0,4.0
baseline,learning,2001,10,base_w500_learning_h128_lr0.01_seed2001_r10,25.0,1,1000.0,4.0
baseline,learning,2002,1,base_w500_learning_h128_lr0.01_seed2002_r1,27.0,1,1000.0,4.0
baseline,learning,2002,2,base_w500_learning_h128_lr0.01_seed2002_r2,25.0,1,1000.0,7.0
baseline,learning,2002,3,base_w500_learning_h128_lr0.01_seed2002_r3,22.0,1,1000.0,4.0
baseline,learning,2002,4,base_w500_learning_h128_lr0.01_seed2002_r4,22.0,1,1000.0,4.0
baseline,learning,2002,5,base_w500_learning_h128_lr0.01_seed2002_r5,31.0,1,1000.0,4.0
baseline,learning,2002,6,base_w500_learning_h128_lr0.01_seed2002_r6,19.0,1,1000.0,4.0
baseline,learning,2002,7,base_w500_learning_h128_lr0.01_seed2002_r7,30.0,1,1000.0,4.0
baseline,learning,2002,8,base_w500_learning_h128_lr0.01_seed2002_r8,27.0,1,1000.0,4.0
baseline,learning,2002,9,base_w500_learning_h128_lr0.01_seed2002_r9,22.0,1,1000.0,4.0
baseline,learning,2002,10,base_w500_learning_h128_lr0.01_seed2002_r10,22.0,1,1000.0,4.0
baseline,learning,2003,1,base_w500_learning_h128_lr0.01_seed2003_r1,37.0,1,1000.0,7.0
baseline,learning,2003,2,base_w500_learning_h128_lr0.01_seed2003_r2,25.0,1,1000.0,7.0
baseline,learning,2003,3,base_w500_learning_h128_lr0.01_seed2003_r3,28.0,1,1000.0,4.0
baseline,learning,2003,4,base_w500_learning_h128_lr0.01_seed2003_r4,25.0,1,1000.0,7.0
baseline,learning,2003,5,base_w500_learning_h128_lr0.01_seed2003_r5,37.0,1,1000.0,7.0
baseline,learning,2003,6,base_w500_learning_h128_lr0.01_seed2003_r6,34.0,1,1000.0,7.0
baseline,learning,2003,7,base_w500_learning_h128_lr0.01_seed2003_r7,37.0,1,1000.0,7.0
baseline,learning,2003,8,base_w500_learning_h128_lr0.01_seed2003_r8,27.0,1,1000.0,7.0
baseline,learning,2003,9,base_w500_learning_h128_lr0.01_seed2003_r9,34.0,1,1000.0,7.0
baseline,learning,2003,10,base_w500_learning_h128_lr0.01_seed2003_r10,25.0,1,1000.0,7.0
baseline,learning,2004,1,base_w500_learning_h128_lr0.01_seed2004_r1,31.0,1,1000.0,4.0
baseline,learning,2004,2,base_w500_learning_h128_lr0.01_seed2004_r2,27.0,1,1000.0,4.0
baseline,learning,2004,3,base_w500_learning_h128_lr0.01_seed2004_r3,28.0,1,1000.0,4.0
baseline,learning,2004,4,base_w500_learning_h128_lr0.01_seed2004_r4,31.0,1,1000.0,4.0
baseline,learning,2004,5,base_w500_learning_h128_lr0.01_seed2004_r5,34.0,1,1000.0,7.0
baseline,learning,2004,6,base_w500_learning_h128_lr0.01_seed2004_r6,31.0,1,1000.0,7.0
baseline,learning,2004,7,base_w500_learning_h128_lr0.01_seed2004_r7,34.0,1,1000.0,7.0
baseline,learning,2004,8,base_w500_learning_h128_lr0.01_seed2004_r8,24.0,1,1000.0,7.0
baseline,learning,2004,9,base_w500_learning_h128_lr0.01_seed2004_r9,21.0,1,1000.0,7.0
baseline,learning,2004,10,base_w500_learning_h128_lr0.01_seed2004_r10,24.0,1,1000.0,4.0
baseline,learning,2005,1,base_w500_learning_h128_lr0.01_seed2005_r1,31.0,1,1000.0,7.0
baseline,learning,2005,2,base_w500_learning_h128_lr0.01_seed2005_r2,21.0,1,1000.0,4.0
baseline,learning,2005,3,base_w500_learning_h128_lr0.01_seed2005_r3,37.0,1,1000.0,4.0
baseline,learning,2005,4,base_w500_learning_h128_lr0.01_seed2005_r4,34.0,1,1000.0,4.0
baseline,learning,2005,5,base_w500_learning_h128_lr0.01_seed2005_r5,21.0,1,1000.0,4.0
baseline,learning,2005,6,base_w500_learning_h128_lr0.01_seed2005_r6,25.0,1,1000.0,4.0
baseline,learning,2005,7,base_w500_learning_h128_lr0.01_seed2005_r7,31.0,1,1000.0,4.0
baseline,learning,2005,8,base_w500_learning_h128_lr0.01_seed2005_r8,33.0,1,1000.0,4.0
baseline,learning,2005,9,base_w500_learning_h128_lr0.01_seed2005_r9,31.0,1,1000.0,4.0
baseline,learning,2005,10,base_w500_learning_h128_lr0.01_seed2005_r10,31.0,1,1000.0,4.0
baseline,learning,2006,1,base_w500_learning_h128_lr0.01_seed2006_r1,33.0,1,1000.0,4.0
baseline,learning,2006,2,base_w500_learning_h128_lr0.01_seed2006_r2,21.0,1,1000.0,4.0
baseline,learning,2006,3,base_w500_learning_h128_lr0.01_seed2006_r3,31.0,1,1000.0,1.0
baseline,learning,2006,4,base_w500_learning_h128_lr0.01_seed2006_r4,31.0,1,1000.0,4.0
baseline,learning,2006,5,base_w500_learning_h128_lr0.01_seed2006_r5,21.0,1,1000.0,7.0
baseline,learning,2006,6,base_w500_learning_h128_lr0.01_seed2006_r6,31.0,1,1000.0,4.0
baseline,learning,2006,7,base_w500_learning_h128_lr0.01_seed2006_r7,21.0,1,1000.0,4.0
baseline,learning,2006,8,base_w500_learning_h128_lr0.01_seed2006_r8,25.0,1,1000.0,4.0
baseline,learning,2006,9,base_w500_learning_h128_lr0.01_seed2006_r9,31.0,1,1000.0,1.0
baseline,learning,2006,10,base_w500_learning_h128_lr0.01_seed2006_r10,22.0,1,1000.0,4.0
baseline,learning,2007,1,base_w500_learning_h128_lr0.01_seed2007_r1,25.0,1,1000.0,7.0
baseline,learning,2007,2,base_w500_learning_h128_lr0.01_seed2007_r2,25.0,1,1000.0,4.0
baseline,learning,2007,3,base_w500_learning_h128_lr0.01_seed2007_r3,22.0,1,1000.0,4.0
baseline,learning,2007,4,base_w500_learning_h128_lr0.01_seed2007_r4,25.0,1,1000.0,7.0
baseline,learning,2007,5,base_w500_learning_h128_lr0.01_seed2007_r5,25.0,1,1000.0,4.0
baseline,learning,2007,6,base_w500_learning_h128_lr0.01_seed2007_r6,24.0,1,1000.0,7.0
