generation,cells_visited,cave_entries,predator_touches,drained_ticks,food_total,lifetime,cave_entries_day,cave_entries_night,energy_at_death,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,436.43975903614455,0.0963855421686747,9.30722891566265,15.891566265060241,6.771084337349397,1464.1385542168675,0.030120481927710843,0.06626506024096386,-2.1003012048192775,0.2090747330960854,0.6548042704626335,0.13167259786476868,0.004448398576512456,0.6875
2,422.83076923076925,0.03076923076923077,8.784615384615385,15.892307692307693,4.876923076923077,1406.4307692307693,0.015384615384615385,0.015384615384615385,-2.018692307692308,0.2476340694006309,0.6561514195583596,0.09305993690851735,0.0031545741324921135,0.5
3,477.83898305084745,0.11016949152542373,6.338983050847458,10.88135593220339,4.788135593220339,1573.1864406779662,0.07627118644067797,0.03389830508474576,-1.571949152542373,0.2672566371681416,0.6371681415929203,0.09380530973451327,0.0017699115044247787,0.3076923076923077
4,432.0326797385621,0.29411764705882354,9.470588235294118,16.666666666666668,7.352941176470588,1438.3464052287582,0.1503267973856209,0.1437908496732026,-1.9150980392156862,0.1768888888888889,0.7271111111111112,0.088,0.008,0.4888888888888889
5,443.260162601626,0.0,7.853658536585366,14.764227642276422,5.195121951219512,1420.8048780487804,0.0,0.0,-1.8139024390243903,0.21752738654147105,0.7089201877934272,0.06885758998435054,0.004694835680751174,
6,517.4761904761905,0.38095238095238093,6.420634920634921,10.603174603174603,5.095238095238095,1627.079365079365,0.1984126984126984,0.18253968253968253,-1.839920634920635,0.2601246105919003,0.5934579439252337,0.1292834890965732,0.017133956386292833,0.4791666666666667
7,460.85632183908046,0.19540229885057472,10.333333333333334,17.95402298850575,7.362068965517241,1368.0114942528735,0.08045977011494253,0.11494252873563218,-2.1677586206896553,0.141295862607338,0.6572989851678376,0.17642466822794692,0.02498048399687744,0.5882352941176471
8,416.2837837837838,0.07432432432432433,12.175675675675675,22.236486486486488,5.966216216216216,1164.1148648648648,0.0472972972972973,0.02702702702702703,-2.0013513513513512,0.14722536806342015,0.6942242355605889,0.12684031710079274,0.031710079275198186,0.36363636363636365
9,483.0821917808219,0.0684931506849315,10.219178082191782,17.732876712328768,6.335616438356165,1364.8287671232877,0.04794520547945205,0.02054794520547945,-1.8265068493150687,0.19783783783783784,0.6475675675675676,0.11567567567567567,0.03891891891891892,0.3
10,515.9010989010989,0.35714285714285715,8.642857142857142,14.604395604395604,6.8901098901098905,1502.7307692307693,0.18681318681318682,0.17032967032967034,-1.677857142857143,0.16985645933014354,0.5988835725677831,0.20095693779904306,0.030303030303030304,0.47692307692307695
11,511.3034482758621,0.696551724137931,8.786206896551723,16.413793103448278,5.6689655172413795,1382.6689655172413,0.32413793103448274,0.3724137931034483,-1.8048275862068965,0.15815085158150852,0.6496350364963503,0.16180048661800486,0.030413625304136254,0.5346534653465347
12,496.24444444444447,0.0962962962962963,9.933333333333334,18.451851851851853,4.9037037037037035,1321.9407407407407,0.05185185185185185,0.044444444444444446,-1.8717037037037036,0.19939577039274925,0.5891238670694864,0.15256797583081572,0.05891238670694864,0.46153846153846156
13,614.35,0.43846153846153846,6.242307692307692,11.215384615384615,6.188461538461539,1642.2,0.17692307692307693,0.26153846153846155,-1.6353076923076924,0.11311373523927906,0.4512119328775637,0.36357986326911124,0.07209446861404599,0.5964912280701754
14,523.301775147929,0.34911242603550297,9.005917159763314,16.810650887573964,5.680473372781065,1368.3136094674555,0.11242603550295859,0.23668639053254437,-1.8124852071005917,0.12395833333333334,0.6572916666666667,0.19166666666666668,0.027083333333333334,0.6779661016949152
15,509.15328467153284,0.0364963503649635,9.525547445255475,17.416058394160583,4.956204379562044,1344.14598540146,0.021897810218978103,0.014598540145985401,-1.7831386861313867,0.17820324005891017,0.5964653902798233,0.19145802650957292,0.033873343151693665,0.4
16,580.4642857142857,0.3373015873015873,8.773809523809524,16.734126984126984,5.944444444444445,1414.4404761904761,0.21031746031746032,0.12698412698412698,-2.074246031746032,0.11949265687583445,0.44659546061415223,0.32242990654205606,0.11148197596795728,0.3764705882352941
17,637.625,0.046052631578947366,4.815789473684211,9.723684210526315,5.006578947368421,1610.3618421052631,0.02631578947368421,0.019736842105263157,-1.2773684210526315,0.11038107752956636,0.6806833114323259,0.18265440210249673,0.026281208935611037,0.42857142857142855
18,571.2132352941177,0.20588235294117646,8.463235294117647,15.080882352941176,4.860294117647059,1428.9632352941176,0.11029411764705882,0.09558823529411764,-1.855514705882353,0.17397881996974282,0.594553706505295,0.19818456883509833,0.03328290468986384,0.4642857142857143
19,563.5964912280701,0.11403508771929824,8.530701754385966,16.31140350877193,6.478070175438597,1420.5657894736842,0.03508771929824561,0.07894736842105263,-1.678157894736842,0.09343263371699391,0.5633039945836155,0.2626946513202437,0.08056872037914692,0.6923076923076923
20,582.9931034482759,0.42758620689655175,7.068965517241379,14.186206896551724,5.172413793103448,1447.7655172413793,0.14482758620689656,0.2827586206896552,-2.121103448275862,0.12533333333333332,0.7106666666666667,0.128,0.036,0.6612903225806451
21,605.7349397590361,0.8373493975903614,8.096385542168674,14.94578313253012,5.337349397590361,1456.2951807228915,0.4759036144578313,0.3614457831325301,-1.7480120481927712,0.15011286681715574,0.59255079006772,0.21331828442437922,0.04401805869074492,0.4316546762589928
22,627.218045112782,0.47368421052631576,7.7631578947368425,14.93984962406015,6.015037593984962,1484.345864661654,0.24812030075187969,0.22556390977443608,-1.7760526315789473,0.129375,0.439375,0.28375,0.1475,0.47619047619047616
23,614.3586956521739,0.33152173913043476,7.445652173913044,13.896739130434783,5.630434782608695,1488.5869565217392,0.14130434782608695,0.19021739130434784,-1.4291847826086959,0.09942084942084942,0.5714285714285714,0.30694980694980695,0.0222007722007722,0.5737704918032787
24,601.9470198675497,0.2582781456953642,8.735099337748345,15.993377483443709,5.397350993377484,1408.317880794702,0.12582781456953643,0.13245033112582782,-1.8066887417218542,0.1460122699386503,0.6282208588957056,0.17177914110429449,0.053987730061349694,0.5128205128205128
25,608.5889328063241,0.06324110671936758,7.517786561264822,15.023715415019764,5.683794466403162,1440.8695652173913,0.02766798418972332,0.03557312252964427,-1.820592885375494,0.13143254520166897,0.4485396383866481,0.2913769123783032,0.1286509040333797,0.5625
26,636.78125,0.3020833333333333,7.09375,13.729166666666666,5.8125,1481.4114583333333,0.125,0.17708333333333334,-1.8221875,0.10215053763440861,0.546594982078853,0.2885304659498208,0.06272401433691756,0.5862068965517241
27,609.1324503311258,0.08609271523178808,8.152317880794701,15.960264900662251,4.66887417218543,1410.7615894039734,0.033112582781456956,0.052980132450331126,-1.6962913907284767,0.12198581560283688,0.7035460992907802,0.11205673758865248,0.062411347517730496,0.6153846153846154
28,589.7920792079208,0.2079207920792079,8.381188118811881,16.61881188118812,5.410891089108911,1395.381188118812,0.1188118811881188,0.0891089108910891,-1.5874257425742575,0.12259835315645014,0.5416285452881976,0.25892040256175664,0.0768526989935956,0.42857142857142855
29,644.7307692307693,0.21153846153846154,7.2451923076923075,14.10576923076923,6.235576923076923,1476.0673076923076,0.10576923076923077,0.10576923076923077,-1.8421634615384617,0.10254433307632999,0.5713184271395528,0.24209714726291442,0.08404009252120277,0.5
