generation,cells_visited,cave_entries,predator_touches,drained_ticks,food_total,lifetime,cave_entries_day,cave_entries_night,energy_at_death,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,584.2134146341464,0.21341463414634146,0.0,0.0,7.725609756097561,2091.951219512195,0.0975609756097561,0.11585365853658537,-1.1433536585365853,0.23599052880820837,0.6037884767166535,0.14127861089187055,0.018942383583267563,0.5428571428571428
2,578.4861111111111,0.05555555555555555,0.0,0.0,5.243055555555555,1992.2222222222222,0.006944444444444444,0.04861111111111111,-1.0015277777777778,0.23576158940397351,0.6198675496688741,0.1271523178807947,0.017218543046357615,0.875
3,599.7421875,0.3359375,0.0,0.0,5.359375,2022.8125,0.1171875,0.21875,-1.040859375,0.25801749271137026,0.5860058309037901,0.10932944606413994,0.04664723032069971,0.6511627906976745
4,659.4214876033058,0.34710743801652894,0.0,0.0,8.685950413223141,2073.9793388429753,0.2190082644628099,0.128099173553719,-0.8725206611570249,0.18315889628924834,0.6117982873453853,0.170313986679353,0.03472882968601332,0.36904761904761907
5,666.5090909090909,0.12121212121212122,0.0,0.0,6.781818181818182,1997.7575757575758,0.06666666666666667,0.05454545454545454,-0.9718787878787878,0.19124218051831993,0.6157283288650581,0.16353887399463807,0.029490616621983913,0.45
6,694.4514285714286,0.34285714285714286,0.0,0.0,6.291428571428572,2025.2342857142858,0.22857142857142856,0.11428571428571428,-0.5938857142857142,0.23342415985467757,0.4768392370572207,0.22706630336058128,0.06267029972752043,0.3333333333333333
7,722.6422018348624,0.363914373088685,0.0,0.0,7.782874617737003,2074.256880733945,0.21406727828746178,0.14984709480122324,-0.8812844036697248,0.150098231827112,0.4919449901768173,0.22829076620825148,0.12966601178781925,0.4117647058823529
8,688.6860465116279,0.37790697674418605,0.0,0.0,6.982558139534884,2001.2790697674418,0.18023255813953487,0.19767441860465115,-0.8848255813953488,0.15070774354704414,0.736053288925895,0.08243130724396336,0.030807660283097418,0.5230769230769231
9,709.8921161825726,0.34024896265560167,0.0,0.0,7.468879668049793,2039.377593360996,0.1950207468879668,0.14522821576763487,-0.9197095435684648,0.18611111111111112,0.5244444444444445,0.21777777777777776,0.07166666666666667,0.4268292682926829
10,718.551724137931,0.19540229885057472,0.0,0.0,8.291187739463602,2077.969348659004,0.08812260536398467,0.10727969348659004,-0.9015325670498084,0.1709796672828096,0.5064695009242144,0.25092421441774493,0.07162661737523106,0.5490196078431373
11,720.8333333333334,0.46464646464646464,0.0,0.0,6.722222222222222,2011.2121212121212,0.23232323232323232,0.23232323232323232,-0.9238383838383838,0.19383921863260706,0.585274229902329,0.16754320060105185,0.05334335086401202,0.5
12,695.502994011976,0.30538922155688625,0.0,0.0,6.586826347305389,2031.0179640718563,0.1437125748502994,0.16167664670658682,-1.032934131736527,0.22727272727272727,0.49818181818181817,0.22545454545454546,0.04909090909090909,0.5294117647058824
13,762.6812652068127,0.805352798053528,0.0,0.0,7.6107055961070555,2072.301703163017,0.3746958637469586,0.4306569343065693,-0.7350608272506083,0.14034526854219948,0.46898976982097185,0.25671355498721227,0.13395140664961636,0.5347432024169184
14,735.455,0.64,0.0,0.0,7.395,2014.65,0.23,0.41,-0.90315,0.12643678160919541,0.7308992562542258,0.10885733603786342,0.03380662609871535,0.640625
15,747.2258064516129,0.2672811059907834,0.0,0.0,7.055299539170507,2036.0829493087558,0.1382488479262673,0.12903225806451613,-0.9653456221198157,0.19725669497060744,0.47093403004572176,0.26714565643370347,0.06466361854996734,0.4827586206896552
16,787.5550122249389,0.8019559902200489,0.0,0.0,7.71638141809291,2072.559902200489,0.44987775061124696,0.35207823960880197,-0.7792176039119804,0.13624841571609633,0.4632446134347275,0.2864385297845374,0.11406844106463879,0.43902439024390244
17,760.7844036697247,0.9174311926605505,0.0,0.0,7.284403669724771,2017.967889908257,0.536697247706422,0.38073394495412843,-0.6874770642201835,0.1341309823677582,0.6675062972292192,0.1297229219143577,0.06863979848866499,0.415
18,769.6972972972973,0.7135135135135136,0.0,0.0,7.72972972972973,2034.5945945945946,0.42162162162162165,0.2918918918918919,-0.915027027027027,0.1902097902097902,0.606993006993007,0.14335664335664336,0.05944055944055944,0.4090909090909091
19,799.94,0.468,0.0,0.0,8.28,2068.04,0.176,0.292,-0.85534,0.11666666666666667,0.49830917874396136,0.2536231884057971,0.13140096618357489,0.6239316239316239
20,782.3157894736842,0.7192982456140351,0.0,0.0,7.201754385964913,2018.7280701754387,0.39473684210526316,0.32456140350877194,-0.8408771929824561,0.13885505481120586,0.6211936662606578,0.17295980511571254,0.06699147381242387,0.45121951219512196
21,797.948905109489,0.48175182481751827,0.0,0.0,7.160583941605839,2032.0401459854015,0.28102189781021897,0.20072992700729927,-0.37594890510948903,0.20336391437308868,0.49337410805300713,0.2069317023445464,0.0963302752293578,0.4166666666666667
22,814.604774535809,0.2864721485411141,0.0,0.0,7.859416445623342,2065.968169761273,0.15119363395225463,0.13527851458885942,-0.8672679045092838,0.1532230847114411,0.4836314546068174,0.25548430644616943,0.10766115423557206,0.4722222222222222
23,795.8785714285714,0.7714285714285715,0.0,0.0,7.307142857142857,2024.9642857142858,0.4035714285714286,0.3678571428571429,-0.5851428571428572,0.1544477028347996,0.5953079178885631,0.17790811339198437,0.07233626588465299,0.47685185185185186
24,794.1967213114754,1.1434426229508197,0.0,0.0,8.069672131147541,2046.9262295081967,0.5409836065573771,0.6024590163934426,-0.9153688524590163,0.18537328593194516,0.5881157948197054,0.16048755713560184,0.06602336211274759,0.5268817204301075
25,809.8851674641148,0.5885167464114832,0.0,0.0,8.07177033492823,2068.4162679425835,0.3492822966507177,0.23923444976076555,-0.8814832535885166,0.13455838767042086,0.46650859513930054,0.27771191464137523,0.12122110254890338,0.4065040650406504
26,772.0404858299595,1.3724696356275303,0.0,0.0,7.396761133603239,2025.2550607287449,0.582995951417004,0.7894736842105263,0.268502024291498,0.15435139573070608,0.5971538040503558,0.19704433497536947,0.051450465243568694,0.5752212389380531
27,793.0477815699659,0.3310580204778157,0.0,0.0,7.375426621160409,2036.433447098976,0.21160409556313994,0.11945392491467577,-0.6507508532423207,0.1772327626099028,0.5224433132808884,0.1989819527996298,0.1013419713095789,0.36082474226804123
28,826.4377431906614,0.9494163424124513,0.0,0.0,7.908560311284047,2071.4007782101166,0.4688715953307393,0.4805447470817121,-0.7691245136186771,0.11488314883148831,0.5043050430504306,0.23050430504305042,0.15030750307503074,0.5061475409836066
29,788.9478260869565,0.5652173913043478,0.0,0.0,7.84927536231884,2025.9942028985506,0.2956521739130435,0.26956521739130435,-0.5788985507246377,0.12112259970457903,0.604135893648449,0.17688330871491875,0.09785819793205318,0.47692307692307695
30,815.2484276729559,0.6855345911949685,0.0,0.0,7.261006289308176,2029.6006289308177,0.34276729559748426,0.34276729559748426,0.25433962264150944,0.14638371589432655,0.5080121264616717,0.256388046773495,0.08921611087050671,0.5
31,827.0688468158347,0.8932874354561101,0.0,0.0,7.576592082616179,2066.499139414802,0.4612736660929432,0.43201376936316693,-0.2519621342512909,0.11608359836437983,0.45774647887323944,0.29123125851885506,0.13493866424352566,0.4836223506743738
32,812.8503937007874,0.6968503937007874,0.0,0.0,7.622047244094488,2027.007874015748,0.3858267716535433,0.3110236220472441,-0.7698425196850394,0.12706611570247933,0.5774793388429752,0.23295454545454544,0.0625,0.4463276836158192
33,828.9325842696629,1.2621722846441947,0.0,0.0,7.2434456928838955,2041.685393258427,0.6329588014981273,0.6292134831460674,-0.33565543071161047,0.17476732161323683,0.5584281282316442,0.17838676318510857,0.08841778697001035,0.49851632047477745
34,846.874039938556,0.7956989247311828,0.0,0.0,7.788018433179723,2063.1182795698924,0.4254992319508449,0.37019969278033793,-0.7559139784946237,0.09664694280078895,0.47495069033530574,0.28067061143984223,0.1477317554240631,0.46525096525096526
35,810.5718390804598,1.471264367816092,0.0,0.0,7.612068965517241,2033.807471264368,0.7270114942528736,0.7442528735632183,0.25126436781609196,0.12986032465081163,0.5383163457908645,0.2397130992827482,0.09211023027557569,0.505859375
36,850.9152542372881,1.6977401129943503,0.0,0.0,7.598870056497175,2051.276836158192,0.8248587570621468,0.8728813559322034,-0.48457627118644075,0.14721189591078068,0.49033457249070633,0.24981412639405204,0.11263940520446096,0.5141430948419301
