lr,metric,mean,std,sem,count
0.005,avg_learned_weight_diff,0.0019680833333333334,5.021016663319606e-05,2.898885322173171e-05,3
0.01,avg_learned_weight_diff,0.0036880000000000003,3.88576569031122e-05,2.2434478673089947e-05,3
0.02,avg_learned_weight_diff,0.0067072,0.00019333256321685786,0.00011162060741637321,3
0.03,avg_learned_weight_diff,0.008960966666666667,0.00027517407369396683,0.00015887182552121767,3
0.005,avg_network_weight_mag,0.59948,0.0011266321493726768,0.0006504613747180016,3
0.01,avg_network_weight_mag,0.60169,0.003417905060120993,0.0019733284065254395,3
0.02,avg_network_weight_mag,0.5987716666666667,0.000212622513702946,0.00012275766552217077,3
0.03,avg_network_weight_mag,0.6023083333333333,0.004411738130638835,0.0025471181973184677,3
0.005,peak_population,599.1,8.051863138429498,4.648745350450296,3
0.01,peak_population,598.5833333333334,15.279261544110499,8.821485765510893,3
0.02,peak_population,592.7166666666666,7.954296532901767,4.592415244484942,3
0.03,peak_population,591.3000000000001,10.91547067239884,6.302049931040935,3
0.005,total_agents,1392.6000000000001,18.071178710864437,10.433399893291417,3
0.01,total_agents,1401.2666666666667,20.46792205704642,11.817160309388028,3
0.02,total_agents,1404.6499999999999,12.38941080116393,7.153029661152852,3
0.03,total_agents,1404.8666666666668,16.37424298504617,9.453673595192747,3
