model,term,estimate,se,p
LMM,Intercept,6.653705400000008,0.06381909781256949,0.0
LMM,C(condition)[T.learning],0.5334526599999914,0.08818352746700246,1.4543510417385367e-09
LMM,C(condition)[T.pure_rl],-0.48875760000000895,0.08818352746700248,2.981756965097177e-08
LMM,C(condition)[T.random_floor],-5.116896816666674,0.12980263782296989,0.0
LMM,ICC_seed,0.0047281057317685804,,
