environment,condition,icc,design_effect,n_effective
baseline,evolution,0.4934386417227247,5.440947775504522,18.379150862319623
baseline,learning,0.2871958415650276,3.5847625740852487,27.895850264370093
baseline,pure_rl,0.0330814417455558,1.2977329757100025,77.05745470888495
hard,evolution,0.0757907284352612,1.6821165559173514,59.44891253119167
hard,learning,0.3724527128214928,4.352074415393435,22.97754828049277
hard,pure_rl,0.0112603273138941,1.1013429458250474,90.79823898548436
