condition,label,seed,rep,run,n_gens,converged_fitness,viable,time,event,ever_reached
evolution,Evolution (GA only),2001,1,roam60d5_w500_evolution_h128_seed2001_r1,1000,7.122762,1,64.0,1,1
evolution,Evolution (GA only),2001,2,roam60d5_w500_evolution_h128_seed2001_r2,1000,7.080884,1,56.0,1,1
evolution,Evolution (GA only),2001,3,roam60d5_w500_evolution_h128_seed2001_r3,1000,3.9686800000000004,0,31.0,1,1
evolution,Evolution (GA only),2001,4,roam60d5_w500_evolution_h128_seed2001_r4,1000,7.1996280000000015,1,34.0,1,1
evolution,Evolution (GA only),2001,5,roam60d5_w500_evolution_h128_seed2001_r5,1000,6.9021560000000015,1,477.0,1,1
evolution,Evolution (GA only),2001,6,roam60d5_w500_evolution_h128_seed2001_r6,1000,7.1371519999999995,1,405.0,1,1
evolution,Evolution (GA only),2001,7,roam60d5_w500_evolution_h128_seed2001_r7,1000,7.035259999999999,1,399.0,1,1
evolution,Evolution (GA only),2001,8,roam60d5_w500_evolution_h128_seed2001_r8,1000,6.400346,1,330.0,1,1
evolution,Evolution (GA only),2001,9,roam60d5_w500_evolution_h128_seed2001_r9,1000,7.238624,1,195.0,1,1
evolution,Evolution (GA only),2001,10,roam60d5_w500_evolution_h128_seed2001_r10,1000,7.0879959999999995,1,46.0,1,1
evolution,Evolution (GA only),2002,1,roam60d5_w500_evolution_h128_seed2002_r1,1000,3.929646000000001,0,83.0,1,1
evolution,Evolution (GA only),2002,2,roam60d5_w500_evolution_h128_seed2002_r2,1000,7.152756,1,19.0,1,1
evolution,Evolution (GA only),2002,3,roam60d5_w500_evolution_h128_seed2002_r3,1000,7.107996000000002,1,86.0,1,1
evolution,Evolution (GA only),2002,4,roam60d5_w500_evolution_h128_seed2002_r4,1000,7.211136,1,64.0,1,1
evolution,Evolution (GA only),2002,5,roam60d5_w500_evolution_h128_seed2002_r5,1000,7.225484,1,43.0,1,1
evolution,Evolution (GA only),2002,6,roam60d5_w500_evolution_h128_seed2002_r6,1000,7.194538000000001,1,43.0,1,1
evolution,Evolution (GA only),2002,7,roam60d5_w500_evolution_h128_seed2002_r7,1000,7.0798440000000005,1,43.0,1,1
evolution,Evolution (GA only),2002,8,roam60d5_w500_evolution_h128_seed2002_r8,1000,7.09517,1,420.0,1,1
