timestamp_ms,source,message,data
530744,GA,Gen 31 -> starting Map 2/5,
539609,GA,Gen 31 -> starting Map 3/5,
543441,GA,Gen 31 -> starting Map 4/5,
545430,GA,Gen 31 -> starting Map 5/5,
546698,GA,Gen 30 | 445 agents | tournament k=2 → 100 offspring,
546721,GA,Gen 32 started | 100 founders | RL=true,
556052,GA,Gen 32 -> starting Map 2/5,
560159,GA,Gen 32 -> starting Map 3/5,
561950,GA,Gen 32 -> starting Map 4/5,
563342,GA,Gen 32 -> starting Map 5/5,
564114,GA,Gen 31 | 287 agents | tournament k=2 → 100 offspring,
564139,GA,Gen 33 started | 100 founders | RL=true,
571368,GA,Gen 33 -> starting Map 2/5,
575393,GA,Gen 33 -> starting Map 3/5,
577363,GA,Gen 33 -> starting Map 4/5,
578755,GA,Gen 33 -> starting Map 5/5,
579801,GA,Gen 32 | 237 agents | tournament k=2 → 100 offspring,
579825,GA,Gen 34 started | 100 founders | RL=true,
590078,GA,Gen 34 -> starting Map 2/5,
599481,GA,Gen 34 -> starting Map 3/5,
606245,GA,Gen 34 -> starting Map 4/5,
608862,GA,Gen 34 -> starting Map 5/5,
609528,GA,Gen 33 | 510 agents | tournament k=2 → 100 offspring,
609554,GA,Gen 35 started | 100 founders | RL=true,
619196,GA,Gen 35 -> starting Map 2/5,
622931,GA,Gen 35 -> starting Map 3/5,
624327,GA,Gen 35 -> starting Map 4/5,
625715,GA,Gen 35 -> starting Map 5/5,
831950,GA,Gen 44 | 292 agents | tournament k=2 → 100 offspring,
831977,GA,Gen 46 started | 100 founders | RL=true,
843041,GA,Gen 46 -> starting Map 2/5,
855018,GA,Gen 46 -> starting Map 3/5,
860601,GA,Gen 46 -> starting Map 4/5,
862814,GA,Gen 46 -> starting Map 5/5,
863433,GA,Gen 45 | 542 agents | tournament k=2 → 100 offspring,
863456,GA,Gen 47 started | 100 founders | RL=true,
873316,GA,Gen 47 -> starting Map 2/5,
876797,GA,Gen 47 -> starting Map 3/5,
878238,GA,Gen 47 -> starting Map 4/5,
879659,GA,Gen 47 -> starting Map 5/5,
880965,GA,Gen 46 | 279 agents | tournament k=2 → 100 offspring,
880989,GA,Gen 48 started | 100 founders | RL=true,
888371,GA,Gen 48 -> starting Map 2/5,
893070,GA,Gen 48 -> starting Map 3/5,
895675,GA,Gen 48 -> starting Map 4/5,
897066,GA,Gen 48 -> starting Map 5/5,
897804,GA,Gen 47 | 261 agents | tournament k=2 → 100 offspring,
897830,GA,Gen 49 started | 100 founders | RL=true,
909242,GA,Gen 49 -> starting Map 2/5,
920913,GA,Gen 49 -> starting Map 3/5,
925430,GA,Gen 49 -> starting Map 4/5,
927270,GA,Gen 49 -> starting Map 5/5,
927857,GA,Gen 48 | 525 agents | tournament k=2 → 100 offspring,
927882,GA,Gen 50 started | 100 founders | RL=true,
936630,GA,Gen 50 -> starting Map 2/5,
939775,GA,Gen 50 -> starting Map 3/5,
941246,GA,Gen 50 -> starting Map 4/5,
942642,GA,Gen 50 -> starting Map 5/5,
1051504,GA,Gen 54 | 516 agents | tournament k=2 → 100 offspring,
1051529,GA,Gen 56 started | 100 founders | RL=true,
1061216,GA,Gen 56 -> starting Map 2/5,
1065171,GA,Gen 56 -> starting Map 3/5,
1066505,GA,Gen 56 -> starting Map 4/5,
1067217,GA,Gen 56 -> starting Map 5/5,
1067819,GA,Gen 55 | 244 agents | tournament k=2 → 100 offspring,
1067841,GA,Gen 57 started | 100 founders | RL=true,
1075385,GA,Gen 57 -> starting Map 2/5,
1079584,GA,Gen 57 -> starting Map 3/5,
1082279,GA,Gen 57 -> starting Map 4/5,
1083649,GA,Gen 57 -> starting Map 5/5,
1084260,GA,Gen 56 | 250 agents | tournament k=2 → 100 offspring,
1084284,GA,Gen 58 started | 100 founders | RL=true,
1095914,GA,Gen 58 -> starting Map 2/5,
1105771,GA,Gen 58 -> starting Map 3/5,
1111334,GA,Gen 58 -> starting Map 4/5,
1113517,GA,Gen 58 -> starting Map 5/5,
1114653,GA,Gen 57 | 517 agents | tournament k=2 → 100 offspring,
1114682,GA,Gen 59 started | 100 founders | RL=true,
1124938,GA,Gen 59 -> starting Map 2/5,
1129431,GA,Gen 59 -> starting Map 3/5,
1131593,GA,Gen 59 -> starting Map 4/5,
1133481,GA,Gen 59 -> starting Map 5/5,
1134641,GA,Gen 58 | 337 agents | tournament k=2 → 100 offspring,
1134664,GA,Gen 60 started | 100 founders | RL=true,
1142512,GA,Gen 60 -> starting Map 2/5,
1146794,GA,Gen 60 -> starting Map 3/5,
1149007,GA,Gen 60 -> starting Map 4/5,
1150409,GA,Gen 60 -> starting Map 5/5,
1151714,GA,Gen 59 | 256 agents | tournament k=2 → 100 offspring,
1151743,GA,Gen 61 started | 100 founders | RL=true,
1164615,GA,Gen 61 -> starting Map 2/5,
1176695,GA,Gen 61 -> starting Map 3/5,
1182081,GA,Gen 61 -> starting Map 4/5,
1184097,GA,Gen 61 -> starting Map 5/5,
1184657,GA,Gen 60 | 570 agents | tournament k=2 → 100 offspring,
1184680,GA,Gen 62 started | 100 founders | RL=true,
1194649,GA,Gen 62 -> starting Map 2/5,
1198441,GA,Gen 62 -> starting Map 3/5,
1199935,GA,Gen 62 -> starting Map 4/5,
1201337,GA,Gen 62 -> starting Map 5/5,
1202468,GA,Gen 61 | 294 agents | tournament k=2 → 100 offspring,
1202492,GA,Gen 63 started | 100 founders | RL=true,
1209998,GA,Gen 63 -> starting Map 2/5,
1214334,GA,Gen 63 -> starting Map 3/5,
1216429,GA,Gen 63 -> starting Map 4/5,
1217493,GA,Gen 63 -> starting Map 5/5,
1218115,GA,Gen 62 | 232 agents | tournament k=2 → 100 offspring,
1218139,GA,Gen 64 started | 100 founders | RL=true,
1230935,GA,Gen 64 -> starting Map 2/5,
1242546,GA,Gen 64 -> starting Map 3/5,
1248811,GA,Gen 64 -> starting Map 4/5,
1251450,GA,Gen 64 -> starting Map 5/5,
