generation,map_seed,condition,wall_clock_s,generation_ticks,total_agents,peak_population,avg_energy_at_tick_1000,avg_energy_end,avg_fitness,top20percent_fitness,best_fitness,avg_lifetime,avg_learned_weight_diff,inter_gen_weight_change,genome_variance,avg_network_weight_mag
157,1,learning,3923.5,10000,808,420,0.000,-0.496,6.6501,18.8325,44.5100,2042.0,0.006080,0.001854,0.042465,0.4231
158,1,learning,3954.9,10000,544,300,0.000,0.380,5.9172,15.2467,29.0000,2016.3,0.006135,0.001631,0.042325,0.4247
159,1,learning,3989.4,10000,623,287,0.000,1.697,6.2715,16.1873,44.5000,2008.2,0.006371,0.001234,0.042885,0.4259
160,1,learning,4036.3,10000,837,413,0.000,-0.009,6.8491,19.6096,74.0000,2043.2,0.006270,0.001626,0.042240,0.4275
161,1,learning,4069.4,10000,582,333,0.000,0.757,5.8137,15.7020,39.0200,2005.8,0.006271,0.000141,0.042945,0.4276
162,1,learning,4098.9,10000,517,214,0.000,1.928,5.9063,15.3188,43.0300,2015.2,0.006198,0.001058,0.041047,0.4287
163,1,learning,4145.7,10000,839,428,0.000,-0.644,6.8593,19.4962,47.5300,2049.3,0.006203,0.001244,0.041959,0.4299
164,1,learning,4175.7,10000,511,279,0.000,-0.026,6.1263,15.3953,29.5000,2023.4,0.006166,0.001673,0.040349,0.4316
165,1,learning,4208.5,10000,589,242,0.000,2.168,6.0929,15.8515,48.0000,2006.8,0.006446,0.001683,0.040192,0.4333
166,1,learning,4261.4,10000,970,460,0.000,0.017,6.9004,19.2797,56.5000,2039.9,0.006438,0.001170,0.040034,0.4345
167,1,learning,4284.2,10000,394,312,0.000,-0.724,5.5277,14.7521,27.5100,2020.6,0.006258,0.000387,0.039042,0.4349
168,1,learning,4315.1,10000,544,229,0.000,2.004,5.9337,14.7100,39.0000,2012.8,0.006306,0.001496,0.040371,0.4364
169,1,learning,4373.9,10000,1084,519,0.000,-0.071,7.1693,20.1694,43.0000,2041.4,0.006235,0.001337,0.039800,0.4377
170,1,learning,4404.2,10000,521,283,0.000,0.067,5.7790,14.3919,36.0000,2022.4,0.006417,0.001415,0.039506,0.4391
171,1,learning,4438.0,10000,608,248,0.000,3.179,6.2973,16.5021,59.5000,1991.8,0.006487,0.002005,0.039067,0.4411
172,1,learning,4486.5,10000,872,423,0.000,-0.111,6.7900,19.3019,47.0000,2045.3,0.006291,0.001233,0.039841,0.4423
173,1,learning,4517.4,10000,534,304,0.000,1.912,6.0989,15.8482,42.0000,2020.8,0.006254,0.001141,0.039863,0.4434
174,1,learning,4556.3,10000,674,316,0.000,3.191,6.3420,17.3048,43.0000,2003.3,0.006371,0.000990,0.039576,0.4444
175,1,learning,4613.1,10000,973,479,0.000,-0.359,7.0142,19.7399,52.5000,2036.1,0.006112,0.000495,0.040962,0.4449
176,1,learning,4645.8,10000,565,308,0.000,0.872,6.0506,15.4381,36.5100,2018.2,0.006357,0.001597,0.041412,0.4465
177,1,learning,4678.6,10000,584,256,0.000,4.327,6.3959,16.8908,36.0100,1995.2,0.006392,0.001439,0.040140,0.4479
178,1,learning,4727.4,10000,890,412,0.000,0.307,6.9473,20.0612,64.5100,2031.8,0.006264,0.001205,0.040326,0.4491
179,1,learning,4767.8,10000,713,333,0.000,-0.449,6.6405,17.4724,52.0000,2024.3,0.006512,0.001350,0.040318,0.4504
180,1,learning,4805.8,10000,680,282,0.000,3.846,6.3303,16.7651,44.0000,1988.7,0.006340,0.000851,0.040399,0.4513
181,1,learning,4862.6,10000,1041,527,0.000,0.945,6.9422,20.3526,57.5000,2026.4,0.006086,0.000820,0.040216,0.4521
182,1,learning,4893.6,10000,534,300,0.000,0.179,5.9280,15.7950,36.0000,2019.3,0.006326,0.000859,0.041255,0.4530
183,1,learning,4930.0,10000,640,285,0.000,2.031,6.3355,16.3019,47.5000,2020.0,0.006404,0.000828,0.041479,0.4538
184,1,learning,4983.4,10000,956,411,0.000,-0.243,7.0287,19.6103,48.5200,2042.0,0.006222,0.000392,0.042255,0.4542
185,1,learning,5018.3,10000,612,320,0.000,-0.323,5.9433,15.5893,32.0000,2015.8,0.006332,0.001304,0.042168,0.4555
186,1,learning,5055.1,10000,653,311,0.000,2.590,6.3284,17.4638,54.0100,2011.7,0.006483,0.000483,0.042263,0.4560
187,1,learning,5107.0,10000,941,435,0.000,0.047,6.7965,18.8127,49.5000,2039.5,0.006183,0.000637,0.042718,0.4566
188,1,learning,5141.4,10000,596,310,0.000,0.548,6.2188,15.7707,35.0000,2021.2,0.006491,0.000706,0.043373,0.4573
189,1,learning,5184.4,10000,782,379,0.000,2.847,6.5448,17.0394,45.0000,2012.1,0.006460,0.001082,0.042578,0.4584
190,1,learning,5238.0,10000,984,416,0.000,1.285,7.2158,20.6611,54.0000,2032.2,0.006346,0.001433,0.043198,0.4598
191,1,learning,5278.8,10000,721,335,0.000,0.280,6.1654,16.8716,42.0100,2022.6,0.006428,0.000645,0.042831,0.4604
192,1,learning,5314.3,10000,632,311,0.000,0.748,6.2878,17.1648,64.0100,2028.0,0.006297,0.001204,0.043726,0.4616
193,1,learning,5372.9,10000,1065,490,0.000,0.136,7.0356,19.9830,49.5000,2043.0,0.006255,0.001560,0.043723,0.4632
194,1,learning,5406.4,10000,573,285,0.000,1.003,6.1811,15.8932,33.5200,2011.0,0.006165,0.000962,0.043013,0.4642
195,1,learning,5445.9,10000,702,287,0.000,1.801,6.2710,16.1944,42.5000,2007.8,0.006438,0.000710,0.043119,0.4649
196,1,learning,5504.7,10000,1085,496,0.000,0.598,6.8943,19.5668,51.0000,2035.6,0.006320,0.000920,0.044432,0.4658
197,1,learning,5539.8,10000,610,303,0.000,0.769,6.1704,16.2741,42.5000,2013.2,0.006585,0.001558,0.043360,0.4674
198,1,learning,5578.2,10000,675,257,0.000,4.444,6.2844,16.1168,49.0000,1995.3,0.006465,0.000213,0.043958,0.4676
199,1,learning,5639.4,10000,1146,522,0.000,0.494,7.2834,20.9093,57.0000,2040.8,0.006111,0.001170,0.043716,0.4688
200,1,learning,5674.3,10000,612,314,0.000,1.668,5.8217,16.1814,46.0100,2006.5,0.006422,0.001431,0.044114,0.4702
201,1,learning,5711.2,10000,655,276,0.000,3.142,6.3647,15.5615,46.5000,1999.5,0.006500,0.000669,0.043864,0.4709
202,1,learning,5763.5,10000,945,408,0.000,-0.315,6.9066,20.3007,50.0000,2049.2,0.006150,0.001023,0.044125,0.4719
203,1,learning,5800.4,10000,636,314,0.000,0.297,6.2264,16.3323,32.5000,2029.1,0.006267,0.001628,0.044609,0.4735
