seed,rep,run,n_gens,avg_fitness,top20percent_fitness,best_fitness,total_agents,peak_population,genome_variance,avg_lifetime,avg_energy_end,avg_learned_weight_diff,avg_network_weight_mag,inter_gen_weight_change
2003,8,base_w500_evolution_h128_seed2003_r8,1000,7.325900000000002,20.643065999999997,61.886,1361.82,595.32,0.048761160000000005,2083.1079999999997,4.5856,0.0,0.607062,-3.8939999999999996e-05
2003,9,base_w500_evolution_h128_seed2003_r9,1000,7.45252,20.721904,59.0494,1343.7,572.14,0.05096674,2047.3480000000002,4.043780000000001,0.0,0.6117839999999999,3.45e-05
2003,10,base_w500_evolution_h128_seed2003_r10,1000,7.389595999999999,20.707764,61.5282,1341.2,577.62,0.04776336,2081.874,4.61778,0.0,0.6113880000000002,-1.0479999999999996e-05
2004,1,base_w500_evolution_h128_seed2004_r1,1000,7.48214,20.771288,60.667,1384.78,585.34,0.04829881999999999,2055.03,3.96464,0.0,0.605976,-5.882e-05
2004,2,base_w500_evolution_h128_seed2004_r2,1000,7.390713999999999,20.740144,60.736599999999996,1391.14,597.02,0.048522340000000004,2066.134,4.012759999999999,0.0,0.6108699999999999,4.267999999999999e-05
2004,3,base_w500_evolution_h128_seed2004_r3,1000,7.530777999999998,20.959348,59.707,1384.28,585.46,0.04817646,2079.994,4.49678,0.0,0.609016,3.1000000000000025e-06
2004,4,base_w500_evolution_h128_seed2004_r4,1000,7.480316,20.998608,64.23859999999999,1389.3,591.38,0.048862060000000006,2063.6279999999997,4.08346,0.0,0.611558,3.1859999999999997e-05
2004,5,base_w500_evolution_h128_seed2004_r5,1000,7.506484,21.125004,63.675200000000004,1400.5,588.56,0.04916434,2063.83,4.19848,0.0,0.608174,2.772e-05
2004,6,base_w500_evolution_h128_seed2004_r6,1000,7.453253999999999,20.937162000000004,63.3992,1389.96,594.24,0.04823885999999999,2061.944,4.0314,0.0,0.6104459999999999,3.638000000000001e-05
2004,7,base_w500_evolution_h128_seed2004_r7,1000,7.476422,20.690095999999997,60.3786,1390.16,585.82,0.04837864,2067.4519999999998,4.119719999999999,0.0,0.608784,-8.820000000000002e-06
2004,8,base_w500_evolution_h128_seed2004_r8,1000,7.411644000000001,20.714830000000003,59.5986,1394.58,598.82,0.04973546000000001,2054.0480000000002,3.708980000000001,0.0,0.6119140000000001,-5.098e-05
2004,9,base_w500_evolution_h128_seed2004_r9,1000,7.369081999999999,20.777541999999997,63.047999999999995,1399.08,602.84,0.04900921999999999,2067.9320000000002,3.8276800000000004,0.0,0.603692,1.0600000000000117e-06
2004,10,base_w500_evolution_h128_seed2004_r10,1000,7.477724,20.918298,63.35959999999999,1391.38,594.12,0.04817888,2070.418,4.18258,0.0,0.613762,2.424e-05
2005,1,base_w500_evolution_h128_seed2005_r1,1000,7.458255999999999,20.689059999999998,57.7892,1367.22,580.86,0.04779356,2073.13,4.47358,0.0,0.610064,2.2840000000000005e-05
2005,2,base_w500_evolution_h128_seed2005_r2,1000,7.404977999999999,20.577992,58.688,1357.76,577.16,0.04819196,2066.3179999999998,3.8148400000000002,0.0,0.6079680000000001,-3.660000000000006e-06
