environment,condition,seed,rep,run,time,event,last_gen,first_crossing
baseline,evolution,2001,1,base_w500_evolution_h128_seed2001_r1,34.0,1,1000.0,7.0
baseline,evolution,2001,2,base_w500_evolution_h128_seed2001_r2,34.0,1,1000.0,7.0
baseline,evolution,2001,3,base_w500_evolution_h128_seed2001_r3,34.0,1,1000.0,4.0
baseline,evolution,2001,4,base_w500_evolution_h128_seed2001_r4,34.0,1,1000.0,4.0
baseline,evolution,2001,5,base_w500_evolution_h128_seed2001_r5,34.0,1,1000.0,4.0
baseline,evolution,2001,6,base_w500_evolution_h128_seed2001_r6,24.0,1,1000.0,4.0
baseline,evolution,2001,7,base_w500_evolution_h128_seed2001_r7,34.0,1,1000.0,4.0
baseline,evolution,2001,8,base_w500_evolution_h128_seed2001_r8,24.0,1,1000.0,4.0
baseline,evolution,2001,9,base_w500_evolution_h128_seed2001_r9,34.0,1,1000.0,7.0
baseline,evolution,2001,10,base_w500_evolution_h128_seed2001_r10,34.0,1,1000.0,7.0
baseline,evolution,2002,1,base_w500_evolution_h128_seed2002_r1,42.0,1,1000.0,7.0
baseline,evolution,2002,2,base_w500_evolution_h128_seed2002_r2,27.0,1,1000.0,4.0
baseline,evolution,2002,3,base_w500_evolution_h128_seed2002_r3,37.0,1,1000.0,7.0
baseline,evolution,2002,4,base_w500_evolution_h128_seed2002_r4,37.0,1,1000.0,7.0
baseline,evolution,2002,5,base_w500_evolution_h128_seed2002_r5,30.0,1,1000.0,4.0
baseline,evolution,2002,6,base_w500_evolution_h128_seed2002_r6,22.0,1,1000.0,7.0
baseline,evolution,2002,7,base_w500_evolution_h128_seed2002_r7,28.0,1,1000.0,4.0
baseline,evolution,2002,8,base_w500_evolution_h128_seed2002_r8,37.0,1,1000.0,4.0
baseline,evolution,2002,9,base_w500_evolution_h128_seed2002_r9,25.0,1,1000.0,7.0
baseline,evolution,2002,10,base_w500_evolution_h128_seed2002_r10,22.0,1,1000.0,4.0
baseline,evolution,2003,1,base_w500_evolution_h128_seed2003_r1,34.0,1,1000.0,7.0
baseline,evolution,2003,2,base_w500_evolution_h128_seed2003_r2,37.0,1,1000.0,7.0
baseline,evolution,2003,3,base_w500_evolution_h128_seed2003_r3,36.0,1,1000.0,7.0
baseline,evolution,2003,4,base_w500_evolution_h128_seed2003_r4,40.0,1,1000.0,7.0
baseline,evolution,2003,5,base_w500_evolution_h128_seed2003_r5,27.0,1,1000.0,7.0
baseline,evolution,2003,6,base_w500_evolution_h128_seed2003_r6,34.0,1,1000.0,7.0
