condition,period,metric,mean,std,sem,count,unit
evolution,300.0,avg_fitness,7.770230133333333,0.054433292530355414,0.014054615696620205,15,runs
evolution,1000.0,avg_fitness,7.754476133333333,0.05320505668485005,0.013737486564963056,15,runs
evolution,3000.0,avg_fitness,7.782963733333333,0.06708482757510029,0.01732122799877063,15,runs
evolution,10000.0,avg_fitness,7.758457066666667,0.06707387565051708,0.017318400224002654,15,runs
evolution,100000.0,avg_fitness,7.755106266666667,0.1424286536076756,0.036774920229684836,15,runs
learning,300.0,avg_fitness,7.770350133333334,0.05949668723775029,0.015361978588421216,15,runs
learning,1000.0,avg_fitness,7.771971866666666,0.06023353891297545,0.015552232872872688,15,runs
learning,3000.0,avg_fitness,7.809572,0.09565171816543587,0.024697167432723904,15,runs
learning,10000.0,avg_fitness,7.778403999999999,0.07794648117779268,0.020125694899804064,15,runs
learning,100000.0,avg_fitness,7.794530533333333,0.16558312370954265,0.04275337870267074,15,runs
pure RL,300.0,avg_fitness,7.4072312,0.0952557754943425,0.02459493547464407,15,runs
pure RL,1000.0,avg_fitness,7.406408533333333,0.13436980155518952,0.034694133577096296,15,runs
pure RL,3000.0,avg_fitness,7.3888022666666675,0.06640104919079282,0.01714467717910934,15,runs
pure RL,10000.0,avg_fitness,7.269463333333333,0.23926674654471985,0.061778408311262065,15,runs
pure RL,100000.0,avg_fitness,7.3326948,0.3383720659770841,0.08736729175673626,15,runs
evolution,300.0,food_default,0.5126788461621291,0.006124395415461666,0.0015813120966448057,15,runs
evolution,1000.0,food_default,0.5093835397616046,0.009122499400991038,0.0023554192170550286,15,runs
evolution,3000.0,food_default,0.5080160931950688,0.006263235196954157,0.001617160374078905,15,runs
evolution,10000.0,food_default,0.5118499013406883,0.008426808477803456,0.0021757925930808173,15,runs
evolution,100000.0,food_default,0.5138860675727703,0.012394112933306901,0.0032001461987807723,15,runs
learning,300.0,food_default,0.5124748808865962,0.010674911209662404,0.0027562502224843573,15,runs
learning,1000.0,food_default,0.5139471138550529,0.007760687489742981,0.0020038008935263207,15,runs
learning,3000.0,food_default,0.5098205398349898,0.005604934370810891,0.0014471878316490753,15,runs
learning,10000.0,food_default,0.5088327112038041,0.008378542837033067,0.0021633304582209674,15,runs
learning,100000.0,food_default,0.5124283819745282,0.01132208027228365,0.0029233485559318744,15,runs
pure RL,300.0,food_default,0.6140114742210712,0.021316063593225767,0.005503783953550775,15,runs
pure RL,1000.0,food_default,0.6078259977510306,0.01969582660709746,0.005085440562605159,15,runs
pure RL,3000.0,food_default,0.6121116075242653,0.026992663748404925,0.006969475811156596,15,runs
pure RL,10000.0,food_default,0.6418922492022335,0.07655319965812539,0.01976595115832073,15,runs
pure RL,100000.0,food_default,0.6247929104921444,0.04736759896300969,0.012230261462237881,15,runs
evolution,300.0,food_items_eaten,7.170251765133304,0.05005328882449286,0.012923703602678045,15,runs
evolution,1000.0,food_items_eaten,7.188863434952176,0.06481416578821687,0.016734945646406034,15,runs
evolution,3000.0,food_items_eaten,7.151287038576915,0.05541089968400719,0.014307032778301977,15,runs
evolution,10000.0,food_items_eaten,7.151469926044412,0.075370062743072,0.01946046652043506,15,runs
evolution,100000.0,food_items_eaten,7.19377256535362,0.1480016605178476,0.038213864426444505,15,runs
learning,300.0,food_items_eaten,7.185347496338227,0.07066147218609052,0.01824471366634848,15,runs
learning,1000.0,food_items_eaten,7.219197436795469,0.08003978127521642,0.020666182660866495,15,runs
learning,3000.0,food_items_eaten,7.176530189402363,0.04881237626822633,0.012603301358376715,15,runs
learning,10000.0,food_items_eaten,7.179105047302481,0.07523587650101285,0.01942581978171605,15,runs
learning,100000.0,food_items_eaten,7.218845105495868,0.13713466748657616,0.03540801889088008,15,runs
pure RL,300.0,food_items_eaten,6.962636760237211,0.08284768003358665,0.02139117900280012,15,runs
pure RL,1000.0,food_items_eaten,6.97057617048718,0.1061356807981213,0.02740411494463401,15,runs
pure RL,3000.0,food_items_eaten,6.918107241500739,0.09716066994056065,0.025086777105743134,15,runs
pure RL,10000.0,food_items_eaten,6.924930636529412,0.1535412981748823,0.039644192719092426,15,runs
pure RL,100000.0,food_items_eaten,6.889147472829089,0.2616432338779575,0.06755599249714545,15,runs
evolution,300.0,food_low,2.7633271791475686,0.0498314163946444,0.012866416387625666,15,runs
evolution,1000.0,food_low,2.7568142452714253,0.04820186782484841,0.012445668756115268,15,runs
evolution,3000.0,food_low,2.751575618696473,0.04682609553425609,0.012090445878139422,15,runs
evolution,10000.0,food_low,2.7559061476826674,0.050506024867596644,0.013040599546355964,15,runs
evolution,100000.0,food_low,2.7647515121916086,0.06773032519162658,0.01748789476669216,15,runs
learning,300.0,food_low,2.765479688248012,0.047336553469080236,0.012222245550173646,15,runs
learning,1000.0,food_low,2.773394112641902,0.05961024239620919,0.015391298404260368,15,runs
learning,3000.0,food_low,2.7557118475860203,0.05137252361455283,0.013264328560787358,15,runs
learning,10000.0,food_low,2.7617557039135083,0.06147218457660674,0.015872049808012424,15,runs
learning,100000.0,food_low,2.775150350065087,0.04568720262582211,0.011796384993640855,15,runs
pure RL,300.0,food_low,2.862463512124329,0.0898727023015635,0.023205031952840828,15,runs
pure RL,1000.0,food_low,2.851965914830633,0.08800363111040999,0.022722439846426586,15,runs
pure RL,3000.0,food_low,2.8883494505713125,0.11576819785337869,0.029891220153772057,15,runs
pure RL,10000.0,food_low,2.9404739568344316,0.20674262557988105,0.05338071638813832,15,runs
pure RL,100000.0,food_low,2.862104116319875,0.17792953798564398,0.04594120916111861,15,runs
evolution,300.0,food_medium,2.4099781430644147,0.03753070618346608,0.009690386667997857,15,runs
evolution,1000.0,food_medium,2.4199245959961413,0.04558218456734392,0.011769269447538382,15,runs
evolution,3000.0,food_medium,2.408323276455815,0.0402726771713975,0.010398360532800677,15,runs
evolution,10000.0,food_medium,2.397913869788341,0.044037706256986636,0.01137048686256556,15,runs
evolution,100000.0,food_medium,2.4163568422826005,0.08181356279794214,0.021124171080688304,15,runs
learning,300.0,food_medium,2.413774098023361,0.0427517056909182,0.011038442944192468,15,runs
learning,1000.0,food_medium,2.431553270331009,0.03940850058329387,0.01017523109720683,15,runs
learning,3000.0,food_medium,2.413360429950865,0.030281688551397935,0.007818698363640266,15,runs
learning,10000.0,food_medium,2.413004563349146,0.03900023836795297,0.010069818246480093,15,runs
learning,100000.0,food_medium,2.433177285034051,0.0766657810960634,0.019795019560602464,15,runs
pure RL,300.0,food_medium,2.310822621012429,0.08556000853867103,0.022091499211442486,15,runs
pure RL,1000.0,food_medium,2.3004730926097747,0.07285098223036712,0.018810042728870952,15,runs
pure RL,3000.0,food_medium,2.3074739067842054,0.08483264722807746,0.021903695328602188,15,runs
pure RL,10000.0,food_medium,2.242946131684688,0.1646270494169167,0.04250652138179892,15,runs
pure RL,100000.0,food_medium,2.2632487583004295,0.16696997760398893,0.043111462838458306,15,runs
evolution,300.0,food_prestige,1.4842675967591907,0.03860376945307545,0.009967450412839455,15,runs
evolution,1000.0,food_prestige,1.5027410539230053,0.02249833128617686,0.005809044159254684,15,runs
evolution,3000.0,food_prestige,1.4833720502295582,0.054849816851767444,0.014162161813961483,15,runs
evolution,10000.0,food_prestige,1.4858000072327144,0.03418517143440887,0.008826573310180738,15,runs
evolution,100000.0,food_prestige,1.4987781433066412,0.03668077818923481,0.009470936203522313,15,runs
learning,300.0,food_prestige,1.493618829180258,0.04509637297622949,0.011643833434086334,15,runs
learning,1000.0,food_prestige,1.500302939967505,0.032766174508923496,0.008460189879465778,15,runs
learning,3000.0,food_prestige,1.4976373720304887,0.03345416503251358,0.008637828268813307,15,runs
learning,10000.0,food_prestige,1.4955120688360224,0.033047297986350956,0.00853277564921941,15,runs
learning,100000.0,food_prestige,1.4980890884222005,0.061751033545554425,0.015944048302201856,15,runs
pure RL,300.0,food_prestige,1.175339152879381,0.1229433736892944,0.03174384258834615,15,runs
