condition,period,metric,mean,std,sem,count,unit
pure RL,1000.0,food_prestige,1.210311165295743,0.12240706710121783,0.0316053688227407,15,runs
pure RL,3000.0,food_prestige,1.1101722766209563,0.15445870498765885,0.03988106613959781,15,runs
pure RL,10000.0,food_prestige,1.0996182988080598,0.2257879763731392,0.05829820481780278,15,runs
pure RL,100000.0,food_prestige,1.1390016877166402,0.11647591720089887,0.030073952503554352,15,runs
evolution,300.0,food_score,7.770230572153009,0.05443201340509127,0.014054285427897157,15,runs
evolution,1000.0,food_score,7.75447636645516,0.053202367566244996,0.013736792237524833,15,runs
evolution,3000.0,food_score,7.782964294275742,0.06708244870980369,0.017320613778392197,15,runs
evolution,10000.0,food_score,7.758457046488796,0.06707522431778312,0.017318748448393387,15,runs
evolution,100000.0,food_score,7.755105883229044,0.14242893623480954,0.03677499320369703,15,runs
learning,300.0,food_score,7.77034947939448,0.05949705538134677,0.015362073642689093,15,runs
learning,1000.0,food_score,7.77197003199904,0.060232644829894884,0.015552002021613944,15,runs
learning,3000.0,food_score,7.8095713333283845,0.09565232909200826,0.024697325173286613,15,runs
learning,10000.0,food_score,7.778403192709552,0.07794464627028777,0.020125221128723506,15,runs
learning,100000.0,food_score,7.794529019598804,0.1655841119894145,0.04275363387543641,15,runs
pure RL,300.0,food_score,7.4072326585020845,0.09525689782685415,0.024595225259652506,15,runs
pure RL,1000.0,food_score,7.406408432529698,0.13437059446766786,0.034694338306217876,15,runs
pure RL,3000.0,food_score,7.388802261576227,0.06640082946165775,0.017144620445290616,15,runs
pure RL,10000.0,food_score,7.269460963786456,0.23926579466821044,0.06177816253780416,15,runs
pure RL,100000.0,food_score,7.332694440480894,0.33837172778933183,0.0873672044370341,15,runs
evolution,300.0,food_value_per_item,1.0866330524291388,0.009948258635609051,0.002568629334631865,15,runs
evolution,1000.0,food_value_per_item,1.082322462551945,0.01063768210765314,0.0027466377096792816,15,runs
evolution,3000.0,food_value_per_item,1.0933944967636673,0.01225668198615102,0.003164661680808223,15,runs
evolution,10000.0,food_value_per_item,1.0915949088961912,0.014770306285889897,0.0038136766842422863,15,runs
evolution,100000.0,food_value_per_item,1.0845606886232808,0.033187767817180115,0.008569044803582471,15,runs
learning,300.0,food_value_per_item,1.0840300548364514,0.009878406670639587,0.0025505936348300916,15,runs
learning,1000.0,food_value_per_item,1.0803120737146068,0.010204209722625864,0.002634715621129185,15,runs
learning,3000.0,food_value_per_item,1.0930500650293653,0.013606608879221467,0.003513211305838847,15,runs
learning,10000.0,food_value_per_item,1.0897035529657013,0.012903572588268502,0.0033316881160628297,15,runs
learning,100000.0,food_value_per_item,1.0856236913110742,0.040259133560003706,0.01039486358737563,15,runs
pure RL,300.0,food_value_per_item,1.0660789971870777,0.010531597138411572,0.0027192466884022473,15,runs
pure RL,1000.0,food_value_per_item,1.0672555145394975,0.009366366509728104,0.002418385433776789,15,runs
pure RL,3000.0,food_value_per_item,1.0753218860501361,0.012524952222953094,0.0032339287581027265,15,runs
pure RL,10000.0,food_value_per_item,1.0647969838349642,0.025313246341368334,0.006535852101237692,15,runs
pure RL,100000.0,food_value_per_item,1.0754617980935886,0.05346580172068014,0.013804810643721471,15,runs
evolution,300.0,peak_population,679.6933333333333,15.11532555609263,3.9027602767500076,15,runs
evolution,1000.0,peak_population,674.768,12.704039402601762,3.2801688690559634,15,runs
evolution,3000.0,peak_population,674.216,9.9516522676962,2.569505566668977,15,runs
evolution,10000.0,peak_population,676.756,12.336156382184608,3.1851818816274218,15,runs
evolution,100000.0,peak_population,670.6333333333333,24.47661118778695,6.319833833459533,15,runs
learning,300.0,peak_population,672.5266666666666,15.50002887862131,4.002090247508957,15,runs
learning,1000.0,peak_population,667.1173333333334,13.720722318900707,3.5426752692692567,15,runs
learning,3000.0,peak_population,670.7853333333334,12.644726662959284,3.264854385532413,15,runs
learning,10000.0,peak_population,673.2173333333334,11.453590495477625,2.95730434955096,15,runs
learning,100000.0,peak_population,664.7026666666667,25.70632258710651,6.637343951473271,15,runs
pure RL,300.0,peak_population,483.76533333333333,16.890676154387116,4.3611538301416015,15,runs
pure RL,1000.0,peak_population,490.004,14.218065369702833,3.6710886928098314,15,runs
pure RL,3000.0,peak_population,484.57599999999996,23.076698451654032,5.958377919247104,15,runs
pure RL,10000.0,peak_population,470.4653333333333,52.06073731252573,13.442024573512748,15,runs
pure RL,100000.0,peak_population,470.85066666666665,46.847104418319724,12.09587034867948,15,runs
evolution,300.0,top20percent_fitness,22.440620000000003,0.23773993763774642,0.06138418794662545,15,runs
evolution,1000.0,top20percent_fitness,22.539791733333335,0.20279713517540632,0.05236199514619486,15,runs
evolution,3000.0,top20percent_fitness,22.7120048,0.29921215749727065,0.07725624686464799,15,runs
evolution,10000.0,top20percent_fitness,22.559517333333336,0.21413490933877083,0.05528939584737964,15,runs
evolution,100000.0,top20percent_fitness,22.528890666666666,0.4326056369368336,0.11169829515545392,15,runs
learning,300.0,top20percent_fitness,22.28901146666667,0.2020585430222313,0.052171291472269114,15,runs
learning,1000.0,top20percent_fitness,22.42282906666667,0.19823748144062808,0.05118469761424363,15,runs
learning,3000.0,top20percent_fitness,22.642641466666664,0.3527686018523166,0.09108446133592647,15,runs
learning,10000.0,top20percent_fitness,22.468083999999998,0.2623566324866108,0.06774019122584687,15,runs
learning,100000.0,top20percent_fitness,22.489330533333334,0.5378188695390564,0.13886423500005765,15,runs
pure RL,300.0,top20percent_fitness,20.965819200000002,0.23867747048481353,0.06162625788683967,15,runs
pure RL,1000.0,top20percent_fitness,21.052101733333334,0.4577595778802058,0.11819301477979828,15,runs
pure RL,3000.0,top20percent_fitness,21.166518933333336,0.2857252711078203,0.07377394777274582,15,runs
pure RL,10000.0,top20percent_fitness,20.641199466666666,0.8089683629665867,0.20887473315855115,15,runs
pure RL,100000.0,top20percent_fitness,20.817372533333334,1.0623732360563476,0.2743035900468477,15,runs
evolution,300.0,total_agents,1495.5013333333334,18.663496023240757,4.8188939520013205,15,runs
evolution,1000.0,total_agents,1499.5293333333332,21.56805026841668,5.568846633316147,15,runs
evolution,3000.0,total_agents,1497.752,18.11837709540872,4.678144850054926,15,runs
evolution,10000.0,total_agents,1498.0866666666666,19.60151403287368,5.061089160651384,15,runs
evolution,100000.0,total_agents,1487.1906666666666,36.952900420992776,9.541197861637738,15,runs
learning,300.0,total_agents,1491.6680000000001,28.6813257314631,7.405486460340456,15,runs
learning,1000.0,total_agents,1487.9346666666668,22.384464595743545,5.779643906205619,15,runs
learning,3000.0,total_agents,1492.1213333333333,17.31107237194355,4.469699666768579,15,runs
learning,10000.0,total_agents,1494.5800000000002,16.222108370985485,4.18853037074658,15,runs
learning,100000.0,total_agents,1481.556,35.5009120204778,9.166296068699015,15,runs
pure RL,300.0,total_agents,1235.4013333333335,38.65622586460346,9.980994600056107,15,runs
pure RL,1000.0,total_agents,1241.7373333333335,40.40629998026591,10.432861793695398,15,runs
pure RL,3000.0,total_agents,1233.4160000000002,54.025166199255175,13.949237931053544,15,runs
pure RL,10000.0,total_agents,1176.7693333333334,138.0405586085205,35.641918972797924,15,runs
pure RL,100000.0,total_agents,1192.5533333333333,139.9309335078593,36.130011673013094,15,runs
