condition,period,seed,rep,run,n_gens,avg_fitness,top20percent_fitness,total_agents,peak_population,food_items_eaten,food_prestige,food_medium,food_low,food_default,food_value_per_item,food_score
evolution,300.0,1,1,shufP300_g1k_evolution_seed1_rep1,1000,7.7676,22.474174,1514.36,679.88,7.187866271118471,1.530198636515961,2.3413178878328784,2.8053505919364894,0.5109991548331423,1.0841471913344483,7.767603768371987
evolution,300.0,1,2,shufP300_g1k_evolution_seed1_rep2,1000,7.81438,22.711198000000003,1516.52,684.6,7.211004075042395,1.5352581520860324,2.334983618741079,2.831061103677647,0.5097012005376363,1.0868515492294808,7.814381359084166
evolution,300.0,1,3,shufP300_g1k_evolution_seed1_rep3,1000,7.841956,22.405098000000002,1492.08,668.26,7.241088732960155,1.5005975522002826,2.368261033888433,2.8520094668605664,0.520220680010874,1.0863357899347954,7.84194815415226
evolution,300.0,42,1,shufP300_g1k_evolution_seed42_rep1,1000,7.731174000000001,22.464975999999997,1503.2,682.56,7.1439951768443635,1.5398100781199549,2.385289230677252,2.7049175140475494,0.5139783539996057,1.085129218365115,7.731174861666927
evolution,300.0,42,2,shufP300_g1k_evolution_seed42_rep2,1000,7.760568000000001,22.303568000000006,1490.78,682.14,7.193238666202743,1.5184613047861746,2.4248036463686544,2.7342332234715836,0.5157404915763306,1.082077509118008,7.760569431888523
evolution,300.0,42,3,shufP300_g1k_evolution_seed42_rep3,1000,7.777748,22.465034,1485.42,669.72,7.1903328530595,1.5008389558547792,2.4318388007355165,2.746772558261982,0.5108825382072236,1.0848006396814731,7.777751405554946
evolution,300.0,123,1,shufP300_g1k_evolution_seed123_rep1,1000,7.762511999999999,22.550848000000002,1520.1,708.6,7.047983229596379,1.4628663373332795,2.3977122134269693,2.6900092364424717,0.4973954423936599,1.103240077615654,7.762513892612201
evolution,300.0,123,2,shufP300_g1k_evolution_seed123_rep2,1000,7.871862000000001,23.037412,1518.18,690.18,7.1454392467573,1.4664054252363194,2.4470926621688562,2.7237732828656624,0.5081678764864627,1.1033355282273087,7.871862782086527
evolution,300.0,123,3,shufP300_g1k_evolution_seed123_rep3,1000,7.824477999999999,22.531756,1513.38,688.74,7.108730286691494,1.4956531257240508,2.419752331277133,2.686998744616592,0.5063260850737185,1.1022934995222584,7.824472986273621
evolution,300.0,456,1,shufP300_g1k_evolution_seed456_rep1,1000,7.803838,22.568118000000005,1496.24,686.4,7.192879206331744,1.4361707882646098,2.4440002448769045,2.7949381932689827,0.517769979921247,1.0876500471833088,7.803835448761896
evolution,300.0,456,2,shufP300_g1k_evolution_seed456_rep2,1000,7.709371999999999,22.219916,1494.78,692.3,7.1151367778304895,1.4251856620519296,2.4129100398468917,2.7631875246204327,0.5138535513112338,1.0861540551849318,7.709372645663465
evolution,300.0,456,3,shufP300_g1k_evolution_seed456_rep3,1000,7.780215999999999,22.390573999999997,1475.88,690.34,7.16979865459092,1.4229711178080295,2.4312010832460085,2.794755978918794,0.5208704746180879,1.0881590491840987,7.780219881744022
evolution,300.0,999,1,shufP300_g1k_evolution_seed999_rep1,1000,7.703720000000001,22.097952000000006,1477.32,662.92,7.205612689945951,1.498077698112126,2.4453878384725365,2.7517573526605212,0.5103898007007664,1.0726764995251603,7.703722059545339
evolution,300.0,999,2,shufP300_g1k_evolution_seed999_rep2,1000,7.68316,22.114048000000004,1459.4,651.02,7.184457014229087,1.4630566654153656,2.4123120722402525,2.7945894278347008,0.5144988487387682,1.0730669967095783,7.6831577701363925
evolution,300.0,999,3,shufP300_g1k_evolution_seed999_rep3,1000,7.720868,22.274628000000003,1474.88,657.74,7.21621359579856,1.4684624518789635,2.4528094421668585,2.7755534877295567,0.5193882140231798,1.0735781356214609,7.720872134752864
evolution,1000.0,1,1,shufP1000_g1k_evolution_seed1_rep1,1000,7.810516000000002,22.914184,1529.68,697.14,7.1757282950640775,1.5545310368945198,2.3439673358755924,2.7764463680838336,0.5007835542101318,1.0921973923041404,7.81051074359431
evolution,1000.0,1,2,shufP1000_g1k_evolution_seed1_rep2,1000,7.853403999999999,22.821295999999997,1511.48,681.94,7.220134681990123,1.5278785247890558,2.3893103693822533,2.8019336272925472,0.501012160526267,1.0911689138701244,7.8534015940542385
evolution,1000.0,1,3,shufP1000_g1k_evolution_seed1_rep3,1000,7.760086,22.569986,1513.96,681.86,7.148439216272968,1.481453358765354,2.3400190516611583,2.8232294176430823,0.5037373882033741,1.08952322747706,7.760085938629996
evolution,1000.0,42,1,shufP1000_g1k_evolution_seed42_rep1,1000,7.6678500000000005,22.495062000000004,1515.56,692.84,7.056381297043361,1.4919846401300751,2.3600306380986296,2.704080159449528,0.500285859365129,1.0904492496661238,7.66785282843642
evolution,1000.0,42,2,shufP1000_g1k_evolution_seed42_rep2,1000,7.718166000000001,22.497984000000002,1508.4,683.52,7.112280783351225,1.4990845825926045,2.406166349158532,2.70224191348103,0.5047879381190589,1.0890525469667207,7.718173536580304
