key,kind,generation,mean_fitness,logged_fitness,sigma_fixed(dyn),sigma_vary,sigma_terrain,SE_shape@R6,R_shape(3%),R_level(3%)
cen_g1,centroid,1,0.6395166666666667,4.4478,0.12838641153434685,0.592399896747684,0.5783204708463985,0.052413533027687094,45,954
cen_g250,centroid,250,18.0515,20.0288,0.4979191919043353,6.321146369449137,6.301505209260193,0.20327465888409305,1,137
cen_g500,centroid,500,20.035233333333334,16.0293,0.45206304722534735,7.520192599306661,7.506592817783579,0.18455396621163264,1,157
cen_g1000,centroid,1000,20.610716666666665,21.2792,1.0076075242871096,8.102067560670342,8.039168230275235,0.41135404924873786,3,172
random,random,-1,0.78875,,0.11573973244597838,0.6038817889289261,0.5926867041982073,0.047250547909815574,24,652
