lr,metric,mean,std,sem,count
0.005,avg_fitness,5.954430000000001,1.8591784023393239,1.073397151062147,3
0.01,avg_fitness,7.071655,0.021427624693371606,0.01237124488481237,3
0.02,avg_fitness,7.118926666666667,0.03767663113036143,0.021752613125272408,3
0.03,avg_fitness,7.0713083333333335,0.08736985311498098,0.050443008214992334,3
0.005,avg_learned_weight_diff,0.00391225,0.0005741748448861204,0.00033150000125691323,3
0.01,avg_learned_weight_diff,0.007040416666666667,6.413691084962996e-05,3.702946274402489e-05,3
0.02,avg_learned_weight_diff,0.01270015,7.486208987197777e-05,4.3221647739684316e-05,3
0.03,avg_learned_weight_diff,0.0177464,0.0002320917275561524,0.00013399822138122986,3
0.005,peak_population,377.5333333333333,143.8203769753554,83.03473336167491,3
0.01,peak_population,487.2,16.85200284832636,9.729508380865564,3
0.02,peak_population,483.1666666666667,7.260567011834074,4.19189031875172,3
0.03,peak_population,468.5,16.859715300087366,9.733961166965893,3
0.005,top20percent_fitness,17.934643333333334,3.4375679193811326,1.9846807636123187,3
0.01,top20percent_fitness,19.98921,0.1507652901035253,0.08704438082572236,3
0.02,top20percent_fitness,20.215643333333336,0.21427085058013276,0.12370933326192973,3
0.03,top20percent_fitness,20.007728333333333,0.25378889614861544,0.1465250875087411,3
0.005,total_agents,932.6,617.9770040219944,356.78918962509687,3
0.01,total_agents,1337.3333333333333,34.45295101052055,19.891420540301027,3
0.02,total_agents,1352.3166666666668,21.061418122560827,12.159815422575756,3
0.03,total_agents,1327.4166666666667,43.0604323402974,24.860952203092374,3
