lr,metric,mean,std,sem,count
0.005,avg_learned_weight_diff,0.0018924666666666667,0.0001429357577142031,8.25239981931183e-05,3
0.01,avg_learned_weight_diff,0.0035149,8.017089559185452e-05,4.6286688151130585e-05,3
0.02,avg_learned_weight_diff,0.006184616666666667,0.0001522253045105622,8.788732053664583e-05,3
0.03,avg_learned_weight_diff,0.00881375,0.000228685373384481,0.0001320315618832602,3
0.005,avg_network_weight_mag,0.524495,0.0034542148167130706,0.001994291854268085,3
0.01,avg_network_weight_mag,0.5222349999999999,0.004329789255841466,0.00249980499239442,3
0.02,avg_network_weight_mag,0.519645,0.005931890508092598,0.0034247785816506476,3
0.03,avg_network_weight_mag,0.5200833333333333,0.003616594853357714,0.0020880420121358913,3
0.005,peak_population,480.7166666666667,20.61688224085625,11.903162511609171,3
0.01,peak_population,480.56666666666666,16.185667528197094,9.344799504418377,3
0.02,peak_population,480.3333333333333,14.259149109723662,8.23252357691397,3
0.03,peak_population,476.01666666666665,17.10338660421769,9.874644859999323,3
0.005,total_agents,1162.3999999999999,38.60670278591535,22.289590245972107,3
0.01,total_agents,1150.95,21.19746447101624,12.238361818478754,3
0.02,total_agents,1158.9666666666667,31.861117892084987,18.39502499167767,3
0.03,total_agents,1148.0666666666666,34.33949378388291,19.82591597996028,3
