metric,source,lo,hi
avg_fitness,gen,0.6999,7.455
top20percent_fitness,gen,2.431,22.6459
best_fitness,gen,4.0,112.5
avg_learned_weight_diff,gen,0.000542,0.009197
avg_network_weight_mag,gen,0.1062,0.6164
genome_variance,gen,0.002033,0.164895
total_agents,gen,102.0,1312.0
peak_population,gen,100.0,540.0
avg_lifetime,gen,769.7,1972.5
cells_visited,behaviour,213.80582524271844,969.685069008783
predator_touches,behaviour,2.1206896551724137,12.8259385665529
drained_ticks,behaviour,5.1603053435114505,29.53921568627451
cave_entries,behaviour,0.0,29.482142857142858
cave_entries_night,behaviour,0.0,16.8125
food_prestige,behaviour,0.0,2.3584637268847795
food_low,behaviour,0.5648148148148148,6.269736842105263
energy_at_death,behaviour,-2.3512186379928317,9.574868995633189
frac_death_drained,behaviour,0.1181102362204724,0.9264705882352942
frac_death_starved,behaviour,0.0735294117647058,0.8818897637795275
