environment,condition,seed,rep,run,time,event,last_gen,first_crossing
hard,pure_rl,2001,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r1,47.0,1,1000.0,5.0
hard,pure_rl,2001,2,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r2,60.0,1,1000.0,5.0
hard,pure_rl,2001,3,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r3,33.0,1,1000.0,5.0
hard,pure_rl,2001,4,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r4,41.0,1,1000.0,2.0
hard,pure_rl,2001,5,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r5,65.0,1,1000.0,2.0
hard,pure_rl,2001,6,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r6,122.0,1,1000.0,5.0
hard,pure_rl,2001,7,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r7,212.0,1,1000.0,5.0
hard,pure_rl,2001,8,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r8,62.0,1,1000.0,5.0
hard,pure_rl,2001,9,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r9,50.0,1,1000.0,5.0
hard,pure_rl,2001,10,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2001_r10,32.0,1,1000.0,5.0
hard,pure_rl,2002,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r1,44.0,1,1000.0,3.0
hard,pure_rl,2002,2,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r2,32.0,1,1000.0,2.0
hard,pure_rl,2002,3,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r3,38.0,1,1000.0,5.0
hard,pure_rl,2002,4,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r4,41.0,1,1000.0,5.0
hard,pure_rl,2002,5,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r5,23.0,1,1000.0,2.0
hard,pure_rl,2002,6,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r6,63.0,1,1000.0,8.0
hard,pure_rl,2002,7,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r7,57.0,1,1000.0,3.0
hard,pure_rl,2002,8,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r8,27.0,1,1000.0,8.0
hard,pure_rl,2002,9,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r9,32.0,1,1000.0,2.0
hard,pure_rl,2002,10,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2002_r10,155.0,1,1000.0,17.0
hard,pure_rl,2003,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r1,20.0,1,1000.0,5.0
hard,pure_rl,2003,2,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r2,59.0,1,1000.0,2.0
hard,pure_rl,2003,3,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r3,425.0,1,1000.0,5.0
hard,pure_rl,2003,4,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r4,17.0,1,1000.0,5.0
hard,pure_rl,2003,5,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r5,75.0,1,1000.0,5.0
hard,pure_rl,2003,6,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r6,53.0,1,1000.0,5.0
hard,pure_rl,2003,7,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r7,50.0,1,1000.0,5.0
hard,pure_rl,2003,8,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r8,1000.0,0,1000.0,5.0
hard,pure_rl,2003,9,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r9,41.0,1,1000.0,5.0
hard,pure_rl,2003,10,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2003_r10,25.0,1,1000.0,5.0
hard,pure_rl,2004,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r1,23.0,1,1000.0,5.0
hard,pure_rl,2004,2,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r2,29.0,1,1000.0,5.0
hard,pure_rl,2004,3,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r3,35.0,1,1000.0,8.0
hard,pure_rl,2004,4,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r4,38.0,1,1000.0,5.0
hard,pure_rl,2004,5,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r5,57.0,1,1000.0,5.0
hard,pure_rl,2004,6,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r6,41.0,1,1000.0,8.0
hard,pure_rl,2004,7,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r7,27.0,1,1000.0,5.0
hard,pure_rl,2004,8,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r8,35.0,1,1000.0,5.0
hard,pure_rl,2004,9,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r9,99.0,1,1000.0,2.0
hard,pure_rl,2004,10,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2004_r10,20.0,1,1000.0,5.0
hard,pure_rl,2005,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r1,41.0,1,1000.0,5.0
hard,pure_rl,2005,2,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r2,27.0,1,1000.0,8.0
hard,pure_rl,2005,3,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r3,41.0,1,1000.0,5.0
hard,pure_rl,2005,4,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r4,81.0,1,1000.0,8.0
hard,pure_rl,2005,5,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r5,21.0,1,1000.0,5.0
hard,pure_rl,2005,6,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r6,63.0,1,1000.0,5.0
hard,pure_rl,2005,7,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r7,21.0,1,1000.0,5.0
hard,pure_rl,2005,8,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r8,33.0,1,1000.0,11.0
hard,pure_rl,2005,9,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r9,152.0,1,1000.0,11.0
hard,pure_rl,2005,10,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2005_r10,20.0,1,1000.0,5.0
hard,pure_rl,2006,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r1,81.0,1,1000.0,5.0
hard,pure_rl,2006,2,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r2,38.0,1,1000.0,5.0
hard,pure_rl,2006,3,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r3,57.0,1,1000.0,5.0
hard,pure_rl,2006,4,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r4,167.0,1,1000.0,5.0
hard,pure_rl,2006,5,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r5,53.0,1,1000.0,5.0
hard,pure_rl,2006,6,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r6,53.0,1,1000.0,5.0
hard,pure_rl,2006,7,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r7,225.0,1,1000.0,5.0
hard,pure_rl,2006,8,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r8,56.0,1,1000.0,5.0
hard,pure_rl,2006,9,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r9,30.0,1,1000.0,5.0
hard,pure_rl,2006,10,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2006_r10,26.0,1,1000.0,1.0
hard,pure_rl,2007,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r1,47.0,1,1000.0,5.0
hard,pure_rl,2007,2,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r2,47.0,1,1000.0,8.0
hard,pure_rl,2007,3,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r3,35.0,1,1000.0,5.0
hard,pure_rl,2007,4,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r4,13.0,1,1000.0,2.0
hard,pure_rl,2007,5,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r5,32.0,1,1000.0,5.0
hard,pure_rl,2007,6,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r6,98.0,1,1000.0,8.0
hard,pure_rl,2007,7,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r7,62.0,1,1000.0,11.0
hard,pure_rl,2007,8,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r8,71.0,1,1000.0,5.0
hard,pure_rl,2007,9,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r9,68.0,1,1000.0,2.0
hard,pure_rl,2007,10,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2007_r10,44.0,1,1000.0,5.0
hard,pure_rl,2008,1,roam60d5_w500_purerl_h128_noeps_lr0.02_seed2008_r1,26.0,1,1000.0,8.0
