env,group,lr,metric,mean,std,sem,n_seeds
hard,lr=0.01,0.01,avg_fitness,8.619402333333333,0.32094763768305484,0.1852992050120862,3
hard,lr=0.02,0.02,avg_fitness,8.739742,0.2719938480480777,0.15703572138847982,3
hard,lr=0.03,0.03,avg_fitness,8.569835,0.35505281702445296,0.20498983948560287,3
hard,lr=0.01,0.01,top20percent_fitness,25.400652666666662,0.6740895591435373,0.3891857884294374,3
hard,lr=0.02,0.02,top20percent_fitness,25.443841000000003,0.6189256166107513,0.3573368713585724,3
hard,lr=0.03,0.03,top20percent_fitness,25.040830333333332,0.8826123695696404,0.5095764891611254,3
hard,lr=0.01,0.01,peak_population,932.2333333333332,88.82672139245788,51.28413150716745,3
hard,lr=0.02,0.02,peak_population,958.8633333333333,67.91771663810073,39.21231198375218,3
hard,lr=0.03,0.03,peak_population,924.0666666666666,74.89351128991972,43.23978890379142,3
hard,lr=0.01,0.01,total_agents,2912.59,327.18782190051024,188.9019770498269,3
hard,lr=0.02,0.02,total_agents,3005.343333333333,248.3873912527232,143.40652720306863,3
hard,lr=0.03,0.03,total_agents,2885.17,268.8340521585762,155.21141238109183,3
