seed,rep,run,n_gens,avg_fitness,top20percent_fitness,best_fitness,total_agents,peak_population,genome_variance,avg_lifetime,avg_energy_end,avg_network_weight_mag,inter_gen_weight_change
2001,1,roam60d5_w500_evolution_h128_seed2001_r1,1000,7.122762,20.089854,58.00599999999999,1346.52,487.48,0.04482768,1619.2900000000002,0.7059599999999999,0.6069479999999999,3.012e-05
2001,2,roam60d5_w500_evolution_h128_seed2001_r2,1000,7.080884,19.949412,56.0202,1330.16,492.32,0.0467321,1661.4479999999996,1.2262999999999997,0.6113320000000001,6.860000000000004e-06
2001,3,roam60d5_w500_evolution_h128_seed2001_r3,1000,3.9686800000000004,12.407500000000002,27.598000000000003,228.4,204.28,0.02447032,1164.712,-1.67796,0.574452,0.00013551999999999998
2001,4,roam60d5_w500_evolution_h128_seed2001_r4,1000,7.1996280000000015,20.097634000000003,55.9772,1330.68,490.74,0.04606376,1688.4360000000001,1.6093000000000002,0.6092400000000001,6.7399999999999965e-06
2001,5,roam60d5_w500_evolution_h128_seed2001_r5,1000,6.9021560000000015,19.218334,54.6378,1194.54,443.84,0.040704840000000006,1532.5799999999997,-0.33118000000000003,0.589062,0.00018364
2001,6,roam60d5_w500_evolution_h128_seed2001_r6,1000,7.1371519999999995,20.174198,58.29639999999999,1302.9,489.76,0.04474348,1693.884,1.14424,0.605894,-1.3639999999999993e-05
2001,7,roam60d5_w500_evolution_h128_seed2001_r7,1000,7.035259999999999,19.598974,54.4468,1272.3,464.3,0.04439072,1571.8800000000003,0.3587800000000001,0.602616,1.132e-05
2001,8,roam60d5_w500_evolution_h128_seed2001_r8,1000,6.400346,17.620696,44.8274,768.1,290.14,0.03317904000000001,1646.6760000000002,0.3497399999999999,0.6043959999999999,6.546e-05
2001,9,roam60d5_w500_evolution_h128_seed2001_r9,1000,7.238624,20.192002,55.093599999999995,1310.98,483.94,0.045774440000000007,1657.1080000000002,1.09426,0.6125240000000001,2.02e-05
2001,10,roam60d5_w500_evolution_h128_seed2001_r10,1000,7.0879959999999995,19.89144,57.357200000000006,1328.98,495.54,0.045732659999999994,1654.0919999999999,0.9778,0.61213,-5.847999999999999e-05
2002,1,roam60d5_w500_evolution_h128_seed2002_r1,1000,3.929646000000001,12.620546,27.6098,224.58,206.52,0.028816360000000003,1043.496,-1.81548,0.561978,8.396e-05
2002,2,roam60d5_w500_evolution_h128_seed2002_r2,1000,7.152756,20.196731999999997,55.626000000000005,1349.22,495.3,0.048069,1676.3980000000001,1.2521200000000001,0.611342,-4.018e-05
2002,3,roam60d5_w500_evolution_h128_seed2002_r3,1000,7.107996000000002,20.2253,56.526399999999995,1348.9,498.02,0.04774702,1649.234,0.81352,0.611404,-2.626e-05
2002,4,roam60d5_w500_evolution_h128_seed2002_r4,1000,7.211136,20.450046,60.8666,1336.28,476.56,0.044358260000000004,1597.088,0.34525999999999996,0.613336,-3.2500000000000004e-05
2002,5,roam60d5_w500_evolution_h128_seed2002_r5,1000,7.225484,20.283669999999997,57.71959999999999,1343.56,501.6,0.04642582,1721.68,1.4621600000000001,0.60864,-1.2419999999999995e-05
2002,6,roam60d5_w500_evolution_h128_seed2002_r6,1000,7.194538000000001,20.455621999999998,58.4952,1350.08,495.42,0.04462738000000001,1626.3099999999997,0.6003600000000001,0.612616,-1.1199999999999991e-05
2002,7,roam60d5_w500_evolution_h128_seed2002_r7,1000,7.0798440000000005,19.970842,58.587199999999996,1347.54,502.96,0.04361140000000001,1630.7579999999998,0.38872,0.607986,-2.3119999999999995e-05
2002,8,roam60d5_w500_evolution_h128_seed2002_r8,1000,7.09517,19.873772000000002,56.096,1349.14,495.52,0.04529542,1634.4660000000001,0.5707599999999999,0.6057939999999999,7.207999999999999e-05
2002,9,roam60d5_w500_evolution_h128_seed2002_r9,1000,7.24307,20.306938,55.5682,1356.44,495.76,0.046523260000000004,1644.7420000000002,0.5945,0.606514,-3.019999999999998e-06
2002,10,roam60d5_w500_evolution_h128_seed2002_r10,1000,7.15945,20.258926,58.61540000000001,1367.16,494.94,0.0454807,1615.7839999999999,0.5342600000000001,0.6120559999999999,-5.574e-05
2003,1,roam60d5_w500_evolution_h128_seed2003_r1,1000,7.047986,20.027246,56.965199999999996,1298.24,481.44,0.04511366000000001,1691.3480000000002,1.4241599999999999,0.608252,-3.577999999999999e-05
2003,2,roam60d5_w500_evolution_h128_seed2003_r2,1000,7.055780000000001,20.026194000000004,57.577200000000005,1292.46,478.82,0.044453799999999995,1648.526,0.49486,0.6104080000000001,1.4540000000000008e-05
2003,3,roam60d5_w500_evolution_h128_seed2003_r3,1000,7.102736,19.957563999999998,58.9344,1278.48,482.4,0.04454160000000001,1703.44,1.2905799999999998,0.610086,-2.354e-05
2003,4,roam60d5_w500_evolution_h128_seed2003_r4,1000,6.959784000000001,19.879368000000003,56.1068,1292.86,478.32,0.043553379999999996,1648.5479999999998,0.9792399999999999,0.607216,7.860000000000001e-05
2003,5,roam60d5_w500_evolution_h128_seed2003_r5,1000,7.096286000000001,20.030873999999997,56.6272,1288.5,464.14,0.045390240000000005,1595.7640000000001,0.53902,0.606742,-6.720000000000001e-05
2003,6,roam60d5_w500_evolution_h128_seed2003_r6,1000,7.0621220000000005,19.859272,56.4758,1305.68,479.26,0.046918499999999995,1668.0480000000002,1.6070399999999998,0.610146,2.3239999999999998e-05
2003,7,roam60d5_w500_evolution_h128_seed2003_r7,1000,6.945092,19.78282,58.4454,1302.52,487.38,0.04322062,1694.4879999999998,1.43834,0.60927,4.894e-05
2003,8,roam60d5_w500_evolution_h128_seed2003_r8,1000,6.496543999999999,17.803054,46.00679999999999,965.64,363.54,0.03491766,1408.7340000000002,-1.3951200000000004,0.58614,9.633999999999999e-05
2003,9,roam60d5_w500_evolution_h128_seed2003_r9,1000,6.969152000000001,19.489268000000003,54.266000000000005,1239.96,449.9,0.04424665999999999,1568.646,-0.0729,0.5941080000000001,0.00014314000000000002
2003,10,roam60d5_w500_evolution_h128_seed2003_r10,1000,7.0420940000000005,19.898468,55.577799999999996,1297.12,473.3,0.04435764,1689.65,1.2644199999999999,0.6107720000000001,-2.3999999999999978e-06
2004,1,roam60d5_w500_evolution_h128_seed2004_r1,1000,7.124942,20.020938,55.2996,1324.06,477.12,0.046558999999999996,1662.29,1.4057800000000003,0.605946,4.596e-05
2004,2,roam60d5_w500_evolution_h128_seed2004_r2,1000,7.064711999999998,20.205836,59.6558,1354.38,494.86,0.04467552,1656.2119999999998,1.1955400000000003,0.607048,4.617999999999999e-05
2004,3,roam60d5_w500_evolution_h128_seed2004_r3,1000,7.0832820000000005,19.8204,56.02439999999999,1269.42,451.04,0.043195040000000004,1560.296,0.37442,0.602132,-1.8939999999999995e-05
2004,4,roam60d5_w500_evolution_h128_seed2004_r4,1000,7.112824,20.024350000000002,55.014799999999994,1332.02,481.64,0.04497426,1588.47,0.37616,0.611834,9.340000000000004e-06
2004,5,roam60d5_w500_evolution_h128_seed2004_r5,1000,7.12641,20.303152,60.367000000000004,1355.52,491.42,0.04282535999999999,1642.87,1.13644,0.610508,1.4920000000000011e-05
2004,6,roam60d5_w500_evolution_h128_seed2004_r6,1000,3.599614,13.331418000000001,32.374399999999994,203.96,192.88,0.024963119999999995,841.5939999999999,-2.0966599999999995,0.5594100000000001,0.00012033999999999998
2004,7,roam60d5_w500_evolution_h128_seed2004_r7,1000,6.748682,18.629972,51.02,1211.38,450.34,0.044591820000000004,1612.8359999999998,0.7401800000000001,0.59844,7.44e-05
2004,8,roam60d5_w500_evolution_h128_seed2004_r8,1000,7.06677,19.529686000000005,56.0462,1282.84,443.22,0.0417999,1541.0200000000002,0.5849599999999999,0.599762,9.716000000000001e-05
2004,9,roam60d5_w500_evolution_h128_seed2004_r9,1000,7.049694,19.905574,57.28459999999999,1272.12,456.8,0.03887736,1648.1940000000002,0.57012,0.591446,6.553999999999999e-05
2004,10,roam60d5_w500_evolution_h128_seed2004_r10,1000,5.2162120000000005,16.148742000000002,42.6492,418.54,193.88,0.01752202,1196.6559999999997,-1.7619200000000002,0.5760020000000001,0.0002476
2005,1,roam60d5_w500_evolution_h128_seed2005_r1,1000,7.117102,20.263004,58.68639999999999,1294.5,461.94,0.04102944,1608.464,0.7176600000000001,0.6112879999999999,-7.986e-05
2005,2,roam60d5_w500_evolution_h128_seed2005_r2,1000,6.810367999999999,18.751256,50.017599999999995,1141.6,414.16,0.03478338,1519.5439999999999,-0.67014,0.5967800000000001,0.0001302
2005,3,roam60d5_w500_evolution_h128_seed2005_r3,1000,6.231483999999999,17.436616,44.33800000000001,688.22,247.98,0.028988919999999994,1493.8699999999997,-0.7397,0.5933660000000001,0.0001118
2005,4,roam60d5_w500_evolution_h128_seed2005_r4,1000,3.7458639999999996,13.406759999999998,30.8508,216.2,203.7,0.0265008,851.684,-2.1137599999999996,0.563182,0.00013156000000000002
2005,5,roam60d5_w500_evolution_h128_seed2005_r5,1000,7.003938,19.509185999999996,55.98780000000001,1330.7,484.82,0.0469144,1624.0279999999998,0.8688799999999999,0.611662,-2.387999999999999e-05
2005,6,roam60d5_w500_evolution_h128_seed2005_r6,1000,6.931394,19.349344000000002,54.776399999999995,1208.26,446.36,0.04457636,1530.28,-0.21309999999999998,0.6094720000000001,-1.6540000000000008e-05
2005,7,roam60d5_w500_evolution_h128_seed2005_r7,1000,6.077932000000001,17.237854,45.28799999999999,599.9,230.86,0.023333839999999998,1360.6759999999997,-1.7079400000000005,0.577354,0.00022689999999999996
2005,8,roam60d5_w500_evolution_h128_seed2005_r8,1000,3.68023,13.123432000000001,31.024799999999995,212.02,201.9,0.02740946,883.2560000000001,-2.11764,0.5641240000000001,0.00011965999999999999
2005,9,roam60d5_w500_evolution_h128_seed2005_r9,1000,3.7011799999999995,13.225755999999999,30.962799999999998,213.26,203.24,0.02742882,836.8760000000001,-2.13342,0.5616559999999999,9.868e-05
2005,10,roam60d5_w500_evolution_h128_seed2005_r10,1000,7.141659999999999,19.993044,57.434799999999996,1326.38,495.02,0.0465328,1747.9460000000001,2.10834,0.612546,-4.0999999999999994e-05
2006,1,roam60d5_w500_evolution_h128_seed2006_r1,1000,7.167846,20.219418,56.967000000000006,1333.28,492.68,0.044794099999999996,1656.0520000000001,1.12124,0.61002,2.7320000000000013e-05
2006,2,roam60d5_w500_evolution_h128_seed2006_r2,1000,7.199884000000001,20.423617999999998,60.4854,1335.14,490.26,0.04544789999999999,1643.526,1.13848,0.60914,-1.6760000000000002e-05
2006,3,roam60d5_w500_evolution_h128_seed2006_r3,1000,7.038588,19.528675999999997,53.3658,1282.82,470.16,0.043490360000000006,1609.318,0.9215799999999998,0.5994120000000001,5.252e-05
2006,4,roam60d5_w500_evolution_h128_seed2006_r4,1000,7.12139,20.208660000000002,56.04659999999999,1360.34,492.36,0.045973740000000006,1607.4279999999997,0.82464,0.6046239999999998,5.596e-05
2006,5,roam60d5_w500_evolution_h128_seed2006_r5,1000,7.0509640000000005,19.945126000000002,56.392799999999994,1351.44,499.98,0.04878686,1629.516,1.0428199999999999,0.608802,6.342e-05
2006,6,roam60d5_w500_evolution_h128_seed2006_r6,1000,5.739129999999999,16.723554,41.9216,480.44,213.02,0.024046960000000003,1254.7020000000002,-1.8312799999999998,0.5737639999999999,0.00022324
2006,7,roam60d5_w500_evolution_h128_seed2006_r7,1000,3.826668,13.070776,29.9166,230.4,185.82,0.020973160000000005,844.4200000000002,-2.1074,0.5563319999999999,0.00019316
2006,8,roam60d5_w500_evolution_h128_seed2006_r8,1000,7.134312000000001,20.10448,57.0562,1306.44,483.06,0.046122439999999994,1630.04,0.93188,0.6115839999999999,4.0180000000000005e-05
2006,9,roam60d5_w500_evolution_h128_seed2006_r9,1000,6.687338,18.102692,47.258,1082.54,407.84,0.0371454,1561.5639999999996,-0.26602,0.591456,0.00012366
2006,10,roam60d5_w500_evolution_h128_seed2006_r10,1000,3.9570539999999994,12.369540000000002,29.0204,222.6,209.9,0.028179259999999998,1171.626,-1.6477399999999998,0.5662619999999999,7.748000000000001e-05
2007,1,roam60d5_w500_evolution_h128_seed2007_r1,1000,6.99469,19.836018,57.7054,1312.46,480.14,0.04292338,1636.2199999999998,0.79236,0.599818,5.298e-05
2007,2,roam60d5_w500_evolution_h128_seed2007_r2,1000,6.929486,19.269232,54.2892,1207.72,453.74,0.039151019999999995,1622.392,0.21138,0.582144,9.892e-05
