generation,lifetime,energy_at_death,food_low,food_medium,food_prestige,food_default,cells_visited,predator_touches,drained_ticks,cave_entries,cave_entries_day,cave_entries_night,frac_death_drained,frac_death_starved
1,2083.9156626506024,-1.072710843373494,4.63855421686747,0.8192771084337349,0.14457831325301204,1.7650602409638554,574.2650602409639,0.0,0.0,0.05421686746987952,0.04819277108433735,0.006024096385542169,0.0,1.0
2,1981.4516129032259,-1.1341935483870966,3.8951612903225805,0.4112903225806452,0.024193548387096774,1.5,552.8951612903226,0.0,0.0,0.1935483870967742,0.12096774193548387,0.07258064516129033,0.0,1.0
3,2026.2773722627737,-1.0354014598540147,3.372262773722628,0.8832116788321168,0.21897810218978103,1.5693430656934306,602.8905109489051,0.0,0.0,0.1386861313868613,0.08029197080291971,0.058394160583941604,0.0,1.0
4,2075.915254237288,0.3732627118644068,4.139830508474576,1.347457627118644,0.614406779661017,1.521186440677966,677.3262711864406,0.0,0.0,0.597457627118644,0.2923728813559322,0.3050847457627119,0.0,0.9915254237288136
5,1997.1698113207547,-0.9252830188679245,4.1257861635220126,0.9056603773584906,0.18238993710691823,1.1823899371069182,637.3836477987421,0.0,0.0,0.20125786163522014,0.07547169811320754,0.12578616352201258,0.0,1.0
6,2028.9333333333334,-1.0691333333333333,3.2066666666666666,0.8533333333333334,0.30666666666666664,1.42,637.9,0.0,0.0,0.64,0.3466666666666667,0.29333333333333333,0.0,1.0
7,2068.09022556391,-0.5478947368421053,4.214285714285714,1.6616541353383458,0.5526315789473685,1.413533834586466,689.812030075188,0.0,0.0,0.3308270676691729,0.24060150375939848,0.09022556390977443,0.0,0.9962406015037594
8,1994.6896551724137,-0.9566206896551724,2.7379310344827585,1.1793103448275861,0.23448275862068965,1.2344827586206897,652.6344827586207,0.0,0.0,0.4068965517241379,0.11724137931034483,0.2896551724137931,0.0,1.0
9,2028.0102040816328,-0.9545408163265307,2.2448979591836733,1.3010204081632653,0.6173469387755102,0.9744897959183674,688.9030612244898,0.0,0.0,0.23979591836734693,0.10204081632653061,0.1377551020408163,0.0,1.0
10,2076.537102473498,-0.8984098939929329,2.8374558303886928,2.1448763250883394,0.8445229681978799,1.1484098939929328,717.7597173144876,0.0,0.0,0.4876325088339223,0.1978798586572438,0.28975265017667845,0.0,1.0
11,1994.7852760736196,-0.8884662576687116,3.6319018404907975,0.901840490797546,0.17177914110429449,0.7239263803680982,704.2208588957055,0.0,0.0,0.3558282208588957,0.18404907975460122,0.17177914110429449,0.0,1.0
12,2040.892857142857,-0.9975595238095238,3.125,0.9821428571428571,0.7440476190476191,1.1369047619047619,729.8869047619048,0.0,0.0,0.6785714285714286,0.2916666666666667,0.3869047619047619,0.0,1.0
13,2072.0,-0.8257777777777778,2.7365079365079366,2.5206349206349206,0.7174603174603175,0.9142857142857143,739.8349206349206,0.0,0.0,0.26031746031746034,0.1873015873015873,0.07301587301587302,0.0,1.0
14,2004.034090909091,-0.817784090909091,3.2954545454545454,1.1079545454545454,0.42045454545454547,0.6079545454545454,735.8295454545455,0.0,0.0,0.2215909090909091,0.056818181818181816,0.16477272727272727,0.0,1.0
15,2030.9336283185842,-0.3880530973451327,2.97787610619469,1.4469026548672566,0.6371681415929203,0.7964601769911505,754.5088495575221,0.0,0.0,0.5530973451327433,0.2345132743362832,0.3185840707964602,0.0,0.995575221238938
16,2068.3492063492063,-0.8226984126984126,2.9523809523809526,1.7936507936507937,0.9206349206349206,0.9047619047619048,747.4444444444445,0.0,0.0,0.5428571428571428,0.3238095238095238,0.21904761904761905,0.0,1.0
17,2016.1290322580646,-0.8153225806451613,3.5053763440860215,1.446236559139785,0.3010752688172043,0.7258064516129032,703.9569892473119,0.0,0.0,0.7043010752688172,0.2903225806451613,0.41397849462365593,0.0,1.0
18,2037.1681415929204,-0.8651327433628319,1.9867256637168142,1.663716814159292,0.8805309734513275,0.8761061946902655,739.5840707964602,0.0,0.0,0.7345132743362832,0.37610619469026546,0.3584070796460177,0.0,1.0
19,2070.5504587155965,-0.7799388379204892,2.596330275229358,2.1070336391437308,1.0305810397553516,0.7522935779816514,742.1406727828746,0.0,0.0,0.26605504587155965,0.1651376146788991,0.10091743119266056,0.0,1.0
20,2018.743961352657,-0.8517391304347827,2.4444444444444446,1.2995169082125604,0.6666666666666666,0.8164251207729468,723.8792270531401,0.0,0.0,0.7246376811594203,0.28019323671497587,0.4444444444444444,0.0,1.0
21,2025.3877551020407,0.7013265306122449,2.7193877551020407,1.6989795918367347,0.41836734693877553,1.0,739.0714285714286,0.0,0.0,0.4744897959183674,0.23469387755102042,0.23979591836734693,0.0,0.9897959183673469
22,2069.449275362319,-0.8070724637681159,3.0,1.8782608695652174,1.0782608695652174,0.8869565217391304,744.0434782608696,0.0,0.0,0.5159420289855072,0.22028985507246376,0.2956521739130435,0.0,1.0
23,2022.5378486055777,-0.6903585657370518,3.4223107569721116,1.5816733067729083,0.5418326693227091,0.8844621513944223,746.3745019920319,0.0,0.0,0.6175298804780877,0.22709163346613545,0.3904382470119522,0.0,0.9960159362549801
24,2031.2792452830188,0.17275471698113207,3.392452830188679,1.6716981132075472,0.6150943396226415,1.2377358490566037,754.3584905660377,0.0,0.0,0.46037735849056605,0.2188679245283019,0.24150943396226415,0.0,0.9849056603773585
25,2060.7626050420167,-0.10939075630252101,3.4285714285714284,2.2373949579831933,1.161764705882353,1.0357142857142858,785.594537815126,0.0,0.0,0.30462184873949577,0.14285714285714285,0.16176470588235295,0.0,0.9894957983193278
26,2008.3886255924172,-0.8260663507109005,4.42654028436019,1.080568720379147,0.3459715639810427,0.8056872037914692,751.9857819905213,0.0,0.0,0.4597156398104265,0.14691943127962084,0.3127962085308057,0.0,1.0
27,2038.7276422764228,-0.6639430894308943,3.83739837398374,1.3821138211382114,0.7439024390243902,1.0853658536585367,747.7317073170732,0.0,0.0,0.25609756097560976,0.0975609756097561,0.15853658536585366,0.0,0.9959349593495935
28,2066.967391304348,-0.856304347826087,2.7989130434782608,2.595108695652174,0.9266304347826086,1.0543478260869565,770.6059782608696,0.0,0.0,0.31521739130434784,0.18206521739130435,0.1331521739130435,0.0,0.9972826086956522
29,2024.2259414225941,-0.8942677824267782,3.799163179916318,1.8158995815899581,0.4476987447698745,0.9497907949790795,765.979079497908,0.0,0.0,0.799163179916318,0.42677824267782427,0.3723849372384937,0.0,1.0
30,2035.6521739130435,-0.9702173913043478,3.2695652173913046,1.3391304347826087,0.7695652173913043,1.2391304347826086,783.5782608695653,0.0,0.0,0.41739130434782606,0.19130434782608696,0.22608695652173913,0.0,1.0
31,2068.1179138321995,-0.806984126984127,3.546485260770975,2.2108843537414966,1.0249433106575965,0.9342403628117913,816.5532879818594,0.0,0.0,0.4421768707482993,0.2018140589569161,0.24036281179138322,0.0,1.0
32,2028.8326848249028,-0.7281712062256809,3.8521400778210118,1.6108949416342413,0.6186770428015564,0.7237354085603113,794.568093385214,0.0,0.0,0.5136186770428015,0.17898832684824903,0.3346303501945525,0.0,1.0
33,2034.0900321543409,0.4742122186495176,3.4983922829581995,2.135048231511254,0.5048231511254019,1.1189710610932475,812.2765273311898,0.0,0.0,0.4533762057877814,0.19935691318327975,0.2540192926045016,0.0,0.9903536977491961
34,2065.7734082397005,-0.7044007490636703,3.1797752808988764,1.9906367041198503,1.3183520599250935,0.9082397003745318,821.5411985018727,0.0,0.0,0.5187265917602997,0.2958801498127341,0.22284644194756553,0.0,0.99812734082397
