env,generation,quantity,arm_a,arm_b,mean_a,mean_b,n_seeds,mean,sd,sem,w_stat,ci95_lo,ci95_hi,cohens_d,t_stat,p_t,p_wilcoxon,n_positive,n_negative,p_holm,n_generations_in_family
baseline,250,f_off,learning,evolution,16.855054266666667,17.521001266666666,10,-0.6659470000000003,0.8194423327232299,0.25913041825669336,8.0,-1.2521407317727578,-0.07975326822724282,-0.8126831790430904,-2.5699298618825837,0.03019126975418045,0.048828125,3,7,0.1207650790167218,4
baseline,500,f_off,learning,evolution,18.432330966666665,18.816517366666666,10,-0.38418639999999904,1.081731390638607,0.34207350109193413,18.0,-1.158010420717697,0.38963762071769914,-0.35515877908765514,-1.1231106729215685,0.2904557700603058,0.375,4,6,0.8713673101809174,4
baseline,750,f_off,learning,evolution,18.844164133333333,18.661153666666667,10,0.18301046666666637,1.1094834645410248,0.35084947742442985,21.0,-0.610666191772625,0.9766871251059579,0.16495105381527683,0.5216210325012821,0.6145263800480147,0.556640625,6,4,1.0,4
baseline,1000,f_off,learning,evolution,19.0722577,18.921656300000002,10,0.15060140000000005,1.1983714289533003,0.37895831983630796,24.0,-0.7066618776408584,1.0078646776408586,0.12567172110531757,0.3974088761662568,0.7003264298559877,0.76953125,6,4,1.0,4
hard,250,f_off,learning,evolution,14.905722666666666,7.713522600000002,10,7.192200066666667,5.0845572143739215,1.6078781690862616,3.0,3.554926949471446,10.829473183861888,1.4145184651152098,4.473100142129493,0.0015477333190345016,0.009765625,8,2,0.006190933276138007,4
hard,500,f_off,learning,evolution,16.131993866666665,10.538926666666665,10,5.5930672,5.234137099208381,1.6551794819085186,5.0,1.8487910791915083,9.337343320808491,1.0685748374542778,3.3791303366997196,0.008138197167560072,0.01953125,8,2,0.024414591502680216,4
hard,750,f_off,learning,evolution,16.1733519,14.861909733333334,10,1.3114421666666671,3.438821466941572,1.0874508302216788,21.0,-1.1485425181709399,3.771426851504274,0.3813638420237736,1.2059783580277623,0.25857179381552886,0.556640625,4,6,0.5171435876310577,4
hard,1000,f_off,learning,evolution,16.589102700000005,16.466252166666667,10,0.12285053333333326,1.2983911081607857,0.4105873195498118,25.0,-0.8059625125633383,1.0516635792300049,0.0946175097481645,0.2992068373373845,0.7715764546642123,0.845703125,5,5,0.7715764546642123,4
