env,quantity,arm_a,arm_b,mean_a,mean_b,n_seeds,mean,sd,sem,w_stat,ci95_lo,ci95_hi,cohens_d,t_stat,p_t,p_wilcoxon,n_positive,n_negative
baseline,d_f_off,learning,evolution,2.217203433333333,1.4006550333333325,10,0.8165484000000003,1.5898731717716352,0.5027620413594486,13.0,-0.3207783530724251,1.9538751530724257,0.5135934202160919,1.6241249991588185,0.13879607091592838,0.16015625,7,3
hard,d_f_off,learning,evolution,1.6833800333333335,8.752729566666666,10,-7.069349533333332,4.964115746398037,1.5697912327324592,1.0,-10.62046401464463,-3.5182350520220336,-1.4240903908138831,-4.5033692289311995,0.0014817567553256326,0.00390625,1,9
