env,condition,seed,generation,f_off,f_on,lift,weight_drift,mean_lifetime_off,mean_cave_entries_off,mean_predator_touches_off,mean_drained_ticks_off,mean_lifetime_on,mean_cave_entries_on,mean_predator_touches_on,mean_drained_ticks_on,n_genomes,f_off_norm,f_on_norm,lift_norm,is_anchor
baseline,evolution,2001,0,1.0256623333333332,1.1377153333333332,0.11205300000000001,0.00017907189999999998,1999.968,0.04373333333333333,0.0,0.0,1999.9823333333331,0.05646666666666667,0.0,0.0,100,0.02755952898157199,0.030602132435465765,0.003042603453893777,True
baseline,evolution,2001,250,17.43631166666667,18.075316666666666,0.639005,0.0016240138,1999.954,1.7386666666666668,0.0,0.0,1999.9616666666666,1.7593666666666665,0.0,0.0,100,0.4731620415625792,0.4905131059700952,0.01735106440751602,False
baseline,evolution,2001,500,17.01007,17.549297333333335,0.5392273333333333,0.0016198506,1999.9756666666665,0.4397333333333333,0.0,0.0,1999.9689999999998,0.46619999999999995,0.0,0.0,100,0.46158819376561305,0.47622996995040007,0.014641776184786934,False
baseline,evolution,2001,750,17.958118000000002,18.545454666666668,0.5873366666666667,0.0015790152,1999.9793333333334,0.35723333333333335,0.0,0.0,1999.9606666666666,0.3269,0.0,0.0,100,0.48733078092755516,0.5032788820100648,0.015948101082509686,False
baseline,evolution,2001,1000,16.985501,17.58553266666667,0.6000316666666666,0.0015397053333333333,1999.952,1.1700666666666666,0.0,0.0,1999.9310000000003,1.1509,0.0,0.0,100,0.4609210654936461,0.4772138771224793,0.016292811628833132,False
baseline,evolution,2002,0,1.058764,1.1798413333333333,0.12107733333333333,0.00018191366666666666,1999.945,0.10583333333333333,0.0,0.0,1999.9403333333332,0.10966666666666666,0.0,0.0,100,0.028458346909959815,0.03174599036964628,0.00328764345968647,True
baseline,evolution,2002,250,16.455149000000002,17.121012666666665,0.6658636666666666,0.0015771676333333335,1999.957666666667,1.1404666666666665,0.0,0.0,1999.96,1.1558333333333333,0.0,0.0,100,0.4465202834799609,0.46460064805763723,0.018080364577676405,False
baseline,evolution,2002,500,18.864062999999998,19.395604,0.531541,0.0016172572333333333,1999.9393333333335,1.1205333333333334,0.0,0.0,1999.9353333333333,1.0681333333333334,0.0,0.0,100,0.5119301346801346,0.5263632019115889,0.014433067231454329,False
baseline,evolution,2002,750,17.117975666666666,17.797597666666668,0.679622,0.0015896968666666666,1999.9103333333333,1.4679,0.0,0.0,1999.913,1.4543666666666666,0.0,0.0,100,0.46451818362839864,0.48297213171137904,0.01845394808298034,False
baseline,evolution,2002,1000,18.55185333333333,19.076108666666666,0.5242553333333333,0.0016418861333333333,1999.9156666666665,0.7726333333333333,0.0,0.0,1999.937333333333,0.7666666666666667,0.0,0.0,100,0.5034526266246695,0.5176878643061438,0.014235237681474238,False
baseline,evolution,2003,0,1.06119,1.1604056666666667,0.09921566666666666,0.00018122979999999998,1999.9196666666667,0.15309999999999999,0.0,0.0,1999.9093333333335,0.16953333333333334,0.0,0.0,100,0.028524220701640058,0.031218248796205786,0.0026940280945657287,True
baseline,evolution,2003,250,16.087135666666665,16.931651,0.8445153333333333,0.0016106252000000001,1999.928,0.7569666666666667,0.0,0.0,1999.943,0.713,0.0,0.0,100,0.43652752434741676,0.45945886282176596,0.022931338474349226,False
baseline,evolution,2003,500,17.559262666666665,18.14329766666667,0.584035,0.0015586400333333333,1999.9743333333336,1.1149,0.0,0.0,1999.9633333333334,1.1177,0.0,0.0,100,0.4765005611672278,0.4923590112595489,0.015858450092321057,False
baseline,evolution,2003,750,17.990438333333334,18.771472666666664,0.7810343333333333,0.0016101252666666668,1999.952,0.9491666666666667,0.0,0.0,1999.9286666666667,0.9485333333333333,0.0,0.0,100,0.48820838311429704,0.5094160059375112,0.021207622823214218,False
baseline,evolution,2003,1000,17.930287666666665,18.496980333333333,0.5666926666666666,0.0016469562333333333,1999.9513333333334,0.92,0.0,0.0,1999.94,0.9193333333333333,0.0,0.0,100,0.48657509684660216,0.5019626461750117,0.015387549328409541,False
baseline,evolution,2004,0,1.0527053333333334,1.1656963333333334,0.11299100000000001,0.00017869676666666667,1999.9546666666668,0.08476666666666667,0.0,0.0,1999.9556666666665,0.1093,0.0,0.0,100,0.028293834401361285,0.031361907606531264,0.0030680732051699793,True
baseline,evolution,2004,250,18.25845066666667,19.094634,0.8361833333333333,0.0017164395,1999.9473333333333,0.7374333333333333,0.0,0.0,1999.962,0.7597333333333334,0.0,0.0,100,0.49548578979761776,0.5181908873683067,0.022705097570688965,False
baseline,evolution,2004,500,18.68485066666667,19.249603333333333,0.5647526666666668,0.0015646571666666667,1999.9669999999999,0.6113333333333334,0.0,0.0,1999.9673333333333,0.6142,0.0,0.0,100,0.5070639368596358,0.5223988088773035,0.015334872017667719,False
baseline,evolution,2004,750,20.900779333333332,21.502607666666666,0.6018283333333334,0.0017904418666666666,1999.9796666666668,0.5871,0.0,0.0,1999.9826666666668,0.5977666666666667,0.0,0.0,100,0.5672336084862966,0.583575205459614,0.016341596973317406,False
baseline,evolution,2004,1000,20.276618,20.92614,0.6495219999999999,0.0017423076666666668,1999.9810000000002,0.5569333333333334,0.0,0.0,1999.984,0.5263000000000001,0.0,0.0,100,0.55028559791463,0.5679222330835234,0.01763663516889323,False
baseline,evolution,2005,0,1.0360053333333334,1.1563649999999999,0.12035966666666667,0.00018026706666666667,1999.9383333333333,0.11776666666666666,0.0,0.0,1999.9139999999998,0.1312,0.0,0.0,100,0.02784037507693422,0.031108531552079936,0.003268156475145722,True
baseline,evolution,2005,250,18.052013333333335,19.179179333333334,1.1271660000000001,0.0017695949,1999.9513333333334,1.1669666666666665,0.0,0.0,1999.9473333333333,1.1163333333333332,0.0,0.0,100,0.4898803446652909,0.5204865681908692,0.030606223525578364,False
baseline,evolution,2005,500,17.734877,18.561510000000002,0.8266330000000001,0.0017792248333333334,1999.9410000000003,1.8818,0.0,0.0,1999.9406666666664,1.7365000000000002,0.0,0.0,100,0.4812690615835777,0.5037148365374172,0.02244577495383947,False
baseline,evolution,2005,750,17.766601666666666,18.449786333333336,0.6831846666666667,0.0015804384,1999.9833333333333,0.37433333333333335,0.0,0.0,1999.982,0.39016666666666666,0.0,0.0,100,0.48213048948264,0.5006811755548315,0.018550686072191448,False
baseline,evolution,2005,1000,19.361680999999997,19.887039333333334,0.5253583333333331,0.0017426919666666666,1999.9986666666666,0.4577,0.0,0.0,1999.9883333333332,0.37703333333333333,0.0,0.0,100,0.5254420821114368,0.5397072698309258,0.014265187719488788,False
baseline,evolution,2006,0,1.3535816666666667,1.505157,0.15157533333333334,0.00019630386666666665,1999.9626666666668,0.0675,0.0,0.0,1999.9663333333335,0.07433333333333333,0.0,0.0,100,0.036463605589949676,0.04057936895840122,0.004115763368451541,True
baseline,evolution,2006,250,16.813432,17.595579,0.7821470000000001,0.0015627577333333332,1999.9633333333334,0.6539666666666667,0.0,0.0,1999.9723333333332,0.5966,0.0,0.0,100,0.45624883241012265,0.47748666775279675,0.021237835342674056,False
baseline,evolution,2006,500,19.937235333333334,20.508014666666668,0.5707793333333333,0.0017093399000000001,1999.9826666666668,0.7035333333333333,0.0,0.0,1999.9886666666666,0.6781666666666666,0.0,0.0,100,0.541070254516491,0.5565687701386626,0.015498515622171534,False
baseline,evolution,2006,750,18.691869999999998,19.233635,0.541765,0.0016397372333333334,1999.98,0.6304,0.0,0.0,1999.9669999999999,0.6612,0.0,0.0,100,0.5072545345932442,0.5219652166829586,0.014710682089714348,False
baseline,evolution,2006,1000,18.417731333333336,19.107919,0.6901876666666666,0.0016187203999999998,1999.9783333333332,0.6867333333333334,0.0,0.0,1999.9753333333333,0.6891333333333334,0.0,0.0,100,0.49981077803120816,0.5185516183338763,0.018740840302668257,False
baseline,evolution,2007,0,1.0320066666666665,1.1684433333333333,0.13643666666666668,0.000182313,1999.9393333333335,0.1167,0.0,0.0,1999.935,0.12086666666666666,0.0,0.0,100,0.027731798269432673,0.03143649759241157,0.003704699322978893,True
baseline,evolution,2007,250,17.880775,18.407261666666667,0.5264866666666664,0.0016169040666666667,1999.943,1.3832666666666666,0.0,0.0,1999.9526666666668,1.4073333333333333,0.0,0.0,100,0.48523066688389266,0.4995264925238043,0.014295825639911655,False
baseline,evolution,2007,500,18.42946866666667,18.792245,0.3627763333333333,0.0015784796333333335,1999.9426666666668,0.8773333333333333,0.0,0.0,1999.9583333333333,0.8741000000000001,0.0,0.0,100,0.5001294848122805,0.5099800423590746,0.009850557546794104,False
baseline,evolution,2007,750,19.672732,20.145205666666666,0.4724736666666666,0.0016656973666666667,1999.9593333333335,0.5449333333333333,0.0,0.0,1999.9606666666666,0.5507333333333333,0.0,0.0,100,0.533888128597806,0.546717325585605,0.012829196987799137,False
baseline,evolution,2007,1000,20.04138,20.438687333333334,0.3973073333333334,0.0016624284666666668,1999.9816666666666,0.6424666666666667,0.0,0.0,1999.976,0.6479666666666667,0.0,0.0,100,0.5438981209948952,0.5546863075196409,0.010788186524745665,False
baseline,evolution,2008,0,1.0565853333333333,1.163945,0.10735966666666667,0.00018222496666666667,1999.9016666666666,0.1388,0.0,0.0,1999.9039999999998,0.15236666666666668,0.0,0.0,100,0.028399189022844936,0.0313143532095145,0.002915164186669563,True
