panel,fraction,metric,mean,std,sem,count
0.05,0.3,avg_fitness,7.448422666666667,0.06437445152646697,0.037166606917740215,3
0.05,0.4,avg_fitness,7.542573999999999,0.053021066115272256,0.030611726794373382,3
0.05,0.5,avg_fitness,7.512654,0.06362316958467269,0.03673285408640799,3
0.05,0.6,avg_fitness,7.474443333333333,0.07875580703245577,0.04546968639043456,3
0.10,0.3,avg_fitness,7.490344666666666,0.0989905870743957,0.057152242094641446,3
0.10,0.4,avg_fitness,7.5031099999999995,0.08059481866720657,0.04653144025280079,3
0.10,0.5,avg_fitness,7.548172666666666,0.09618187755150881,0.05553063289552723,3
0.10,0.6,avg_fitness,7.563495333333333,0.04490954465738184,0.025928537697122927,3
snap-back,0.2,avg_fitness,7.524810666666667,0.08276778093759288,0.04778600060454723,3
snap-back,0.3,avg_fitness,7.509569333333334,0.013934748269463898,0.008045230664464654,3
snap-back,0.4,avg_fitness,7.499345333333333,0.059615474814290075,0.034419010431897726,3
snap-back,0.5,avg_fitness,7.5479899999999995,0.051230025727106346,0.029577669144136304,3
snap-back,0.6,avg_fitness,7.481764666666667,0.06568968900317085,0.03792595962896349,3
0.05,0.3,peak_population,590.3733333333333,10.62956882160954,6.136984420525921,3
0.05,0.4,peak_population,580.14,8.234537024022663,4.754212167471423,3
0.05,0.5,peak_population,586.2533333333333,3.8647293997553165,2.2313025592937925,3
0.05,0.6,peak_population,592.9399999999999,15.950786814448978,9.209191061108452,3
0.10,0.3,peak_population,586.44,11.219999999999942,6.477870020307567,3
0.10,0.4,peak_population,592.8133333333334,14.572663906552354,8.413531429257946,3
0.10,0.5,peak_population,580.7533333333333,9.663236172904657,5.579072005669433,3
0.10,0.6,peak_population,586.48,15.509983881358453,8.954693369029059,3
snap-back,0.2,peak_population,586.4533333333334,5.071186580410275,2.92785093731069,3
snap-back,0.3,peak_population,586.9133333333333,12.274531898745987,7.086704295917644,3
snap-back,0.4,peak_population,581.66,17.843127528547257,10.30173448179158,3
snap-back,0.5,peak_population,576.4733333333334,11.306818002131896,6.527994417208957,3
snap-back,0.6,peak_population,588.0466666666666,9.92504575976018,5.7302278411168945,3
0.05,0.3,top20percent_fitness,20.890614666666664,0.10781840960305923,0.06224898780792358,3
0.05,0.4,top20percent_fitness,21.085899333333334,0.06059640657112605,0.03498535164576363,3
0.05,0.5,top20percent_fitness,21.116296000000002,0.2078997718902063,0.12003098926527239,3
0.05,0.6,top20percent_fitness,20.941456666666664,0.18085395361267054,0.10441607880228343,3
0.10,0.3,top20percent_fitness,20.945107333333336,0.1256060251155719,0.07251867241231433,3
0.10,0.4,top20percent_fitness,21.116044,0.18857391238450266,0.10887319907733352,3
0.10,0.5,top20percent_fitness,21.14467,0.16571897705453179,0.09567789601226334,3
0.10,0.6,top20percent_fitness,21.179972666666668,0.11791177456612895,0.06807639478638101,3
snap-back,0.2,top20percent_fitness,21.045342666666667,0.18937214813518025,0.109334060702864,3
snap-back,0.3,top20percent_fitness,21.125146,0.10552195038000889,0.06092312645731246,3
snap-back,0.4,top20percent_fitness,20.86268,0.33848733026215283,0.1954257512441317,3
snap-back,0.5,top20percent_fitness,21.042290666666666,0.08998793711010822,0.05195455971434009,3
snap-back,0.6,top20percent_fitness,21.037907999999998,0.25398978910971803,0.14664107311391197,3
0.05,0.3,total_agents,1382.1599999999999,21.005865847424726,12.127742301571832,3
0.05,0.4,total_agents,1374.2,14.302852862279,8.25775595021639,3
0.05,0.5,total_agents,1379.4866666666667,7.560432086417581,4.3650175002830744,3
0.05,0.6,total_agents,1379.7600000000002,27.422698627232325,15.832502434338563,3
0.10,0.3,total_agents,1380.4399999999998,11.60708404380699,6.701353097198576,3
0.10,0.4,total_agents,1384.8266666666668,16.745498897713762,9.668018296309622,3
0.10,0.5,total_agents,1372.493333333333,15.261668759782896,8.811328566743558,3
0.10,0.6,total_agents,1374.86,23.722116263099352,13.69597021024801,3
snap-back,0.2,total_agents,1376.3,13.03097847438944,7.523438929992962,3
snap-back,0.3,total_agents,1381.9466666666667,20.863214836964367,12.045382702282373,3
snap-back,0.4,total_agents,1369.1666666666667,28.841860781394367,16.651856086067745,3
snap-back,0.5,total_agents,1371.0533333333333,16.440405510002744,9.49187254678669,3
snap-back,0.6,total_agents,1384.5,15.69243129664754,9.060029433359166,3
