env,label,grid_dir,resolution,repeats,extent,spacing,anchor,fdc_best,fdc_top5,lambda_w,neutral_frac,neutral_frac_shared,neutral_frac_noise,plateau_largest,dispersion_05,viable_frac,r2_quadratic,f_range,f_range_norm,lambda_cells,norm_lo,norm_hi
hard/succeeded,2001,"landscape/out/slices_h128_companion/evolution_succeed_roam60d5_w500_evolution_h128_seed2001_r9",47,5,86.0,1.8695652173913047,"trajectory mean of roam60d5_w500_evolution_h128_seed2001_r9",-0.8529047061153628,-0.8790545030195691,10.517153000070122,0.6567992599444958,0.7543940795559667,0.9442645698427382,0.4368492530556813,0.27572922843795894,0.6165685830692621,0.9049973615502942,16.363960000000002,0.7170420148035975,5.625453930270065,1.26592,24.0874
hard/succeeded,2002,"landscape/out/slices_h128_companion/evolution_succeed_roam60d5_w500_evolution_h128_seed2002_r9",47,5,86.0,1.8695652173913047,"trajectory mean of roam60d5_w500_evolution_h128_seed2002_r9",-0.823516685117098,-0.8198573389299824,10.022061273168097,0.526827012025902,0.6241905642923219,0.9539777983348752,0.22634676324128564,0.2846547510308962,0.8854685377999094,0.7960778351268988,18.05458,0.7911222234491366,5.360637425182935,1.26592,24.0874
hard/succeeded,2007,"landscape/out/slices_h128_companion/evolution_succeed_roam60d5_w500_evolution_h128_seed2007_r4",47,5,86.0,1.8695652173913047,"trajectory mean of roam60d5_w500_evolution_h128_seed2007_r4",-0.9697526330223627,-0.9749762513423983,9.580058909182545,0.580249768732655,0.67368177613321,0.9653098982423681,0.3580805794477139,0.260420055384076,0.9447713897691263,0.9167856919372896,18.56858,0.8136448643996798,5.124217556074384,1.26592,24.0874
hard/failed,2004,"landscape/out/slices_h128_companion/evolution_underperform_roam60d5_w500_evolution_h128_seed2004_r6",47,5,86.0,1.8695652173913047,"trajectory mean of roam60d5_w500_evolution_h128_seed2004_r6",-0.6091224080323867,-0.6388514386059844,10.221749071159396,0.36725254394079554,0.9956059204440333,0.9854301572617946,0.10004526935264826,0.5601508872371316,0.15346310547759168,0.7099874226317017,3.1990400000000005,0.1401767107128898,5.467447177596886,1.26592,24.0874
hard/failed,2005,"landscape/out/slices_h128_companion/evolution_underperform_roam60d5_w500_evolution_h128_seed2005_r8",47,5,86.0,1.8695652173913047,"trajectory mean of roam60d5_w500_evolution_h128_seed2005_r8",-0.5290971779068232,-0.6975536683542153,10.54529352448836,0.38066604995374653,0.9937557816836263,0.9757169287696578,0.08646446355817111,0.7899010997664343,0.6020823902218199,0.5575999104115859,3.6709600000000013,0.16085547475448575,5.640505838679819,1.26592,24.0874
hard/failed,2008,"landscape/out/slices_h128_companion/evolution_underperform_roam60d5_w500_evolution_h128_seed2008_r4",47,5,86.0,1.8695652173913047,"trajectory mean of roam60d5_w500_evolution_h128_seed2008_r4",-0.27115579851324395,-0.4281335538827607,10.438088932259314,0.702358926919519,0.9935245143385754,0.982886216466235,0.7664101403349932,0.72946971697214,0.6437301946582163,0.6734613527988333,6.737120000000001,0.29520960077961644,5.583163847487539,1.26592,24.0874
baseline/succeeded,2002,"landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2002_r10",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2002_r10",-0.600222086454954,-0.6408980917319681,10.582879947923956,0.5032377428307123,0.7493061979648473,0.9451896392229417,0.2095971027614305,0.25807619138944743,1.0,0.7310581021627083,13.40352,0.5873203666019908,5.66061020470351,1.26592,24.0874
baseline/succeeded,2006,"landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2006_r5",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2006_r5",-0.5001943391845285,-0.7003141560253459,11.122264153264856,0.4775670675300648,0.6325161887141536,0.9382516188714154,0.3110004526935265,0.24132824856463442,1.0,0.9108616245093448,16.077200000000005,0.7044766597083102,5.949118035467247,1.26592,24.0874
baseline/succeeded,2008,"landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2008_r4",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2008_r4",-0.7350847661868667,-0.8386081772647662,10.70689429984386,0.6080018501387604,0.6704440333024977,0.9625346901017576,0.822544137618832,0.29801261822543496,0.9923042100497963,0.9041302025723922,20.33542,0.8910649090243052,5.72694346270718,1.26592,24.0874
baseline/weakest,2003,"landscape/out/slices_h128_baseline_companion/evolution_underperform_base_w500_evolution_h128_seed2003_r1",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2003_r1",-0.8787248022032979,-0.8752981050090407,9.809353061382229,0.5511100832562442,0.6288159111933395,0.9151248843663274,0.31326392032593936,0.3383292889167207,0.9837030330466274,0.841441849864637,18.887079999999997,0.8276010144828468,5.246863265390494,1.26592,24.0874
