collapse_buffer,unit,metric,value
25,seed1_r1,avg_fitness,7.069127000000001
25,seed1_r1,top20percent_fitness,20.0291935
25,seed1_r1,peak_population,472.595
25,seed1_r1,avg_lifetime,2089.5409999999997
25,seed1_r1,avg_learned_weight_diff,0.0012484150000000001
25,seed1_r1,genome_variance,0.046303010000000006
25,seed1_r1,collapse,0.0
25,seed1_r1,respawned,43.2
25,seed1_r1,cells_visited,937.5460264237493
25,seed1_r1,cave_entries,2.2071237668801262
25,seed1_r1,night_share,0.5119153839346596
25,seed1_r1,food_total,7.408947688225115
25,seed1_r2,avg_fitness,7.0778385
25,seed1_r2,top20percent_fitness,19.967083499999998
25,seed1_r2,peak_population,462.525
25,seed1_r2,avg_lifetime,2061.662
25,seed1_r2,avg_learned_weight_diff,0.001259665
25,seed1_r2,genome_variance,0.10796982499999999
25,seed1_r2,collapse,0.0
25,seed1_r2,respawned,44.53
25,seed1_r2,cells_visited,955.3234708076634
25,seed1_r2,cave_entries,1.9919990270236252
25,seed1_r2,night_share,0.5116304084180374
25,seed1_r2,food_total,7.349103769423387
25,seed1_r3,avg_fitness,7.1469705
25,seed1_r3,top20percent_fitness,20.499434499999996
25,seed1_r3,peak_population,475.62
25,seed1_r3,avg_lifetime,2108.581
25,seed1_r3,avg_learned_weight_diff,0.0012019250000000002
25,seed1_r3,genome_variance,0.028818735
25,seed1_r3,collapse,0.0
25,seed1_r3,respawned,39.37
25,seed1_r3,cells_visited,973.2222775116894
25,seed1_r3,cave_entries,1.9047177060766252
25,seed1_r3,night_share,0.5100916155553269
25,seed1_r3,food_total,7.584464144488773
25,seed1_r4,avg_fitness,7.018333999999999
25,seed1_r4,top20percent_fitness,19.729887
25,seed1_r4,peak_population,453.355
25,seed1_r4,avg_lifetime,2057.258
25,seed1_r4,avg_learned_weight_diff,0.00127266
25,seed1_r4,genome_variance,0.085305885
25,seed1_r4,collapse,0.0
25,seed1_r4,respawned,43.195
25,seed1_r4,cells_visited,947.62204311063
25,seed1_r4,cave_entries,1.1318767727191734
25,seed1_r4,night_share,0.5108486578906595
25,seed1_r4,food_total,7.3677763950345705
25,seed1_r5,avg_fitness,7.092529000000001
25,seed1_r5,top20percent_fitness,20.157647
25,seed1_r5,peak_population,478.695
25,seed1_r5,avg_lifetime,2062.137
25,seed1_r5,avg_learned_weight_diff,0.0013106699999999999
25,seed1_r5,genome_variance,0.031097290000000003
25,seed1_r5,collapse,0.0
25,seed1_r5,respawned,42.165
25,seed1_r5,cells_visited,981.0872893811497
25,seed1_r5,cave_entries,1.844092173008358
25,seed1_r5,night_share,0.5142797722091441
25,seed1_r5,food_total,7.329516173405329
25,seed42_r1,avg_fitness,7.390977
25,seed42_r1,top20percent_fitness,20.714913000000003
25,seed42_r1,peak_population,454.865
25,seed42_r1,avg_lifetime,2100.824
