id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p2_4_r4_off,0,4,2000,6.958600,7.019943,100,1999.50,2.8500,0.0000,0.0000,99,1,0,0
p2_5_r4_off,0,4,2000,7.058900,7.203148,100,2000.00,3.1500,0.0000,0.0000,98,2,0,0
p2_6_r4_off,0,4,2000,7.088900,7.239273,100,1999.60,2.2600,0.0000,0.0000,98,2,0,0
p2_7_r4_off,0,4,2000,7.119500,7.162325,100,1999.80,2.2600,0.0000,0.0000,97,3,0,0
p2_8_r4_off,0,4,2000,7.484400,6.477930,100,2000.00,2.1500,0.0000,0.0000,100,0,0,0
p2_9_r4_off,0,4,2000,7.213600,6.427178,100,2000.00,2.8700,0.0000,0.0000,99,1,0,0
p2_10_r4_off,0,4,2000,7.339200,6.725035,100,2000.00,1.8700,0.0000,0.0000,100,0,0,0
p2_11_r4_off,0,4,2000,7.399500,6.584569,100,2000.00,2.9700,0.0000,0.0000,100,0,0,0
p2_12_r4_off,0,4,2000,7.524800,6.588089,100,2000.00,2.4600,0.0000,0.0000,100,0,0,0
p2_13_r4_off,0,4,2000,7.744500,6.451615,100,1999.80,3.0500,0.0000,0.0000,98,2,0,0
p2_14_r4_off,0,4,2000,7.729400,5.386444,100,1999.40,2.9700,0.0000,0.0000,97,3,0,0
p2_15_r4_off,0,4,2000,7.875600,6.371982,100,1999.50,2.9100,0.0000,0.0000,98,2,0,0
p2_16_r4_off,0,4,2000,8.255200,6.015775,100,1999.00,4.0800,0.0000,0.0000,98,2,0,0
p2_17_r4_off,0,4,2000,7.865600,6.549462,100,2000.00,2.9200,0.0000,0.0000,100,0,0,0
p2_18_r4_off,0,4,2000,7.980500,5.859931,100,2000.00,3.3100,0.0000,0.0000,100,0,0,0
p2_19_r4_off,0,4,2000,7.840400,6.242289,100,1999.50,2.7600,0.0000,0.0000,99,1,0,0
p2_20_r4_off,0,4,2000,7.724600,5.538048,100,1999.00,3.8400,0.0000,0.0000,98,2,0,0
p2_21_r4_off,0,4,2000,8.061000,6.818784,100,2000.00,3.5900,0.0000,0.0000,100,0,0,0
p2_22_r4_off,0,4,2000,8.165300,6.142877,100,1999.80,4.3400,0.0000,0.0000,99,1,0,0
p2_23_r4_off,0,4,2000,7.879700,6.409106,100,1999.40,4.5700,0.0000,0.0000,97,3,0,0
p2_24_r4_off,0,4,2000,7.895100,6.706769,100,1999.70,4.6100,0.0000,0.0000,99,1,0,0
p3_0_r4_off,0,4,2000,6.909300,7.341998,100,2000.00,2.1600,0.0000,0.0000,100,0,0,0
p3_1_r4_off,0,4,2000,7.059200,7.361320,100,2000.00,2.3800,0.0000,0.0000,100,0,0,0
p3_2_r4_off,0,4,2000,6.993600,6.588302,100,1999.80,2.2700,0.0000,0.0000,99,1,0,0
p3_3_r4_off,0,4,2000,7.149700,6.944737,100,1999.80,2.7300,0.0000,0.0000,98,2,0,0
p3_4_r4_off,0,4,2000,7.364200,6.901241,100,1998.60,2.4200,0.0000,0.0000,98,2,0,0
