env,condition,group,seed,run,run_final_fitness,resolution,repeats,extent,plane_frac,coverage_rl_off,coverage_rl_on,f_evo_min,f_evo_median,f_evo_max,f_evo_at_anchor,f_evo_range,viable_pct_rl_off,viable_pct_rl_on,mean_f_rl_off,mean_f_rl_on,median_lift,mean_lift,f_evo_median_raw,f_evo_max_raw,mean_f_rl_off_raw,median_lift_raw,fdc_top5,grid_dir
baseline,evolution,underperform,2007,base_w500_evolution_h128_seed2007_r3,7.3725,47,5,86.00,0.6426,1.0000,1.0000,0.2702,0.6499,0.8776,0.7953,0.6074,100.00,100.00,0.6369,0.6597,0.0235,0.0229,16.0965,21.2946,15.7998,0.5356,-0.7105,landscape/out/slices_h128_baseline_companion/evolution_underperform_base_w500_evolution_h128_seed2007_r3
baseline,evolution,underperform,2004,base_w500_evolution_h128_seed2004_r9,7.3691,47,5,86.00,0.6355,1.0000,1.0000,0.0731,0.6924,0.9720,0.8486,0.8989,99.73,99.86,0.6467,0.6708,0.0230,0.0241,17.0672,23.4485,16.0240,0.5238,-0.6966,landscape/out/slices_h128_baseline_companion/evolution_underperform_base_w500_evolution_h128_seed2004_r9
baseline,evolution,underperform,2003,base_w500_evolution_h128_seed2003_r1,7.3047,47,5,86.00,0.6370,1.0000,1.0000,0.0000,0.5600,0.8276,0.7847,0.8276,98.37,98.73,0.5585,0.5832,0.0240,0.0247,14.0470,20.1530,14.0117,0.5487,-0.8753,landscape/out/slices_h128_baseline_companion/evolution_underperform_base_w500_evolution_h128_seed2003_r1
baseline,evolution,succeed,2002,base_w500_evolution_h128_seed2002_r10,7.5940,47,5,86.00,0.6321,1.0000,1.0000,0.2446,0.5163,0.8319,0.7739,0.5873,100.00,100.00,0.5325,0.5577,0.0230,0.0251,13.0488,20.2507,13.4190,0.5254,-0.6409,landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2002_r10
baseline,evolution,succeed,2006,base_w500_evolution_h128_seed2006_r5,7.5693,47,5,86.00,0.6346,1.0000,1.0000,0.1909,0.6854,0.8954,0.8947,0.7045,100.00,100.00,0.6227,0.6496,0.0248,0.0269,16.9070,21.7007,15.4775,0.5661,-0.7003,landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2006_r5
baseline,evolution,succeed,2008,base_w500_evolution_h128_seed2008_r4,7.5529,47,5,86.00,0.6308,1.0000,1.0000,0.0309,0.7364,0.9220,0.8681,0.8911,99.23,99.50,0.7104,0.7396,0.0287,0.0292,18.0707,22.3063,17.4792,0.6555,-0.8386,landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2008_r4
