environment,group,label,grid_dir,resolution,repeats,extent,spacing,anchor,fdc_best,fdc_top5,lambda_w,neutral_frac,neutral_frac_shared,neutral_frac_noise,plateau_largest,dispersion_05,viable_frac,r2_quadratic,f_range,f_range_norm,lambda_cells,norm_lo,norm_hi
baseline,succeeded,2002,"landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2002_r10",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2002_r10",-0.600222086454954,-0.6408980917319681,10.582879947923956,0.5032377428307123,0.7493061979648473,0.9451896392229417,0.2095971027614305,0.25807619138944743,1.0,0.7310581021627083,13.40352,0.5873203666019908,5.66061020470351,1.26592,24.0874
baseline,succeeded,2006,"landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2006_r5",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2006_r5",-0.5001943391845285,-0.7003141560253459,11.122264153264856,0.4775670675300648,0.6325161887141536,0.9382516188714154,0.3110004526935265,0.24132824856463442,1.0,0.9108616245093448,16.077200000000005,0.7044766597083102,5.949118035467247,1.26592,24.0874
baseline,succeeded,2008,"landscape/out/slices_h128_baseline_companion/evolution_succeed_base_w500_evolution_h128_seed2008_r4",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2008_r4",-0.7350847661868667,-0.8386081772647662,10.70689429984386,0.6080018501387604,0.6704440333024977,0.9625346901017576,0.822544137618832,0.29801261822543496,0.9923042100497963,0.9041302025723922,20.33542,0.8910649090243052,5.72694346270718,1.26592,24.0874
baseline,weakest,2003,"landscape/out/slices_h128_baseline_companion/evolution_underperform_base_w500_evolution_h128_seed2003_r1",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2003_r1",-0.8787248022032979,-0.8752981050090407,9.809353061382229,0.5511100832562442,0.6288159111933395,0.9151248843663274,0.31326392032593936,0.3383292889167207,0.9837030330466274,0.841441849864637,18.887079999999997,0.8276010144828468,5.246863265390494,1.26592,24.0874
baseline,weakest,2004,"landscape/out/slices_h128_baseline_companion/evolution_underperform_base_w500_evolution_h128_seed2004_r9",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2004_r9",-0.7050830743773367,-0.6966148724259995,9.495483282461635,0.5538852913968547,0.6054579093432008,0.9003237742830712,0.5319148936170213,0.24790916609615773,0.9972838388411046,0.8876276499183691,20.513620000000003,0.8988733421320618,5.078979430153897,1.26592,24.0874
baseline,weakest,2007,"landscape/out/slices_h128_baseline_companion/evolution_underperform_base_w500_evolution_h128_seed2007_r3",47,5,86.0,1.8695652173913047,"trajectory mean of base_w500_evolution_h128_seed2007_r3",-0.680301490334884,-0.7105479120821743,11.14912773486909,0.5111008325624422,0.7511563367252544,0.9722479185938946,0.3549117247623359,0.3308905148451164,1.0,0.9344690994094282,13.86252,0.6074329973340906,5.963486927953233,1.26592,24.0874
