id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p0_0_r3_off,0,3,2000,0.799100,1.451349,100,930.48,1.1400,27.5100,12.7000,0,12,88,0
p0_1_r3_off,0,3,2000,0.843900,1.832442,100,796.19,1.2100,31.3500,13.9900,0,10,90,0
p0_2_r3_off,0,3,2000,1.054000,2.232610,100,882.54,1.4100,29.6600,13.6800,0,10,90,0
p0_3_r3_off,0,3,2000,1.059200,2.425499,100,867.61,1.9600,30.0600,15.0900,0,11,89,0
p0_4_r3_off,0,3,2000,0.988700,1.605408,100,903.58,2.2400,29.1200,14.5700,0,9,91,0
p0_5_r3_off,0,3,2000,1.734900,3.307759,100,1021.68,3.3500,27.0100,14.8500,0,14,86,0
p0_6_r3_off,0,3,2000,2.718900,4.800917,100,1042.20,3.9000,26.4500,15.6800,2,10,88,0
p0_7_r3_off,0,3,2000,3.469800,5.391574,100,1150.16,6.6300,24.0300,14.2800,5,12,83,0
p0_8_r3_off,0,3,2000,4.656700,6.534077,100,1130.06,7.5800,24.1400,14.0800,3,11,86,0
p0_9_r3_off,0,3,2000,4.793600,6.542993,100,1060.17,7.3400,26.4800,16.3100,0,19,81,0
p0_10_r3_off,0,3,2000,6.504500,7.585401,100,1274.96,7.9700,20.3600,12.1700,10,19,71,0
p0_11_r3_off,0,3,2000,7.755100,7.886420,100,1215.93,5.4200,22.0800,12.9500,9,20,71,0
p0_12_r3_off,0,3,2000,9.214900,8.388070,100,1216.61,2.2900,20.8600,11.8400,9,22,69,0
p0_13_r3_off,0,3,2000,10.265200,7.392272,100,1116.34,1.8300,24.0000,14.7600,3,17,80,0
p0_14_r3_off,0,3,2000,11.905100,8.320077,100,1229.85,1.3900,21.2600,12.4500,10,12,78,0
p0_15_r3_off,0,3,2000,11.931000,7.424156,100,1226.81,1.6700,21.5700,12.1300,6,15,79,0
p0_16_r3_off,0,3,2000,11.805100,8.169818,100,1293.39,3.7600,20.3100,11.8500,11,23,66,0
p0_17_r3_off,0,3,2000,12.365100,7.966581,100,1254.73,3.3100,21.5200,12.2400,12,23,65,0
p0_18_r3_off,0,3,2000,12.299800,7.869597,100,1371.74,5.2400,17.8000,9.6100,20,20,60,0
p0_19_r3_off,0,3,2000,12.399400,8.610232,100,1255.13,4.8300,21.5700,12.2300,11,29,60,0
p0_20_r3_off,0,3,2000,12.289800,7.447434,100,1392.41,4.0100,18.6000,10.3600,23,27,50,0
p0_21_r3_off,0,3,2000,12.394900,7.194927,100,1430.14,4.5200,17.8700,9.2900,23,23,54,0
p0_22_r3_off,0,3,2000,12.099200,7.325279,100,1336.31,2.3100,18.9900,9.6200,30,18,52,0
p0_23_r3_off,0,3,2000,12.014700,7.299189,100,1339.80,2.7000,19.4200,9.8200,22,21,57,0
p0_24_r3_off,0,3,2000,12.350100,7.615285,100,1360.93,1.5300,18.5100,9.8700,18,29,53,0
p1_0_r3_off,0,3,2000,0.978000,2.041671,100,791.72,0.8500,30.4000,13.4900,0,6,94,0
p1_1_r3_off,0,3,2000,0.883600,2.253833,100,931.28,1.0500,28.6500,12.0800,2,8,90,0
p1_2_r3_off,0,3,2000,0.863700,1.806144,100,857.99,1.1900,28.7900,13.6100,1,3,96,0
p1_3_r3_off,0,3,2000,1.308700,3.304911,100,987.64,1.5200,26.3700,12.0300,0,12,88,0
p1_4_r3_off,0,3,2000,1.928900,3.781106,100,975.98,1.4700,26.7300,13.0500,0,5,95,0
p1_5_r3_off,0,3,2000,1.924100,3.498129,100,939.80,1.8500,28.2000,14.6300,0,10,90,0
p1_6_r3_off,0,3,2000,2.438800,4.284633,100,1136.57,2.9500,23.8300,12.9000,6,9,85,0
p1_7_r3_off,0,3,2000,2.964600,4.589079,100,1017.03,5.4900,26.3600,16.0600,0,16,84,0
p1_8_r3_off,0,3,2000,3.909400,5.335244,100,1261.00,8.7500,21.2700,12.9700,14,12,74,0
p1_9_r3_off,0,3,2000,4.420800,5.858591,100,1069.03,9.3800,24.4600,14.3000,3,14,83,0
p1_10_r3_off,0,3,2000,6.008800,7.215032,100,1163.44,6.7900,22.5300,13.7700,9,17,74,0
p1_11_r3_off,0,3,2000,6.910700,7.428870,100,1182.48,7.4400,23.0200,14.4400,3,22,75,0
p1_12_r3_off,0,3,2000,8.475200,7.363858,100,1254.82,5.7900,21.1100,13.1000,10,19,71,0
p1_13_r3_off,0,3,2000,9.834800,7.396587,100,1261.94,4.8900,20.3700,12.0800,5,15,80,0
p1_14_r3_off,0,3,2000,10.340000,8.499211,100,1110.99,2.3100,24.5600,15.1200,5,15,80,0
p1_15_r3_off,0,3,2000,11.110700,7.515960,100,1220.99,2.7900,21.4100,12.4800,7,22,71,0
p1_16_r3_off,0,3,2000,11.800800,7.597662,100,1206.11,3.2900,22.3600,12.7500,8,14,78,0
p1_17_r3_off,0,3,2000,11.956200,8.219724,100,1343.42,4.7400,19.6000,11.5100,11,27,62,0
p1_18_r3_off,0,3,2000,12.164900,7.927096,100,1358.69,2.8100,18.1300,10.3900,16,24,60,0
p1_19_r3_off,0,3,2000,12.344800,7.677109,100,1360.76,3.5200,18.5400,10.2100,23,17,60,0
p1_20_r3_off,0,3,2000,12.225100,8.342715,100,1356.84,3.7600,18.4700,10.0000,20,18,62,0
p1_21_r3_off,0,3,2000,12.764800,7.047496,100,1382.80,3.6100,18.3200,9.5000,19,17,64,0
p1_22_r3_off,0,3,2000,12.155200,8.363868,100,1439.95,2.6900,15.9200,8.4100,32,28,40,0
p1_23_r3_off,0,3,2000,12.605500,7.841794,100,1411.18,1.8200,16.7600,8.9700,29,21,50,0
p1_24_r3_off,0,3,2000,12.189900,7.601072,100,1364.21,1.5600,18.3900,9.2100,18,21,61,0
p2_0_r3_off,0,3,2000,1.203400,3.294954,100,1099.97,0.8900,23.7100,10.4700,0,8,92,0
p2_1_r3_off,0,3,2000,1.229200,2.873836,100,765.32,0.9700,30.9700,13.8900,0,10,90,0
p2_2_r3_off,0,3,2000,1.523700,3.298709,100,821.58,1.0000,30.0800,13.0000,0,13,87,0
p2_3_r3_off,0,3,2000,1.613700,3.139435,100,861.11,1.0200,29.4000,14.7200,0,15,85,0
p2_4_r3_off,0,3,2000,1.994000,3.644762,100,1011.45,1.0100,26.0800,12.1600,3,10,87,0
p2_5_r3_off,0,3,2000,2.323500,3.984891,100,903.42,1.3200,28.7700,13.8700,0,12,88,0
p2_6_r3_off,0,3,2000,2.468400,4.119941,100,922.11,1.6000,28.8600,14.9600,2,11,87,0
p2_7_r3_off,0,3,2000,2.885100,4.441897,100,831.60,2.5200,30.7700,16.9400,0,9,91,0
p2_8_r3_off,0,3,2000,3.303700,5.016390,100,1064.45,5.0400,25.3800,14.2300,0,7,93,0
p2_9_r3_off,0,3,2000,3.910100,5.411497,100,1011.86,7.8800,28.0900,18.1200,0,14,86,0
p2_10_r3_off,0,3,2000,5.075500,7.191346,100,1251.94,13.6800,21.4400,13.5300,6,17,77,0
p2_11_r3_off,0,3,2000,5.618400,6.397011,100,1335.60,13.2100,18.6100,11.6400,16,15,69,0
p2_12_r3_off,0,3,2000,7.000200,6.506121,100,1306.94,10.2600,20.0700,12.7100,14,19,67,0
p2_13_r3_off,0,3,2000,8.569700,6.950001,100,1193.86,6.6900,23.3700,14.3600,5,18,77,0
p2_14_r3_off,0,3,2000,9.610300,7.000224,100,1281.38,4.8900,20.1200,12.0100,12,12,76,0
p2_15_r3_off,0,3,2000,9.814800,6.966146,100,1203.65,3.7900,21.5600,12.8100,16,13,71,0
p2_16_r3_off,0,3,2000,11.420400,7.875977,100,1301.82,2.1300,19.9300,12.2000,14,21,65,0
p2_17_r3_off,0,3,2000,11.695500,7.709621,100,1280.32,2.0700,19.9600,11.1300,23,18,59,0
p2_18_r3_off,0,3,2000,11.564900,6.377462,100,1319.05,2.7000,19.5000,10.8700,20,19,61,0
p2_19_r3_off,0,3,2000,12.285200,6.955013,100,1349.32,3.0300,19.2300,10.6900,16,20,64,0
p2_20_r3_off,0,3,2000,11.540000,7.574304,100,1256.54,1.6500,21.6500,11.6200,13,27,60,0
p2_21_r3_off,0,3,2000,12.015800,7.203180,100,1318.29,1.7000,19.2800,10.0500,18,24,58,0
p2_22_r3_off,0,3,2000,12.029900,6.934651,100,1357.09,1.6600,19.8100,10.7200,11,30,59,0
p2_23_r3_off,0,3,2000,12.014800,6.781036,100,1396.55,1.3200,18.2300,9.6000,18,34,48,0
p2_24_r3_off,0,3,2000,12.428900,7.694667,100,1440.59,1.2500,17.4800,9.0300,23,25,52,0
p3_0_r3_off,0,3,2000,1.609000,3.410974,100,780.87,0.7300,31.7500,13.9300,0,6,94,0
p3_1_r3_off,0,3,2000,1.367900,3.181246,100,1031.51,0.8100,25.0700,12.0300,0,12,88,0
p3_2_r3_off,0,3,2000,1.643600,3.237267,100,829.06,0.8900,30.1200,14.4400,1,13,86,0
p3_3_r3_off,0,3,2000,2.139100,4.324615,100,815.17,0.7900,30.5800,12.8800,0,10,90,0
p3_4_r3_off,0,3,2000,2.093500,3.773061,100,816.45,0.8400,30.8500,15.6200,0,8,92,0
p3_5_r3_off,0,3,2000,2.408700,3.885265,100,909.70,0.6800,28.7300,14.8200,1,10,89,0
p3_6_r3_off,0,3,2000,2.914400,4.385648,100,1003.38,0.8000,25.9200,12.2000,0,6,94,0
p3_7_r3_off,0,3,2000,2.673600,4.255231,100,771.25,1.3500,30.8300,16.7200,0,8,92,0
p3_8_r3_off,0,3,2000,3.169300,4.634337,100,1010.18,2.3000,26.0700,14.3200,0,14,86,0
p3_9_r3_off,0,3,2000,3.635100,4.435330,100,1061.83,3.8000,25.1000,15.2600,12,16,72,0
p3_10_r3_off,0,3,2000,4.235500,5.318859,100,1195.62,7.4500,22.0500,13.8100,7,13,80,0
p3_11_r3_off,0,3,2000,4.841300,5.655916,100,1166.96,12.7600,23.2500,14.0200,9,11,80,0
p3_12_r3_off,0,3,2000,5.557500,6.321521,100,1210.97,12.2200,22.5700,14.0000,10,9,81,0
p3_13_r3_off,0,3,2000,6.724900,6.798222,100,1187.06,7.8000,22.2700,13.5500,9,13,78,0
p3_14_r3_off,0,3,2000,8.199600,6.493668,100,1176.68,7.6500,22.9300,14.6500,6,13,81,0
p3_15_r3_off,0,3,2000,9.155000,7.591759,100,1083.26,3.6600,24.9900,13.6700,1,20,79,0
p3_16_r3_off,0,3,2000,10.329700,7.933029,100,1333.91,3.9800,19.1000,11.2300,15,15,70,0
p3_17_r3_off,0,3,2000,10.815100,6.921482,100,1276.70,2.5000,19.0100,10.7400,18,19,63,0
p3_18_r3_off,0,3,2000,11.374400,7.889684,100,1284.13,4.3000,20.5500,11.8400,13,22,65,0
p3_19_r3_off,0,3,2000,11.980500,7.398166,100,1354.10,0.6500,18.4200,10.2300,14,25,61,0
