id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p0_0_r9_on,1,9,2000,1.123900,1.826983,100,1260.79,0.7400,20.0100,8.8800,0,13,87,0
p0_1_r9_on,1,9,2000,1.124500,2.054515,100,1012.06,0.7500,25.4700,11.2300,11,11,78,0
p0_2_r9_on,1,9,2000,1.325100,2.528016,100,1224.79,0.7000,21.0700,8.8000,5,22,73,0
p0_3_r9_on,1,9,2000,1.499100,2.353854,100,1355.49,0.9100,18.0100,7.8800,11,7,82,0
p0_4_r9_on,1,9,2000,1.399000,2.460327,100,1449.85,1.4400,14.9800,6.2400,20,11,69,0
p0_5_r9_on,1,9,2000,1.524400,2.398341,100,1443.36,1.6300,14.6500,7.0600,13,20,67,0
p0_6_r9_on,1,9,2000,1.884200,2.442990,100,1423.81,3.2000,15.2600,6.8100,29,14,57,0
p0_7_r9_on,1,9,2000,2.074200,3.322529,100,1479.37,4.5000,14.2000,6.6600,29,18,53,0
p0_8_r9_on,1,9,2000,2.396300,2.902924,100,1518.17,8.5300,12.7900,5.6600,43,11,46,0
p0_9_r9_on,1,9,2000,2.965200,3.277393,100,1456.78,10.5100,14.8500,7.5200,43,8,49,0
p0_10_r9_on,1,9,2000,4.369100,5.297343,100,1379.85,6.7900,17.1500,8.2300,28,15,57,0
p0_11_r9_on,1,9,2000,5.781100,5.304152,100,1575.99,11.7500,12.7900,6.8300,34,16,50,0
p0_12_r9_on,1,9,2000,7.156900,6.966573,100,1437.49,6.1400,15.9400,8.1600,28,22,50,0
p0_13_r9_on,1,9,2000,6.785600,5.949012,100,1342.85,5.3500,18.0700,9.0400,23,19,58,0
p0_14_r9_on,1,9,2000,7.730900,6.220668,100,1572.34,3.9400,12.2300,6.2900,40,19,41,0
p0_15_r9_on,1,9,2000,8.255700,6.241213,100,1596.60,4.5700,11.4100,5.8900,46,14,40,0
