id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p18_8_r2_on,1,2,2000,6.649400,6.914881,100,796.44,0.1100,30.9000,11.9000,1,9,90,0
p18_9_r2_on,1,2,2000,6.709300,7.337012,100,774.80,0.1000,32.5200,12.9900,0,8,92,0
p18_10_r2_on,1,2,2000,7.014900,7.035796,100,828.12,0.0400,31.3400,12.0600,1,9,90,0
p18_11_r2_on,1,2,2000,6.999400,6.921427,100,827.90,0.0500,30.9000,12.5900,0,8,92,0
p18_12_r2_on,1,2,2000,6.824100,7.961763,100,877.51,0.1100,29.7000,11.5100,0,8,92,0
p18_13_r2_on,1,2,2000,7.109700,6.859785,100,924.90,0.0500,29.5500,10.9100,1,13,86,0
p18_14_r2_on,1,2,2000,6.844300,6.800455,100,815.75,0.0300,32.5700,13.2700,0,6,94,0
p18_15_r2_on,1,2,2000,7.279500,6.638211,100,841.11,0.0500,29.9000,11.0600,1,10,89,0
p18_16_r2_on,1,2,2000,7.049300,6.969491,100,951.63,0.0700,27.9900,10.5100,3,8,89,0
p18_17_r2_on,1,2,2000,6.819800,7.320382,100,890.15,0.0300,31.3400,13.6700,2,8,90,0
p18_18_r2_on,1,2,2000,6.854300,7.006855,100,749.23,0.0500,33.2500,12.0700,0,5,95,0
p18_19_r2_on,1,2,2000,7.419500,7.732650,100,877.00,0.0900,30.0500,11.9900,0,5,95,0
p18_20_r2_on,1,2,2000,7.394500,7.873870,100,857.57,0.0400,30.5900,11.6800,2,7,91,0
p18_21_r2_on,1,2,2000,7.484400,7.582550,100,1073.98,0.0600,25.9200,9.9600,0,13,87,0
p18_22_r2_on,1,2,2000,7.019700,7.153885,100,666.34,0.0700,34.2500,12.9500,0,6,94,0
p18_23_r2_on,1,2,2000,6.669700,7.663232,100,786.17,0.0600,30.2000,10.6100,0,6,94,0
p18_24_r2_on,1,2,2000,7.419700,6.746963,100,845.04,0.0700,31.1400,12.8000,0,6,94,0
p19_0_r2_on,1,2,2000,5.359100,6.260131,100,1026.98,0.0100,25.7000,10.2100,2,15,83,0
p19_1_r2_on,1,2,2000,6.294700,6.783401,100,862.79,0.0200,30.7100,13.0700,3,8,89,0
p19_2_r2_on,1,2,2000,6.544200,6.194304,100,712.26,0.0200,33.8100,11.2300,0,4,96,0
p19_3_r2_on,1,2,2000,5.854600,6.524342,100,854.41,0.0500,29.7600,11.2200,0,10,90,0
p19_4_r2_on,1,2,2000,6.034400,6.853368,100,933.24,0.0500,27.3400,10.6400,8,7,85,0
p19_5_r2_on,1,2,2000,6.484400,6.831354,100,901.97,0.0400,28.4700,10.9100,0,5,95,0
p19_6_r2_on,1,2,2000,6.374700,7.667073,100,771.13,0.0800,31.5200,12.5800,1,4,95,0
p19_7_r2_on,1,2,2000,6.284300,7.729569,100,852.61,0.0100,30.5900,11.9700,2,7,91,0
p19_8_r2_on,1,2,2000,6.799400,6.615507,100,817.09,0.0900,31.3700,11.5900,1,6,93,0
p19_9_r2_on,1,2,2000,6.944700,6.999995,100,776.06,0.0500,32.7300,11.1800,1,8,91,0
p19_10_r2_on,1,2,2000,6.649900,7.005824,100,767.56,0.0500,33.0200,12.3900,0,8,92,0
p19_11_r2_on,1,2,2000,7.374900,6.938113,100,970.27,0.0400,27.7100,11.1100,10,7,83,0
p19_12_r2_on,1,2,2000,7.409600,6.465932,100,777.87,0.0400,33.3000,11.6700,0,8,92,0
p19_13_r2_on,1,2,2000,7.219500,7.620194,100,1102.42,0.0400,24.0100,9.2000,16,9,75,0
p19_14_r2_on,1,2,2000,7.149500,7.016878,100,789.15,0.0500,31.4200,10.6600,0,7,93,0
p19_15_r2_on,1,2,2000,7.274600,7.151157,100,840.86,0.0700,30.2900,12.0000,4,14,82,0
p19_16_r2_on,1,2,2000,7.130000,6.837240,100,855.99,0.0800,30.2900,11.6000,0,19,81,0
p19_17_r2_on,1,2,2000,7.485100,7.041118,100,910.21,0.0600,28.8200,11.5200,1,14,85,0
p19_18_r2_on,1,2,2000,7.604300,7.316847,100,768.95,0.0600,32.8500,12.9000,2,9,89,0
p19_19_r2_on,1,2,2000,7.294600,7.799888,100,862.92,0.0600,30.2300,10.9100,1,6,93,0
p19_20_r2_on,1,2,2000,7.594200,6.779953,100,842.25,0.0500,31.9100,11.0400,3,6,91,0
p19_21_r2_on,1,2,2000,7.419700,6.624675,100,781.75,0.1000,33.0700,12.9000,1,3,96,0
p19_22_r2_on,1,2,2000,7.589800,7.246928,100,949.15,0.0600,27.5400,10.8600,1,4,95,0
p19_23_r2_on,1,2,2000,7.384800,7.150250,100,852.45,0.0600,29.8400,11.3800,0,7,93,0
p19_24_r2_on,1,2,2000,6.894500,7.360977,100,765.81,0.1100,31.1100,10.9200,0,4,96,0
p20_0_r2_on,1,2,2000,5.149800,5.611797,100,1114.85,0.0000,22.9400,8.8800,7,11,82,0
p20_1_r2_on,1,2,2000,6.115000,6.967657,100,817.32,0.0400,29.8700,10.1900,0,8,92,0
p20_2_r2_on,1,2,2000,6.039700,6.396836,100,990.49,0.0400,27.1900,10.2000,3,16,81,0
p20_3_r2_on,1,2,2000,6.924600,6.234349,100,776.13,0.0400,31.9000,13.2800,0,5,95,0
p20_4_r2_on,1,2,2000,6.574500,6.619384,100,801.86,0.0400,32.0900,11.9700,2,8,90,0
p20_5_r2_on,1,2,2000,6.134500,6.523128,100,832.16,0.0600,30.6100,11.1700,1,4,95,0
p20_6_r2_on,1,2,2000,6.814800,6.385575,100,932.10,0.0500,29.1800,12.0400,0,11,89,0
p20_7_r2_on,1,2,2000,6.734600,7.415139,100,795.15,0.0300,32.9800,13.2300,1,5,94,0
p20_8_r2_on,1,2,2000,6.819500,6.924355,100,744.85,0.1000,33.5000,11.0200,1,6,93,0
p20_9_r2_on,1,2,2000,7.154300,7.808721,100,911.86,0.0800,29.0600,11.2900,0,9,91,0
p20_10_r2_on,1,2,2000,6.939600,6.683175,100,1003.92,0.0100,26.8900,9.6400,3,12,85,0
p20_11_r2_on,1,2,2000,7.129600,6.845865,100,721.49,0.0500,32.4200,12.8600,0,7,93,0
p20_12_r2_on,1,2,2000,7.064600,6.788931,100,747.56,0.0300,30.3500,10.1700,0,7,93,0
p20_13_r2_on,1,2,2000,7.264400,7.123300,100,661.22,0.0500,32.3600,9.5400,0,9,91,0
p20_14_r2_on,1,2,2000,7.549600,6.902809,100,764.67,0.0400,34.0000,12.8100,0,8,92,0
p20_15_r2_on,1,2,2000,7.694400,7.248423,100,866.21,0.0600,30.6500,10.8300,0,10,90,0
p20_16_r2_on,1,2,2000,7.249200,7.744089,100,924.34,0.0600,28.0400,12.0900,4,12,84,0
p20_17_r2_on,1,2,2000,7.209500,6.933499,100,763.02,0.0700,31.9700,11.7100,1,4,95,0
p20_18_r2_on,1,2,2000,7.469500,6.807019,100,860.99,0.0700,30.0800,11.0600,0,6,94,0
p20_19_r2_on,1,2,2000,7.734400,6.737036,100,827.60,0.0900,29.9200,9.5900,1,7,92,0
p20_20_r2_on,1,2,2000,7.419700,6.565262,100,1133.40,0.0600,24.7900,9.0400,2,17,81,0
