id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p0_0_r7_on,1,7,2000,4.813900,6.672426,100,1024.47,0.0000,25.6600,10.6400,0,10,90,0
p0_1_r7_on,1,7,2000,4.877800,7.340641,100,1051.49,0.0000,24.1500,9.5100,10,16,74,0
p0_2_r7_on,1,7,2000,5.003400,7.488237,100,1166.99,0.0000,22.2100,9.8700,7,15,78,0
p0_3_r7_on,1,7,2000,6.143300,9.121055,100,910.71,0.0000,28.1400,11.8900,0,20,80,0
p0_4_r7_on,1,7,2000,6.528200,9.347721,100,1571.96,0.0000,11.6700,4.9000,46,13,41,0
p0_5_r7_on,1,7,2000,7.440200,8.642721,100,1154.38,0.0000,23.0500,10.7100,10,20,70,0
p0_6_r7_on,1,7,2000,8.708300,10.604909,100,1290.67,0.0000,19.3700,8.5200,14,25,61,0
p0_7_r7_on,1,7,2000,9.384400,9.297671,100,1200.11,0.0000,22.0500,10.0500,3,19,78,0
p0_8_r7_on,1,7,2000,10.413600,10.181670,100,1185.02,0.0000,22.2400,10.5300,14,16,70,0
p0_9_r7_on,1,7,2000,12.255200,10.745248,100,1457.54,0.0000,15.6100,7.6900,33,18,49,0
p0_10_r7_on,1,7,2000,15.026300,12.140564,100,1327.27,0.0000,19.0900,9.7700,27,16,57,0
p0_11_r7_on,1,7,2000,16.858500,11.407114,100,1265.90,0.0100,20.8200,10.0900,16,28,56,0
p0_12_r7_on,1,7,2000,19.560000,13.436096,100,1391.45,0.0500,18.3700,9.1800,21,21,58,0
p0_13_r7_on,1,7,2000,21.050100,12.751753,100,1461.37,0.0100,16.6500,8.2100,28,18,54,0
p0_14_r7_on,1,7,2000,21.204800,13.528446,100,1227.22,0.0600,23.5000,11.8300,15,8,77,0
p0_15_r7_on,1,7,2000,24.483900,14.578084,100,1347.03,0.0600,21.0600,10.2700,25,18,57,0
p0_16_r7_on,1,7,2000,24.583800,13.143928,100,1317.07,0.0600,20.9900,9.7200,28,11,61,0
p0_17_r7_on,1,7,2000,27.239100,15.585842,100,1216.19,0.2700,23.8300,11.6100,16,21,63,0
p0_18_r7_on,1,7,2000,27.428500,14.482704,100,1406.10,0.6000,18.8800,9.4300,27,17,56,0
p0_19_r7_on,1,7,2000,27.673700,14.947132,100,1306.36,0.4400,21.4300,10.8600,20,15,65,0
