count,drain,total_agents,peak_population,avg_fitness,avg_lifetime,gen_min,gen_max,n_seeds
10,1.0,1368.2066666666667,548.5533333333333,7.407771333333334,1976.2906666666665,1000,1000,3
10,3.0,1369.3266666666666,542.8666666666667,7.281051333333334,1940.7446666666667,1000,1000,3
10,5.0,1360.2066666666667,528.8133333333334,7.273921333333333,1900.6833333333334,1000,1000,3
10,10.0,1357.16,520.8333333333334,7.182514,1871.0126666666667,1000,1000,3
15,1.0,1370.8400000000001,553.3933333333333,7.276897333333333,1959.2953333333332,1000,1000,3
15,3.0,1367.9399999999998,529.0266666666666,7.217943333333333,1890.1386666666667,1000,1000,3
15,5.0,1356.0733333333333,517.7333333333332,7.210662,1875.816,1000,1000,3
15,10.0,1347.36,507.1466666666667,7.141676666666668,1845.9306666666664,1000,1000,3
20,1.0,1358.38,541.6533333333333,7.222862,1940.6660000000002,1000,1000,3
20,3.0,1346.8066666666666,523.3866666666667,7.212095333333333,1907.854,1000,1000,3
20,5.0,1327.5533333333333,506.8933333333334,7.1877846666666665,1869.138,1000,1000,3
20,10.0,1335.6533333333334,500.84,7.094958666666667,1851.5133333333333,1000,1000,3
25,1.0,1353.9133333333332,541.32,7.201556666666668,1955.1433333333332,1000,1000,3
25,3.0,1344.3066666666666,519.6466666666666,7.1018566666666665,1896.468,1000,1000,3
25,5.0,1319.6200000000001,498.8,7.123228666666667,1853.7066666666667,1000,1000,3
25,10.0,1309.4066666666668,479.92,7.038281333333333,1784.5453333333335,1000,1000,3
30,1.0,1350.7733333333333,529.6733333333333,7.198095333333334,1922.5133333333333,1000,1000,3
30,3.0,1319.1466666666668,506.66,7.072816666666667,1857.1760000000002,1000,1000,3
30,5.0,1304.9666666666665,495.53999999999996,7.0637186666666665,1838.418,1000,1000,3
30,10.0,1280.0466666666666,473.34666666666664,7.0021173333333335,1783.0966666666666,1000,1000,3
