lr,metric,mean,std,sem,count
0.0001,avg_learned_weight_diff,3.646666666666667e-05,1.2513326229797325e-06,7.22457226723109e-07,3
0.001,avg_learned_weight_diff,0.00037823333333333333,6.219793672890878e-06,3.5909995513474794e-06,3
0.01,avg_learned_weight_diff,0.00345985,0.00016166479981740008,9.33372156930629e-05,3
0.0001,avg_network_weight_mag,0.59355,0.0021946070263259786,0.0012670569574147479,3
0.001,avg_network_weight_mag,0.595545,0.003546487699118618,0.002047565627763831,3
0.01,avg_network_weight_mag,0.59698,0.005348198294753091,0.0030877837251551948,3
0.0001,peak_population,502.40000000000003,22.467031401589324,12.971346627599372,3
0.001,peak_population,502.45,12.124768039018305,7.000238091188988,3
0.01,peak_population,511.9166666666667,9.588317544456569,5.535817715367611,3
0.0001,total_agents,1212.7333333333333,49.38019171017192,28.509666976503084,3
0.001,total_agents,1202.3,19.472480581579816,11.242441905564867,3
0.01,total_agents,1230.5166666666667,9.73297659163588,5.619336655197301,3
