generation,cells_visited,cave_entries,predator_touches,drained_ticks,lifetime,energy_at_death,cave_entries_day,cave_entries_night,food_total,lifetime_median,lifetime_p90,survived_frac,drained_frac,starved_frac,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,383.6449275362319,0.021739130434782608,10.797101449275363,18.818840579710145,1368.5507246376812,-1.9019565217391305,0.0,0.021739130434782608,6.3768115942028984,1359.5,2110.0,0.0,0.6739130434782609,0.32608695652173914,0.23068181818181818,0.7125,0.042045454545454546,0.014772727272727272,1.0
2,473.4298245614035,0.05263157894736842,6.684210526315789,10.394736842105264,1614.6315789473683,-1.8583333333333334,0.043859649122807015,0.008771929824561403,5.307017543859649,1769.0,1960.0,0.0,0.4824561403508772,0.5175438596491229,0.2727272727272727,0.6760330578512397,0.049586776859504134,0.001652892561983471,0.16666666666666666
3,475.816,0.024,7.96,13.008,1527.536,-1.79688,0.024,0.0,5.312,1655.0,2010.0,0.0,0.52,0.48,0.28463855421686746,0.5496987951807228,0.1430722891566265,0.022590361445783132,0.0
4,448.9054054054054,0.14189189189189189,8.837837837837839,15.0,1496.5337837837837,-1.9901351351351353,0.04054054054054054,0.10135135135135136,8.324324324324325,1574.0,2110.0,0.0,0.6283783783783784,0.3716216216216216,0.19967532467532467,0.7288961038961039,0.060064935064935064,0.011363636363636364,0.7142857142857143
5,492.4108527131783,0.023255813953488372,7.364341085271318,11.333333333333334,1561.7906976744187,-1.8855813953488372,0.0,0.023255813953488372,5.9147286821705425,1840.0,1960.0,0.0,0.5116279069767442,0.4883720930232558,0.2306684141546527,0.6605504587155964,0.09698558322411534,0.011795543905635648,1.0
6,462.7931034482759,0.1896551724137931,9.431034482758621,15.387931034482758,1437.9913793103449,-2.089137931034483,0.1206896551724138,0.06896551724137931,4.741379310344827,1493.0,2010.0,0.0,0.6724137931034483,0.3275862068965517,0.3018181818181818,0.5527272727272727,0.12545454545454546,0.02,0.36363636363636365
7,495.6975308641975,0.12962962962962962,8.283950617283951,13.74074074074074,1563.141975308642,-2.1161728395061727,0.024691358024691357,0.10493827160493827,7.685185185185185,1636.0,2120.0,0.0,0.6419753086419753,0.35802469135802467,0.1751004016064257,0.7004016064257028,0.10361445783132531,0.020883534136546186,0.8095238095238095
8,509.2986111111111,0.4305555555555556,8.8125,14.166666666666666,1483.5347222222222,-1.7320833333333334,0.0763888888888889,0.3541666666666667,6.555555555555555,1524.0,1960.0,0.0,0.5625,0.4375,0.1673728813559322,0.7309322033898306,0.07944915254237288,0.022245762711864406,0.8225806451612904
9,499.9139072847682,0.013245033112582781,9.821192052980132,16.271523178807946,1392.76821192053,-1.7864238410596027,0.0,0.013245033112582781,6.576158940397351,1500.0,2020.0,0.0,0.5894039735099338,0.4105960264900662,0.22658610271903323,0.5780463242698892,0.17421953675730112,0.021148036253776436,1.0
10,569.1777777777778,0.3466666666666667,8.648888888888889,13.564444444444444,1554.2044444444443,-1.8591111111111112,0.19555555555555557,0.1511111111111111,6.568888888888889,1600.0,2110.0,0.0,0.6133333333333333,0.38666666666666666,0.14884979702300405,0.5460081190798376,0.2144790257104195,0.09066305818673884,0.4358974358974359
11,528.6774193548387,0.05161290322580645,9.483870967741936,15.458064516129033,1406.3677419354838,-1.818258064516129,0.05161290322580645,0.0,5.509677419354839,1493.0,1960.0,0.0,0.6774193548387096,0.3225806451612903,0.13700234192037472,0.6440281030444965,0.16510538641686182,0.053864168618266976,0.0
12,539.5223880597015,0.5671641791044776,10.044776119402986,15.925373134328359,1409.6641791044776,-1.9826119402985076,0.26119402985074625,0.30597014925373134,4.731343283582089,1553.0,2010.0,0.0,0.6492537313432836,0.35074626865671643,0.20977917981072555,0.583596214511041,0.17665615141955837,0.02996845425867508,0.5394736842105263
