generation,cells_visited,cave_entries,predator_touches,drained_ticks,lifetime,energy_at_death,cave_entries_day,cave_entries_night,food_total,lifetime_median,lifetime_p90,survived_frac,drained_frac,starved_frac,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,632.9086757990867,0.45662100456621,0.0,0.0,2082.511415525114,-0.9644748858447488,0.1643835616438356,0.2922374429223744,7.9771689497716896,2110.0,2160.0,0.0,0.0,1.0,0.1877504293073841,0.5901545506582713,0.18889524899828278,0.03319977103606182,0.64
2,664.4237288135594,0.4011299435028249,0.0,0.0,2010.677966101695,-0.8619209039548023,0.15254237288135594,0.24858757062146894,5.836158192090395,1980.0,2094.0,0.0,0.0,1.0,0.1393998063891578,0.6176185866408519,0.1994191674733785,0.04356243949661181,0.6197183098591549
3,717.9907407407408,0.7962962962962963,0.0,0.0,2019.3425925925926,1.3331018518518518,0.41203703703703703,0.38425925925925924,5.62962962962963,2020.0,2090.0,0.027777777777777776,0.0,0.9722222222222222,0.16036184210526316,0.5,0.23519736842105263,0.10444078947368421,0.48255813953488375
4,749.9234972677596,0.5136612021857924,0.0,0.0,2080.382513661202,-0.8221311475409836,0.19672131147540983,0.31693989071038253,4.721311475409836,2110.0,2130.0,0.0,0.0,1.0,0.17939814814814814,0.39814814814814814,0.24074074074074073,0.18171296296296297,0.6170212765957447
5,728.8795811518324,0.3089005235602094,0.0,0.0,2008.9528795811518,-0.881151832460733,0.18848167539267016,0.12041884816753927,6.387434554973822,1980.0,2110.0,0.0,0.0,1.0,0.13934426229508196,0.6131147540983607,0.16639344262295083,0.08114754098360656,0.3898305084745763
6,742.7336956521739,0.5543478260869565,0.0,0.0,2031.6304347826087,-0.9355434782608695,0.30978260869565216,0.24456521739130435,5.842391304347826,2020.0,2107.0,0.0,0.0,1.0,0.17302325581395347,0.5041860465116279,0.2297674418604651,0.09302325581395349,0.4411764705882353
7,764.7103448275863,0.7379310344827587,0.0,0.0,2086.206896551724,-0.7186896551724138,0.42758620689655175,0.3103448275862069,3.6206896551724137,2110.0,2140.0,0.0,0.0,1.0,0.15047619047619049,0.43047619047619046,0.2438095238095238,0.17523809523809525,0.4205607476635514
8,739.1872146118722,0.4885844748858447,0.0,0.0,2016.5753424657535,-0.8014155251141553,0.228310502283105,0.2602739726027397,6.65296803652968,2000.0,2110.0,0.0,0.0,1.0,0.10226492793411118,0.6355525051475635,0.17707618393960192,0.0851063829787234,0.5327102803738317
9,736.473076923077,0.2230769230769231,0.0,0.0,2039.6923076923076,-0.8345769230769231,0.11153846153846154,0.11153846153846154,6.55,2030.0,2120.0,0.0,0.0,1.0,0.11802701115678214,0.5355255431591309,0.22431004110393424,0.12213740458015267,0.5
10,796.7777777777778,0.42105263157894735,0.0,0.0,2089.06432748538,-0.8051461988304094,0.1871345029239766,0.23391812865497075,3.8830409356725144,2110.0,2130.0,0.0,0.0,1.0,0.12349397590361445,0.37801204819277107,0.32680722891566266,0.1716867469879518,0.5555555555555556
11,732.2851063829787,0.17872340425531916,0.0,0.0,2016.0,-0.7615744680851064,0.07234042553191489,0.10638297872340426,5.540425531914893,1990.0,2110.0,0.0,0.0,1.0,0.07910906298003072,0.511520737327189,0.2780337941628264,0.1313364055299539,0.5952380952380952
12,762.7643979057592,0.36649214659685864,0.0,0.0,2029.0052356020942,-0.8118848167539267,0.2198952879581152,0.14659685863874344,5.30890052356021,2020.0,2100.0,0.0,0.0,1.0,0.14102564102564102,0.5650887573964497,0.23668639053254437,0.05719921104536489,0.4
13,777.096,0.472,0.0,0.0,2102.24,-0.86072,0.152,0.32,2.76,2110.0,2130.0,0.0,0.0,1.0,0.11884057971014493,0.5217391304347826,0.23478260869565218,0.1246376811594203,0.6779661016949152
14,756.8541666666666,0.515625,0.0,0.0,2018.1770833333333,-0.7636458333333334,0.19270833333333334,0.3229166666666667,6.026041666666667,1990.0,2119.0,0.0,0.0,1.0,0.07605877268798616,0.6974935177182369,0.12186689714779603,0.10458081244598098,0.6262626262626263
15,745.0218579234972,0.3114754098360656,0.0,0.0,2034.0983606557377,-0.8719125683060109,0.14207650273224043,0.16939890710382513,5.7923497267759565,2030.0,2100.0,0.0,0.0,1.0,0.13584905660377358,0.6188679245283019,0.15566037735849056,0.08962264150943396,0.543859649122807
16,728.6259541984733,0.2824427480916031,0.0,0.0,2095.114503816794,-0.7669465648854962,0.09923664122137404,0.183206106870229,2.6793893129770994,2110.0,2130.0,0.0,0.0,1.0,0.150997150997151,0.39886039886039887,0.2962962962962963,0.15384615384615385,0.6486486486486487
17,690.5943396226415,0.3867924528301887,0.0,0.0,2019.811320754717,-0.620943396226415,0.14150943396226415,0.24528301886792453,5.75,2000.0,2109.0,0.0,0.0,1.0,0.07054963084495489,0.6095159967186218,0.2469237079573421,0.07301066447908121,0.6341463414634146
