generation,cells_visited,cave_entries,predator_touches,drained_ticks,lifetime,energy_at_death,cave_entries_day,cave_entries_night,food_total,lifetime_median,lifetime_p90,survived_frac,drained_frac,starved_frac,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,560.936507936508,0.07936507936507936,0.0,0.0,2095.2380952380954,-1.1124603174603174,0.05555555555555555,0.023809523809523808,5.984126984126984,2110.0,2140.0,0.0,0.0,1.0,0.3090185676392573,0.6114058355437666,0.06631299734748011,0.013262599469496022,0.3
2,547.5655737704918,0.19672131147540983,0.0,0.0,1981.3934426229507,-1.177622950819672,0.03278688524590164,0.16393442622950818,5.286885245901639,1960.0,2039.0,0.0,0.0,1.0,0.2837209302325581,0.6589147286821705,0.05736434108527132,0.0,0.8333333333333334
3,570.3955223880597,0.11194029850746269,0.0,0.0,2021.1940298507463,-1.1099253731343284,0.022388059701492536,0.08955223880597014,6.537313432835821,2020.0,2057.0,0.0,0.0,1.0,0.2591324200913242,0.6735159817351598,0.05707762557077625,0.010273972602739725,0.8
4,619.1975308641976,0.2037037037037037,0.0,0.0,2090.3703703703704,-1.0274074074074073,0.08641975308641975,0.11728395061728394,7.049382716049383,2110.0,2140.0,0.0,0.0,1.0,0.22416812609457093,0.5919439579684763,0.16637478108581435,0.017513134851138354,0.5757575757575758
5,633.2484848484848,0.3212121212121212,0.0,0.0,1999.090909090909,-0.8756969696969698,0.13333333333333333,0.18787878787878787,6.442424242424242,1970.0,2090.0,0.0,0.0,1.0,0.18908748824082786,0.6274694261523989,0.14769520225776106,0.03574788334901223,0.5849056603773585
6,649.8974358974359,0.28205128205128205,0.0,0.0,2026.7948717948718,-1.0201923076923076,0.23076923076923078,0.05128205128205128,5.730769230769231,2020.0,2070.0,0.0,0.0,1.0,0.26286353467561524,0.45302013422818793,0.22930648769574943,0.05480984340044743,0.18181818181818182
7,696.7597173144876,0.1625441696113074,0.0,0.0,2066.1484098939927,-0.942296819787986,0.127208480565371,0.0353356890459364,6.911660777385159,2070.0,2150.0,0.0,0.0,1.0,0.17024539877300612,0.4437627811860941,0.278118609406953,0.10787321063394684,0.21739130434782608
8,684.7738693467337,0.2613065326633166,0.0,0.0,2000.7638190954774,-0.7095477386934673,0.12562814070351758,0.135678391959799,5.723618090452261,1980.0,2074.0000000000005,0.005025125628140704,0.0,0.9949748743718593,0.15803336259877085,0.5215100965759438,0.24582967515364354,0.07462686567164178,0.5192307692307693
9,711.453125,0.16145833333333334,0.0,0.0,2036.1979166666667,-0.8586979166666667,0.10416666666666667,0.057291666666666664,5.880208333333333,2020.0,2110.0,0.0,0.0,1.0,0.14437555358724535,0.5465013286093888,0.21612046058458814,0.09300265721877768,0.3548387096774194
10,729.2090032154341,0.41479099678456594,0.0,0.0,2073.5369774919614,-0.7713504823151125,0.26366559485530544,0.15112540192926044,6.562700964630225,2080.0,2170.0,0.0,0.0,1.0,0.12787849093581577,0.40225379715825577,0.30475257226849584,0.16511513963743263,0.3643410852713178
11,701.7935483870967,0.6387096774193548,0.0,0.0,2000.1935483870968,-0.9465806451612904,0.27741935483870966,0.36129032258064514,5.116129032258065,1970.0,2096.0,0.0,0.0,1.0,0.1614123581336696,0.6153846153846154,0.13745271122320302,0.08575031525851198,0.5656565656565656
12,718.1676646706587,0.6467065868263473,0.0,0.0,2043.9520958083833,-0.9616167664670658,0.2934131736526946,0.3532934131736527,5.910179640718563,2030.0,2120.0,0.0,0.0,1.0,0.19351570415400202,0.513677811550152,0.19858156028368795,0.09422492401215805,0.5462962962962963
13,717.3523489932886,0.5067114093959731,0.0,0.0,2075.8389261744965,-0.839496644295302,0.1912751677852349,0.31543624161073824,7.382550335570469,2080.0,2170.0,0.0,0.0,1.0,0.12863636363636363,0.48818181818181816,0.25545454545454543,0.12772727272727272,0.6225165562913907
14,711.0755813953489,0.6511627906976745,0.0,0.0,2010.8139534883721,-0.8126744186046512,0.32558139534883723,0.32558139534883723,5.313953488372093,1980.0,2110.0,0.0,0.0,1.0,0.13347921225382933,0.5820568927789934,0.19037199124726478,0.09409190371991247,0.5
