id,rl,map_index,ticks,mean_fitness,std_clones,n_clones,mean_lifetime,mean_cave_entries,mean_drained_ticks,mean_predator_touches,deaths_survived,deaths_starved,deaths_drained,deaths_lifespan
p0_0_r0_off,0,0,2000,4.698300,6.942298,100,832.36,0.4200,31.6300,13.3800,0,6,94,0
p0_0_r0_on,1,0,2000,4.953400,6.218519,100,948.05,0.4600,27.5500,10.8400,5,13,82,0
p0_0_r1_off,0,1,2000,5.548400,8.501139,100,774.47,0.5200,32.0600,13.7100,0,8,92,0
p0_0_r1_on,1,1,2000,6.764100,9.040026,100,894.75,0.5600,29.1800,12.0900,2,14,84,0
p0_1_r0_off,0,0,2000,6.459400,6.642146,100,871.78,1.9400,30.4000,16.7300,0,9,91,0
p0_1_r0_on,1,0,2000,7.258800,7.423237,100,1521.25,1.5100,14.4000,7.0100,39,22,39,0
p0_1_r1_off,0,1,2000,9.484300,10.267326,100,1154.68,1.3000,24.0000,12.6100,7,13,80,0
p0_1_r1_on,1,1,2000,10.269000,11.372038,100,1208.40,2.1200,21.6400,8.9000,22,12,66,0
p0_2_r0_off,0,0,2000,16.760900,8.446763,100,1254.84,1.2800,21.8500,12.1200,14,15,71,0
p0_2_r0_on,1,0,2000,17.625800,12.327060,100,1405.67,3.3800,17.4400,8.4600,28,18,54,0
p0_2_r1_off,0,1,2000,18.324800,12.298219,100,1092.94,0.9600,25.6100,14.0100,9,21,70,0
p0_2_r1_on,1,1,2000,19.344700,13.114492,100,1313.89,3.2800,20.0900,9.8000,23,14,63,0
p0_3_r0_off,0,0,2000,18.175000,10.645360,100,1171.51,1.8800,24.2900,12.4400,8,16,76,0
p0_3_r0_on,1,0,2000,22.544200,12.259460,100,1421.59,0.8800,17.2900,8.7300,31,17,52,0
p0_3_r1_off,0,1,2000,26.068400,15.628745,100,1168.58,1.5200,25.2100,13.5500,11,10,79,0
p0_3_r1_on,1,1,2000,25.864600,15.120098,100,1322.94,1.3000,21.2900,10.3000,17,20,63,0
p0_4_r0_off,0,0,2000,21.179700,11.186688,100,1232.88,0.4100,23.3200,12.0500,12,17,71,0
p0_4_r0_on,1,0,2000,20.214800,10.016139,100,1389.58,0.7800,19.0000,9.3600,26,21,53,0
p0_4_r1_off,0,1,2000,27.658500,15.355506,100,1216.82,0.9200,23.8800,12.0200,7,25,68,0
p0_4_r1_on,1,1,2000,26.528600,13.768079,100,1308.50,0.5400,21.5200,10.8700,18,23,59,0
p1_0_r0_off,0,0,2000,5.764000,6.240492,100,761.18,0.1800,32.7100,14.3200,0,6,94,0
p1_0_r0_on,1,0,2000,5.959000,5.866819,100,919.39,0.1600,28.2100,10.8000,1,10,89,0
p1_0_r1_off,0,1,2000,8.408300,9.046096,100,819.39,0.0500,31.4500,12.8100,1,8,91,0
p1_0_r1_on,1,1,2000,8.098600,9.103125,100,897.54,0.0700,30.7900,11.3100,0,7,93,0
p1_1_r0_off,0,0,2000,6.354200,7.141190,100,764.05,0.1800,30.8700,13.3000,0,5,95,0
p1_1_r0_on,1,0,2000,6.259200,6.191483,100,908.92,0.1400,29.3600,13.3800,1,9,90,0
p1_1_r1_off,0,1,2000,8.878700,9.624976,100,792.67,0.0300,32.1100,14.9800,0,4,96,0
p1_1_r1_on,1,1,2000,8.848900,8.499174,100,1016.73,0.1000,26.4000,10.7100,12,7,81,0
p1_2_r0_off,0,0,2000,7.534600,7.437301,100,972.80,0.4700,27.2600,13.8200,0,13,87,0
p1_2_r0_on,1,0,2000,8.509800,7.507497,100,1247.40,0.5300,20.9400,9.7300,21,16,63,0
p1_2_r1_off,0,1,2000,9.349200,10.482694,100,1033.22,0.5100,27.0400,13.9100,4,12,84,0
p1_2_r1_on,1,1,2000,10.969300,11.431075,100,1118.69,0.4400,23.9800,10.2600,8,15,77,0
p1_3_r0_off,0,0,2000,12.108300,8.773383,100,1262.48,2.1900,21.6300,12.6100,10,15,75,0
p1_3_r0_on,1,0,2000,12.648500,8.137727,100,1324.95,2.4300,19.7900,9.5400,24,13,63,0
p1_3_r1_off,0,1,2000,14.539100,11.760652,100,1167.36,0.6800,23.7700,13.9000,3,17,80,0
p1_3_r1_on,1,1,2000,17.223900,11.378685,100,1390.70,0.7700,17.4400,7.5800,34,13,53,0
p1_4_r0_off,0,0,2000,14.849900,9.833588,100,1218.06,1.0600,22.2200,11.9200,10,26,64,0
p1_4_r0_on,1,0,2000,17.530200,8.935511,100,1549.04,1.8600,14.2000,7.2500,36,19,45,0
p1_4_r1_off,0,1,2000,18.644600,11.606490,100,1084.68,0.5400,26.2300,12.8600,3,16,81,0
p1_4_r1_on,1,1,2000,20.219200,11.405729,100,1375.39,0.3100,19.3800,9.8000,25,15,60,0
p2_0_r0_off,0,0,2000,5.244600,6.608542,100,843.33,0.0100,29.0500,11.2100,0,9,91,0
p2_0_r0_on,1,0,2000,5.699500,5.967859,100,1157.96,0.0000,23.2600,8.4800,6,10,84,0
p2_0_r1_off,0,1,2000,6.003700,8.350177,100,966.66,0.0600,28.1100,11.3100,2,8,90,0
p2_0_r1_on,1,1,2000,6.863600,8.813936,100,755.93,0.0400,32.6100,12.6600,1,6,93,0
p2_1_r0_off,0,0,2000,5.609100,6.382367,100,853.31,0.0400,29.6300,12.9000,0,8,92,0
p2_1_r0_on,1,0,2000,5.728700,5.245907,100,889.86,0.0600,29.7700,12.0700,1,9,90,0
p2_1_r1_off,0,1,2000,6.993400,8.587883,100,680.69,0.1100,33.2300,13.1600,0,3,97,0
p2_1_r1_on,1,1,2000,7.208800,8.603836,100,1033.67,0.0900,26.5600,10.6100,9,9,82,0
p2_2_r0_off,0,0,2000,6.044700,7.202962,100,891.09,0.0600,29.6700,13.5800,0,7,93,0
p2_2_r0_on,1,0,2000,6.019700,6.810648,100,827.88,0.1200,31.4100,13.4000,1,9,90,0
p2_2_r1_off,0,1,2000,7.044300,9.958603,100,854.50,0.3300,30.0800,13.3100,0,11,89,0
p2_2_r1_on,1,1,2000,8.088200,9.698607,100,789.81,0.2900,30.8700,11.5400,0,7,93,0
p2_3_r0_off,0,0,2000,6.484300,8.470992,100,857.23,0.0200,31.3000,13.4900,1,7,92,0
p2_3_r0_on,1,0,2000,6.784600,7.512729,100,1210.01,0.0800,22.5400,9.6400,18,10,72,0
p2_3_r1_off,0,1,2000,7.428700,10.058216,100,786.20,0.3100,32.2400,12.0200,0,6,94,0
p2_3_r1_on,1,1,2000,8.384200,10.388483,100,840.92,0.2800,31.5100,11.7800,1,22,77,0
p2_4_r0_off,0,0,2000,7.790100,8.301975,100,1111.96,0.0400,25.8300,11.5100,4,19,77,0
p2_4_r0_on,1,0,2000,8.440100,7.454726,100,834.62,0.0600,30.7200,12.3600,0,8,92,0
p2_4_r1_off,0,1,2000,8.375000,9.783146,100,1355.30,0.1900,19.9000,9.2100,2,10,88,0
p2_4_r1_on,1,1,2000,9.175800,10.451560,100,1089.20,0.1700,25.6700,11.4200,4,12,84,0
p3_0_r0_off,0,0,2000,5.479600,6.349768,100,749.09,0.0100,31.9500,12.3700,0,6,94,0
p3_0_r0_on,1,0,2000,6.154300,6.490363,100,914.20,0.0100,29.0400,11.3500,3,7,90,0
p3_0_r1_off,0,1,2000,4.954300,8.700380,100,1012.73,0.2600,26.3500,10.8700,2,18,80,0
p3_0_r1_on,1,1,2000,6.349000,7.586403,100,1092.77,0.1800,23.9200,9.4000,25,16,59,0
p3_1_r0_off,0,0,2000,6.163700,6.311974,100,677.39,0.0500,32.3000,11.9500,0,4,96,0
p3_1_r0_on,1,0,2000,6.324500,6.159406,100,949.39,0.0700,27.7200,11.0700,1,11,88,0
p3_1_r1_off,0,1,2000,7.159000,9.249846,100,743.03,0.1600,32.1600,12.4700,0,7,93,0
p3_1_r1_on,1,1,2000,7.478700,9.249068,100,1312.94,0.1900,19.3300,6.8800,32,12,56,0
p3_2_r0_off,0,0,2000,6.709800,7.273706,100,995.58,0.0500,27.6000,10.9200,2,9,89,0
p3_2_r0_on,1,0,2000,6.464600,6.681475,100,876.51,0.0700,30.7100,12.5800,3,11,86,0
p3_2_r1_off,0,1,2000,8.023800,10.223316,100,700.83,0.2400,32.3300,12.6700,0,10,90,0
p3_2_r1_on,1,1,2000,8.033500,9.389147,100,731.81,0.2200,32.4500,11.6000,1,11,88,0
p3_3_r0_off,0,0,2000,7.069800,6.868792,100,951.00,0.0700,28.7600,10.8800,0,10,90,0
p3_3_r0_on,1,0,2000,6.604000,6.526209,100,775.08,0.0300,32.2500,13.0300,1,6,93,0
p3_3_r1_off,0,1,2000,8.239500,11.041062,100,787.13,0.2600,33.0300,12.5300,1,6,93,0
p3_3_r1_on,1,1,2000,8.554200,9.776470,100,835.11,0.2300,31.1700,12.6200,1,10,89,0
p3_4_r0_off,0,0,2000,6.979900,7.722161,100,747.07,0.0500,31.4500,10.7200,0,9,91,0
p3_4_r0_on,1,0,2000,7.164700,6.834200,100,1197.86,0.0600,22.5400,9.5300,16,9,75,0
p3_4_r1_off,0,1,2000,7.409400,10.142973,100,1057.02,0.2700,26.2800,11.5100,6,11,83,0
p3_4_r1_on,1,1,2000,8.868900,10.114765,100,974.96,0.2000,28.1400,10.6200,1,13,86,0
p4_0_r0_off,0,0,2000,6.229400,6.482101,100,956.60,0.0000,28.3700,12.5200,0,8,92,0
p4_0_r0_on,1,0,2000,6.424600,6.799084,100,866.06,0.0600,29.9900,11.8000,0,8,92,0
p4_0_r1_off,0,1,2000,6.154000,9.021861,100,707.29,0.1800,32.7700,12.5100,0,5,95,0
p4_0_r1_on,1,1,2000,5.973700,8.587659,100,1082.42,0.2100,24.8400,9.4900,13,11,76,0
p4_1_r0_off,0,0,2000,6.889600,6.444103,100,1034.69,0.0500,26.0200,9.2800,4,17,79,0
p4_1_r0_on,1,0,2000,6.950000,7.283324,100,715.87,0.0300,32.9100,12.4200,0,7,93,0
p4_1_r1_off,0,1,2000,8.303900,10.136668,100,918.88,0.1400,28.8900,10.2700,0,4,96,0
p4_1_r1_on,1,1,2000,8.434300,9.295327,100,756.88,0.1000,33.0000,12.8500,0,10,90,0
p4_2_r0_off,0,0,2000,6.925000,6.957869,100,729.44,0.1000,32.2700,12.3000,0,2,98,0
p4_2_r0_on,1,0,2000,7.224700,6.578964,100,753.27,0.0700,33.7500,12.8200,0,4,96,0
p4_2_r1_off,0,1,2000,8.839200,10.398146,100,714.11,0.2000,32.8900,11.6400,0,7,93,0
p4_2_r1_on,1,1,2000,8.869100,8.665373,100,706.97,0.1700,34.1900,13.8100,0,8,92,0
p4_3_r0_off,0,0,2000,7.040000,8.182572,100,832.57,0.0800,30.3000,11.5300,1,9,90,0
p4_3_r0_on,1,0,2000,7.139700,6.927743,100,838.14,0.1000,31.2500,11.7200,0,9,91,0
p4_3_r1_off,0,1,2000,9.053800,10.673312,100,800.75,0.2200,32.6300,12.1900,0,9,91,0
p4_3_r1_on,1,1,2000,8.393700,9.564469,100,821.62,0.2600,32.0300,12.0400,2,9,89,0
p4_4_r0_off,0,0,2000,7.044600,7.234008,100,796.36,0.1400,32.4500,11.9200,1,8,91,0
p4_4_r0_on,1,0,2000,6.914500,7.097863,100,983.95,0.0800,27.9600,11.1500,5,8,87,0
p4_4_r1_off,0,1,2000,8.594200,9.913593,100,962.20,0.2200,29.3100,12.3100,1,8,91,0
