count,drain,total_agents,peak_population,avg_fitness,avg_lifetime,gen_min,gen_max,n_seeds
15,1.0,1374.2533333333333,571.2933333333334,7.445854,2016.9353333333336,965,965,3
15,3.0,1372.4266666666665,547.6999999999999,7.441608666666667,1925.3199999999997,965,965,3
15,5.0,1356.5666666666666,532.5066666666667,7.381196,1883.8459999999998,965,965,3
15,10.0,956.5133333333333,411.58,6.040549333333334,1650.8153333333337,965,965,3
30,1.0,1371.2666666666667,555.8666666666667,7.412762666666667,1946.6313333333335,965,965,3
30,3.0,1365.8,531.8733333333333,7.332000000000001,1835.8059999999998,965,965,3
30,5.0,956.5733333333334,399.43333333333334,5.9853146666666674,1532.0346666666665,965,965,3
30,10.0,789.0066666666667,328.34666666666664,5.723525333333332,1379.9160000000002,965,965,3
45,1.0,1129.7933333333333,458.10666666666674,6.993709333333334,1878.222,965,965,3
45,3.0,1136.06,440.25333333333333,6.942639333333333,1754.6580000000001,965,965,3
45,5.0,1091.7333333333333,407.3,6.777864666666666,1585.6760000000002,965,965,3
45,10.0,213.53333333333333,194.68666666666664,3.7367073333333334,759.032,965,965,3
60,1.0,1345.34,527.3533333333334,7.394517333333333,1892.4779999999998,965,965,3
60,3.0,1332.0066666666667,496.44666666666666,7.271228666666667,1752.9979999999998,965,965,3
60,5.0,916.1133333333333,383.2133333333333,5.973820666666666,1459.9759999999999,965,965,3
60,10.0,360.15333333333336,206.77333333333334,4.4697933333333335,869.0733333333334,965,965,3
