condition,hidden_size,unit,metric,value
evolution,32,seed1_r1,avg_fitness,7.537498499999999
evolution,32,seed1_r1,top20percent_fitness,21.107958
evolution,32,seed1_r1,peak_population,595.63
evolution,32,seed1_r1,total_agents,1385.77
evolution,32,seed1_r1,avg_lifetime,2068.2565
evolution,32,seed1_r1,lifetime_p90,2245.896
evolution,32,seed1_r1,survived_frac,0.061956697847679314
evolution,32,seed1_r1,avg_learned_weight_diff,0.0
evolution,32,seed1_r1,genome_variance,0.04995121
evolution,32,seed1_r1,cells_visited,986.8966639854546
evolution,32,seed1_r1,cave_entries,1.831923493294468
evolution,32,seed1_r1,food_total,7.824334606897033
evolution,32,seed1_r2,avg_fitness,7.5892265
evolution,32,seed1_r2,top20percent_fitness,21.213101
evolution,32,seed1_r2,peak_population,586.235
evolution,32,seed1_r2,total_agents,1379.205
evolution,32,seed1_r2,avg_lifetime,2055.2005
evolution,32,seed1_r2,lifetime_p90,2203.83
evolution,32,seed1_r2,survived_frac,0.06060690633114319
evolution,32,seed1_r2,avg_learned_weight_diff,0.0
evolution,32,seed1_r2,genome_variance,0.049438720000000005
evolution,32,seed1_r2,cells_visited,1001.0794445029467
evolution,32,seed1_r2,cave_entries,1.7431623688902471
evolution,32,seed1_r2,food_total,7.84969952244931
evolution,32,seed1_r3,avg_fitness,7.510898999999999
evolution,32,seed1_r3,top20percent_fitness,20.9022325
evolution,32,seed1_r3,peak_population,589.89
evolution,32,seed1_r3,total_agents,1386.23
evolution,32,seed1_r3,avg_lifetime,2058.468
evolution,32,seed1_r3,lifetime_p90,2211.752
evolution,32,seed1_r3,survived_frac,0.06075431101987856
evolution,32,seed1_r3,avg_learned_weight_diff,0.0
evolution,32,seed1_r3,genome_variance,0.048900500000000006
evolution,32,seed1_r3,cells_visited,975.306937630655
evolution,32,seed1_r3,cave_entries,1.5859966500802818
evolution,32,seed1_r3,food_total,7.735247854199429
evolution,32,seed1_r4,avg_fitness,7.560683499999999
evolution,32,seed1_r4,top20percent_fitness,21.2875315
evolution,32,seed1_r4,peak_population,586.555
evolution,32,seed1_r4,total_agents,1376.155
evolution,32,seed1_r4,avg_lifetime,2073.5570000000002
evolution,32,seed1_r4,lifetime_p90,2268.0789999999997
evolution,32,seed1_r4,survived_frac,0.06263444677475634
evolution,32,seed1_r4,avg_learned_weight_diff,0.0
evolution,32,seed1_r4,genome_variance,0.048047629999999994
evolution,32,seed1_r4,cells_visited,987.1710963218461
evolution,32,seed1_r4,cave_entries,1.4237336965769374
evolution,32,seed1_r4,food_total,7.8229092883717435
evolution,32,seed1_r5,avg_fitness,7.5514265
evolution,32,seed1_r5,top20percent_fitness,21.0386965
evolution,32,seed1_r5,peak_population,584.675
evolution,32,seed1_r5,total_agents,1376.445
evolution,32,seed1_r5,avg_lifetime,2056.974
evolution,32,seed1_r5,lifetime_p90,2211.035
evolution,32,seed1_r5,survived_frac,0.06075090786720903
evolution,32,seed1_r5,avg_learned_weight_diff,0.0
evolution,32,seed1_r5,genome_variance,0.048295265000000004
