condition,hidden_size,band,n_runs,arm_total,share
evolution,32,Q1  ≤ 7.16,0,15,0.0
evolution,32,Q2  7.16–7.46,3,15,0.2
evolution,32,Q3  7.46–7.53,3,15,0.2
evolution,32,Q4  > 7.53,9,15,0.6
evolution,32,[trajectory] still climbing,0,15,0.0
evolution,32,[trajectory] plateaued,15,15,1.0
evolution,64,Q1  ≤ 7.16,0,15,0.0
evolution,64,Q2  7.16–7.46,3,15,0.2
evolution,64,Q3  7.46–7.53,8,15,0.5333333333333333
evolution,64,Q4  > 7.53,4,15,0.26666666666666666
evolution,64,[trajectory] still climbing,0,15,0.0
evolution,64,[trajectory] plateaued,15,15,1.0
evolution,128,Q1  ≤ 7.16,0,15,0.0
evolution,128,Q2  7.16–7.46,8,15,0.5333333333333333
evolution,128,Q3  7.46–7.53,7,15,0.4666666666666667
evolution,128,Q4  > 7.53,0,15,0.0
evolution,128,[trajectory] still climbing,0,15,0.0
evolution,128,[trajectory] plateaued,15,15,1.0
learning,32,Q1  ≤ 7.16,0,15,0.0
learning,32,Q2  7.16–7.46,1,15,0.06666666666666667
learning,32,Q3  7.46–7.53,3,15,0.2
learning,32,Q4  > 7.53,11,15,0.7333333333333333
learning,32,[trajectory] still climbing,0,15,0.0
learning,32,[trajectory] plateaued,15,15,1.0
learning,64,Q1  ≤ 7.16,0,15,0.0
learning,64,Q2  7.16–7.46,2,15,0.13333333333333333
learning,64,Q3  7.46–7.53,6,15,0.4
learning,64,Q4  > 7.53,7,15,0.4666666666666667
learning,64,[trajectory] still climbing,0,15,0.0
learning,64,[trajectory] plateaued,15,15,1.0
learning,128,Q1  ≤ 7.16,0,15,0.0
learning,128,Q2  7.16–7.46,5,15,0.3333333333333333
learning,128,Q3  7.46–7.53,7,15,0.4666666666666667
learning,128,Q4  > 7.53,3,15,0.2
learning,128,[trajectory] still climbing,0,15,0.0
learning,128,[trajectory] plateaued,15,15,1.0
pure_rl,32,Q1  ≤ 7.16,8,15,0.5333333333333333
pure_rl,32,Q2  7.16–7.46,7,15,0.4666666666666667
pure_rl,32,Q3  7.46–7.53,0,15,0.0
pure_rl,32,Q4  > 7.53,0,15,0.0
pure_rl,32,[trajectory] still climbing,4,15,0.26666666666666666
pure_rl,32,[trajectory] plateaued,11,15,0.7333333333333333
pure_rl,64,Q1  ≤ 7.16,13,15,0.8666666666666667
pure_rl,64,Q2  7.16–7.46,2,15,0.13333333333333333
pure_rl,64,Q3  7.46–7.53,0,15,0.0
pure_rl,64,Q4  > 7.53,0,15,0.0
pure_rl,64,[trajectory] still climbing,2,15,0.13333333333333333
pure_rl,64,[trajectory] plateaued,13,15,0.8666666666666667
pure_rl,128,Q1  ≤ 7.16,13,15,0.8666666666666667
pure_rl,128,Q2  7.16–7.46,2,15,0.13333333333333333
pure_rl,128,Q3  7.46–7.53,0,15,0.0
pure_rl,128,Q4  > 7.53,0,15,0.0
pure_rl,128,[trajectory] still climbing,2,15,0.13333333333333333
pure_rl,128,[trajectory] plateaued,13,15,0.8666666666666667
