generation,cells_visited,cave_entries,predator_touches,drained_ticks,food_total,lifetime,cave_entries_day,cave_entries_night,energy_at_death,food_default_frac,food_low_frac,food_medium_frac,food_prestige_frac,night_share
1,615.7222222222222,0.1919191919191919,0.0,0.0,7.818181818181818,2084.1414141414143,0.11616161616161616,0.07575757575757576,-0.9916666666666666,0.20348837209302326,0.6104651162790697,0.15374677002583978,0.03229974160206718,0.39473684210526316
2,628.5921052631579,0.3157894736842105,0.0,0.0,5.657894736842105,1993.421052631579,0.24342105263157895,0.07236842105263158,-0.8327631578947369,0.16511627906976745,0.6976744186046512,0.10697674418604651,0.030232558139534883,0.22916666666666666
3,679.5028901734104,0.49710982658959535,0.0,0.0,5.5491329479768785,2032.1965317919075,0.31213872832369943,0.18497109826589594,-0.9015606936416185,0.21145833333333333,0.4895833333333333,0.17395833333333333,0.125,0.37209302325581395
4,707.3317535545024,0.3886255924170616,0.0,0.0,5.369668246445498,2078.104265402844,0.1943127962085308,0.1943127962085308,-0.7998578199052133,0.1526919682259488,0.4086496028243601,0.30803177405119153,0.13062665489849956,0.5
5,672.5205479452055,0.1735159817351598,0.0,0.0,6.342465753424658,2015.3881278538813,0.1050228310502283,0.0684931506849315,-0.7649771689497717,0.1418286537077034,0.5953923686105111,0.1583873290136789,0.10439164866810655,0.39473684210526316
6,695.7880434782609,0.5054347826086957,0.0,0.0,5.804347826086956,2036.6304347826087,0.27717391304347827,0.22826086956521738,-0.8709782608695652,0.16292134831460675,0.5355805243445693,0.21161048689138576,0.0898876404494382,0.45161290322580644
7,729.1976047904192,0.31736526946107785,0.0,0.0,3.940119760479042,2077.676646706587,0.17365269461077845,0.1437125748502994,0.33766467065868266,0.135258358662614,0.4452887537993921,0.26443768996960487,0.15501519756838905,0.4528301886792453
8,714.1850393700787,0.14173228346456693,0.0,0.0,6.389763779527559,2012.0551181102362,0.051181102362204724,0.09055118110236221,0.3634251968503937,0.1115218730745533,0.589648798521257,0.16943930991990142,0.12939001848428835,0.6388888888888888
9,736.4056939501779,0.19217081850533807,0.0,0.0,6.747330960854092,2039.5373665480427,0.09608540925266904,0.09608540925266904,-0.8695017793594305,0.14082278481012658,0.5390295358649789,0.20938818565400844,0.11075949367088607,0.5
10,728.3053892215569,0.2994011976047904,0.0,0.0,4.005988023952096,2086.6467065868264,0.2155688622754491,0.08383233532934131,-0.8967664670658682,0.18535127055306427,0.40956651718983555,0.21973094170403587,0.18535127055306427,0.28
11,692.4699248120301,0.16165413533834586,0.0,0.0,6.703007518796992,2016.9924812030076,0.07518796992481203,0.08646616541353383,-0.6805639097744361,0.11048794167134043,0.5608524957936063,0.23499719573752104,0.09366236679753225,0.5348837209302325
12,756.5208333333334,0.3854166666666667,0.0,0.0,6.015625,2035.2083333333333,0.16666666666666666,0.21875,-0.92484375,0.1670995670995671,0.5411255411255411,0.1974025974025974,0.09437229437229437,0.5675675675675675
